gene,zone,frac_Right,umi10k_Right,frac_Caudate,umi10k_Caudate,frac_Left,umi10k_Left,umi10k_rel_spread
GLUL,PC,0.35,1.0,0.343,0.85,0.297,0.69,0.36
CYP3A4,PC,0.512,8.75,0.59,9.78,0.477,14.13,0.49
CYP2E1,PC,0.51,2.57,0.523,2.73,0.445,3.68,0.37
CYP1A2,PC,0.04,0.06,0.052,0.1,0.034,0.06,0.57
ADH4,PC,0.622,4.27,0.557,3.26,0.565,4.49,0.31
AKR1D1,PC,0.179,0.56,0.146,0.4,0.152,0.64,0.44
SLCO1B3,PC,0.425,3.66,0.437,4.86,0.402,5.82,0.45
ASS1,PP,0.601,3.41,0.677,4.19,0.635,5.71,0.52
CPS1,PP,0.826,33.94,0.874,32.21,0.879,40.04,0.22
PCK1,PP,0.739,11.82,0.679,9.36,0.708,8.58,0.33
ALDOB,PP,0.821,15.53,0.837,13.52,0.838,14.6,0.14
HAL,PP,0.684,5.16,0.659,5.23,0.683,4.37,0.17
ARG1,PP,0.637,4.92,0.649,4.64,0.685,5.28,0.13
