donor,stage,gene,nCells,raw_mean,det1,det2,dm_mean,dm_det1
11,NASH w/o cirrhosis,FOS,989,0.0,0.0,0.0,0.0,0.0
11,NASH w/o cirrhosis,JUN,989,0.0071,0.0071,0.0,0.0016,0.0
11,NASH w/o cirrhosis,JUNB,989,0.0071,0.0061,0.001,0.0047,0.0025
11,NASH w/o cirrhosis,JUND,989,0.087,0.0779,0.0091,0.0487,0.0126
11,NASH w/o cirrhosis,ATF3,989,0.0192,0.0192,0.0,0.0082,0.0013
11,NASH w/o cirrhosis,DUSP1,989,0.0162,0.0142,0.002,0.0072,0.0025
11,NASH w/o cirrhosis,HSPA1A,989,0.0192,0.0182,0.001,0.0094,0.0013
11,NASH w/o cirrhosis,HSPA1B,989,0.0111,0.0101,0.001,0.0044,0.0
11,NASH w/o cirrhosis,GLUL,989,0.092,0.0526,0.0152,0.0494,0.0214
11,NASH w/o cirrhosis,CYP3A4,989,0.6239,0.2164,0.1193,0.3308,0.122
11,NASH w/o cirrhosis,CYP2E1,989,3.9565,0.8291,0.6603,2.1358,0.6805
11,NASH w/o cirrhosis,CYP1A2,989,0.1587,0.1112,0.0313,0.0937,0.0302
11,NASH w/o cirrhosis,ADH4,989,7.543,0.9626,0.8817,3.9541,0.9409
11,NASH w/o cirrhosis,AKR1D1,989,0.913,0.5137,0.2184,0.4777,0.2088
11,NASH w/o cirrhosis,SLCO1B3,989,2.7907,0.4611,0.3064,1.3755,0.327
11,NASH w/o cirrhosis,ASS1,989,1.2235,0.5399,0.272,0.6821,0.278
11,NASH w/o cirrhosis,CPS1,989,6.003,0.9373,0.8099,3.1619,0.844
11,NASH w/o cirrhosis,PCK1,989,0.9798,0.4732,0.2204,0.5195,0.2239
11,NASH w/o cirrhosis,ALDOB,989,2.4762,0.8079,0.5814,1.3107,0.6226
11,NASH w/o cirrhosis,HAL,989,0.6957,0.3721,0.1557,0.3623,0.1597
11,NASH w/o cirrhosis,ARG1,989,0.8322,0.4651,0.1972,0.4195,0.1849
11,NASH w/o cirrhosis,ALB,989,30.2265,1.0,0.999,16.2692,0.9987
11,NASH w/o cirrhosis,ACTB,989,0.1041,0.0961,0.0071,0.0541,0.0214
11,NASH w/o cirrhosis,GAPDH,989,0.1375,0.1183,0.0182,0.0761,0.0264
11,NASH w/o cirrhosis,stress_mod,989,0.1668,0.1365,0.0243,0.0871,0.0226
12,NASH with cirrhosis,FOS,568,0.0,0.0,0.0,0.0,0.0
12,NASH with cirrhosis,JUN,568,0.0405,0.0352,0.0053,0.0164,0.0
12,NASH with cirrhosis,JUNB,568,0.007,0.0053,0.0018,0.0021,0.0
12,NASH with cirrhosis,JUND,568,0.0722,0.0651,0.007,0.0297,0.0085
12,NASH with cirrhosis,ATF3,568,0.0018,0.0018,0.0,0.0005,0.0
12,NASH with cirrhosis,DUSP1,568,0.0475,0.0458,0.0018,0.0185,0.0042
12,NASH with cirrhosis,HSPA1A,568,0.0299,0.0264,0.0035,0.0212,0.0127
12,NASH with cirrhosis,HSPA1B,568,0.0141,0.0123,0.0018,0.0079,0.0021
12,NASH with cirrhosis,GLUL,568,0.3873,0.2183,0.0599,0.1573,0.0551
12,NASH with cirrhosis,CYP3A4,568,0.7993,0.2975,0.1426,0.2993,0.1144
12,NASH with cirrhosis,CYP2E1,568,6.4419,0.8521,0.706,2.447,0.6928
12,NASH with cirrhosis,CYP1A2,568,0.2236,0.1585,0.0493,0.107,0.0445
12,NASH with cirrhosis,ADH4,568,4.2306,0.8556,0.6408,1.4237,0.625
12,NASH with cirrhosis,AKR1D1,568,1.1813,0.5018,0.2676,0.4258,0.1716
12,NASH with cirrhosis,SLCO1B3,568,4.4683,0.6109,0.4419,1.5842,0.4216
12,NASH with cirrhosis,ASS1,568,1.4595,0.5599,0.2905,0.6033,0.25
12,NASH with cirrhosis,CPS1,568,6.0141,0.8345,0.6778,2.054,0.6716
12,NASH with cirrhosis,PCK1,568,0.7799,0.3732,0.1796,0.3136,0.1292
12,NASH with cirrhosis,ALDOB,568,2.9771,0.8099,0.5651,1.0646,0.464
12,NASH with cirrhosis,HAL,568,0.3398,0.1743,0.0669,0.1308,0.0466
12,NASH with cirrhosis,ARG1,568,0.9718,0.5,0.2306,0.3406,0.1165
12,NASH with cirrhosis,ALB,568,26.7694,0.9982,0.9947,11.3321,0.9894
12,NASH with cirrhosis,ACTB,568,0.338,0.2359,0.0616,0.1462,0.0614
12,NASH with cirrhosis,GAPDH,568,0.1338,0.1056,0.0229,0.0667,0.0318
12,NASH with cirrhosis,stress_mod,568,0.213,0.1761,0.0299,0.0948,0.0297
15,NASH w/o cirrhosis,FOS,976,0.0,0.0,0.0,0.0,0.0
15,NASH w/o cirrhosis,JUN,976,0.0205,0.0174,0.002,0.0083,0.0033
15,NASH w/o cirrhosis,JUNB,976,0.0072,0.0072,0.0,0.0011,0.0
15,NASH w/o cirrhosis,JUND,976,0.0523,0.0502,0.002,0.0188,0.0033
15,NASH w/o cirrhosis,ATF3,976,0.0297,0.0266,0.0031,0.0075,0.0
15,NASH w/o cirrhosis,DUSP1,976,0.0492,0.0441,0.0041,0.011,0.0011
15,NASH w/o cirrhosis,HSPA1A,976,0.0061,0.0061,0.0,0.0011,0.0
15,NASH w/o cirrhosis,HSPA1B,976,0.0082,0.0082,0.0,0.0022,0.0
15,NASH w/o cirrhosis,GLUL,976,0.1803,0.0891,0.0348,0.0455,0.0143
