stage,stage_short,gene,nDonors,raw_mean_mean,raw_mean_min,raw_mean_max,det1_mean,det1_min,det1_max,det2_mean,det2_min,det2_max,dm_mean_mean,dm_mean_min,dm_mean_max,dm_det1_mean,dm_det1_min,dm_det1_max
Healthy control,Healthy,ACTB,2,0.1174,0.0895,0.1452,0.1082,0.0777,0.1387,0.0086,0.0065,0.0106,0.0536,0.0247,0.0826,0.0194,0.0075,0.0312
NAFLD,NAFLD,ACTB,7,0.1255,0.0384,0.1811,0.11,0.0357,0.1525,0.0124,0.0027,0.0232,0.0308,0.0111,0.0425,0.0053,0.0009,0.0104
NASH w/o cirrhosis,NASH,ACTB,27,0.1782,0.0459,0.4872,0.1473,0.0429,0.3426,0.0237,0.0,0.1,0.0475,0.0127,0.1455,0.0107,0.0,0.0481
NASH with cirrhosis,Cirrhosis,ACTB,4,0.24,0.1114,0.338,0.1837,0.0984,0.2359,0.0426,0.0121,0.0616,0.083,0.0449,0.1462,0.0281,0.0133,0.0614
end stage,End-stage,ACTB,5,0.6623,0.2429,1.7091,0.3244,0.1839,0.5317,0.1273,0.0375,0.3159,0.1548,0.0823,0.3477,0.0502,0.0098,0.1352
Healthy control,Healthy,ADH4,2,1.423,0.6266,2.2194,0.4058,0.2792,0.5323,0.2246,0.1201,0.329,0.4506,0.1701,0.731,0.1974,0.0599,0.3348
NAFLD,NAFLD,ADH4,7,14.8354,6.9336,21.0557,0.9671,0.9502,0.9842,0.9132,0.8616,0.9465,2.6298,2.1879,2.9262,0.8763,0.8205,0.9299
NASH w/o cirrhosis,NASH,ADH4,27,12.9285,3.1471,32.8496,0.9444,0.8333,0.9959,0.8559,0.6275,0.9794,2.3478,1.6267,3.9541,0.8113,0.6713,0.9409
NASH with cirrhosis,Cirrhosis,ADH4,4,9.2756,4.2306,22.0,0.909,0.8556,0.9707,0.7602,0.6408,0.9122,1.8685,1.4237,2.5041,0.7343,0.625,0.8531
end stage,End-stage,ADH4,5,3.3052,1.2136,5.3921,0.6224,0.3831,0.7948,0.4335,0.2154,0.6422,0.7385,0.1976,1.5043,0.2936,0.0694,0.5422
Healthy control,Healthy,AKR1D1,2,0.261,0.1543,0.3677,0.1493,0.0954,0.2032,0.0454,0.0294,0.0613,0.0849,0.0381,0.1317,0.0254,0.0062,0.0446
NAFLD,NAFLD,AKR1D1,7,2.9633,1.361,4.9198,0.6962,0.557,0.8079,0.4886,0.3045,0.6502,0.5443,0.3155,0.9004,0.2291,0.11,0.4222
NASH w/o cirrhosis,NASH,AKR1D1,27,2.5462,0.3796,5.8064,0.6435,0.2555,0.8482,0.4393,0.0949,0.6992,0.4568,0.239,0.8106,0.1879,0.0808,0.3673
NASH with cirrhosis,Cirrhosis,AKR1D1,4,2.1344,0.9479,4.9189,0.583,0.4131,0.8063,0.3536,0.1815,0.6306,0.4654,0.259,0.6084,0.198,0.0867,0.2725
end stage,End-stage,AKR1D1,5,0.3416,0.0697,0.9253,0.1793,0.0272,0.4279,0.0763,0.0047,0.2162,0.0708,0.0177,0.1632,0.0211,0.0039,0.0457
Healthy control,Healthy,ALB,2,12.6226,9.3065,15.9388,0.9603,0.9548,0.9658,0.8834,0.8645,0.9022,3.9044,3.7913,4.0175,0.8576,0.809,0.9062
NAFLD,NAFLD,ALB,7,34.1332,16.2757,55.2017,0.9965,0.9901,1.0,0.9936,0.9861,1.0,6.726,4.7415,9.118,0.9894,0.972,0.9974
NASH w/o cirrhosis,NASH,ALB,27,33.9285,4.7956,76.747,0.9927,0.9343,1.0,0.976,0.8686,1.0,7.0083,3.1793,16.2692,0.9697,0.8557,1.0
NASH with cirrhosis,Cirrhosis,ALB,4,30.3627,18.0888,57.7973,0.998,0.9961,1.0,0.9935,0.9846,0.9977,8.0087,5.769,11.3321,0.9926,0.9852,0.998
end stage,End-stage,ALB,5,26.94,14.1454,40.2057,0.9843,0.9418,1.0,0.9518,0.8506,1.0,6.1891,3.5361,7.9661,0.8899,0.7891,0.9835
Healthy control,Healthy,ALDOB,2,1.5841,1.2742,1.894,0.5512,0.471,0.6313,0.3226,0.2613,0.384,0.4568,0.4494,0.4643,0.1887,0.181,0.1964
NAFLD,NAFLD,ALDOB,7,6.297,1.1595,13.8758,0.8321,0.5282,0.9758,0.6761,0.2702,0.9264,1.0887,0.4394,2.0865,0.4784,0.193,0.7827
NASH w/o cirrhosis,NASH,ALDOB,27,5.2063,0.7007,11.9079,0.8122,0.419,0.9809,0.6452,0.1606,0.9332,0.9998,0.3852,2.1843,0.4428,0.1333,0.8238
NASH with cirrhosis,Cirrhosis,ALDOB,4,4.1047,1.7355,9.7545,0.7666,0.6216,0.9009,0.5468,0.3629,0.8176,0.8759,0.5196,1.1511,0.4056,0.2474,0.5545
end stage,End-stage,ALDOB,5,10.1122,0.6324,18.5754,0.8212,0.4007,0.9853,0.6987,0.1359,0.9496,1.818,0.2996,3.2804,0.6082,0.1229,0.9057
Healthy control,Healthy,ARG1,2,1.0,0.7516,1.2485,0.4872,0.429,0.5453,0.2216,0.1677,0.2756,0.298,0.2946,0.3013,0.0994,0.0961,0.1027
NAFLD,NAFLD,ARG1,7,2.1469,0.887,3.5464,0.6872,0.485,0.8375,0.4566,0.206,0.6471,0.4055,0.3243,0.5587,0.1516,0.0954,0.2219
NASH w/o cirrhosis,NASH,ARG1,27,2.0317,0.5401,3.5975,0.6558,0.3905,0.8217,0.4177,0.0949,0.6448,0.3857,0.2339,0.6184,0.1471,0.0585,0.2846
NASH with cirrhosis,Cirrhosis,ARG1,4,1.5694,0.7337,3.3964,0.5656,0.4448,0.777,0.3145,0.1597,0.6014,0.354,0.2839,0.42,0.1325,0.1115,0.154
end stage,End-stage,ARG1,5,2.8895,0.6324,6.2918,0.6368,0.3132,0.902,0.4486,0.0898,0.7888,0.5674,0.2042,1.2707,0.2283,0.0733,0.5245
Healthy control,Healthy,ASS1,2,1.8299,1.0695,2.5903,0.6474,0.5465,0.7484,0.3896,0.2662,0.5129,0.7907,0.2968,1.2846,0.2896,0.1061,0.4732
NAFLD,NAFLD,ASS1,7,2.8437,1.1539,4.4551,0.6988,0.5537,0.794,0.4646,0.2868,0.5914,0.6031,0.3629,0.7552,0.2347,0.1346,0.3368
NASH w/o cirrhosis,NASH,ASS1,27,2.1407,0.3456,6.1936,0.6234,0.2493,0.8358,0.3865,0.0662,0.6824,0.5061,0.1056,2.0276,0.1804,0.0296,0.637
NASH with cirrhosis,Cirrhosis,ASS1,4,2.0165,0.9339,4.5473,0.6096,0.5022,0.8649,0.3578,0.2209,0.6554,0.5154,0.3732,0.7103,0.2005,0.148,0.25
end stage,End-stage,ASS1,5,2.5782,0.3392,4.6807,0.6014,0.266,0.7992,0.3901,0.0461,0.6214,0.5082,0.143,0.7286,0.1995,0.0496,0.2988
Healthy control,Healthy,ATF3,2,0.042,0.0097,0.0742,0.0366,0.0097,0.0636,0.0041,0.0,0.0082,0.0135,0.0033,0.0237,0.0006,0.0,0.0012
NAFLD,NAFLD,ATF3,7,0.0367,0.0122,0.0772,0.034,0.0122,0.0693,0.0027,0.0,0.0079,0.0085,0.0033,0.019,0.001,0.0,0.0036
NASH w/o cirrhosis,NASH,ATF3,27,0.0401,0.0133,0.0978,0.0371,0.013,0.0889,0.0025,0.0,0.0087,0.0113,0.0023,0.0305,0.0027,0.0,0.0152
NASH with cirrhosis,Cirrhosis,ATF3,4,0.0227,0.0018,0.0425,0.0209,0.0018,0.0386,0.0018,0.0,0.0039,0.0068,0.0005,0.0169,0.0006,0.0,0.0021
end stage,End-stage,ATF3,5,0.8953,0.0863,2.4134,0.2759,0.0733,0.5066,0.1423,0.0071,0.3483,0.1663,0.0402,0.4552,0.0598,0.0165,0.1837
Healthy control,Healthy,CPS1,2,5.5276,3.5713,7.4839,0.7744,0.6714,0.8774,0.5965,0.477,0.7161,1.6795,0.8255,2.5335,0.5588,0.3184,0.7991
NAFLD,NAFLD,CPS1,7,15.7135,5.6478,30.6592,0.9618,0.9136,0.9886,0.8939,0.763,0.973,2.7276,1.9115,4.446,0.8499,0.73,0.9412
NASH w/o cirrhosis,NASH,CPS1,27,13.0905,1.6277,28.9635,0.9466,0.7518,0.9962,0.8606,0.3723,0.9819,2.5154,0.9672,5.0222,0.8058,0.4646,0.968
NASH with cirrhosis,Cirrhosis,CPS1,4,11.9916,5.7911,27.8041,0.9226,0.8345,0.9797,0.8132,0.6778,0.9505,2.4706,2.054,3.33,0.7999,0.6716,0.9123
