donor,stage,source,gene,nCells,raw_mean,dm_mean,det1,det2
11,NASH w/o cirrhosis,needle_biopsy,FOS,989,0.0,0.0,0.0,0.0
11,NASH w/o cirrhosis,needle_biopsy,JUN,989,0.0071,0.0016,0.0071,0.0
11,NASH w/o cirrhosis,needle_biopsy,JUNB,989,0.0071,0.0047,0.0061,0.001
11,NASH w/o cirrhosis,needle_biopsy,JUND,989,0.087,0.0487,0.0779,0.0091
11,NASH w/o cirrhosis,needle_biopsy,ATF3,989,0.0192,0.0082,0.0192,0.0
11,NASH w/o cirrhosis,needle_biopsy,DUSP1,989,0.0162,0.0072,0.0142,0.002
11,NASH w/o cirrhosis,needle_biopsy,HSPA1A,989,0.0192,0.0094,0.0182,0.001
11,NASH w/o cirrhosis,needle_biopsy,HSPA1B,989,0.0111,0.0044,0.0101,0.001
11,NASH w/o cirrhosis,needle_biopsy,stress_mod,989,0.1668,0.0871,0.1365,0.0243
12,NASH with cirrhosis,needle_biopsy,FOS,568,0.0,0.0,0.0,0.0
12,NASH with cirrhosis,needle_biopsy,JUN,568,0.0405,0.0164,0.0352,0.0053
12,NASH with cirrhosis,needle_biopsy,JUNB,568,0.007,0.0021,0.0053,0.0018
12,NASH with cirrhosis,needle_biopsy,JUND,568,0.0722,0.0297,0.0651,0.007
12,NASH with cirrhosis,needle_biopsy,ATF3,568,0.0018,0.0005,0.0018,0.0
12,NASH with cirrhosis,needle_biopsy,DUSP1,568,0.0475,0.0185,0.0458,0.0018
12,NASH with cirrhosis,needle_biopsy,HSPA1A,568,0.0299,0.0212,0.0264,0.0035
12,NASH with cirrhosis,needle_biopsy,HSPA1B,568,0.0141,0.0079,0.0123,0.0018
12,NASH with cirrhosis,needle_biopsy,stress_mod,568,0.213,0.0948,0.1761,0.0299
15,NASH w/o cirrhosis,needle_biopsy,FOS,976,0.0,0.0,0.0,0.0
15,NASH w/o cirrhosis,needle_biopsy,JUN,976,0.0205,0.0083,0.0174,0.002
15,NASH w/o cirrhosis,needle_biopsy,JUNB,976,0.0072,0.0011,0.0072,0.0
15,NASH w/o cirrhosis,needle_biopsy,JUND,976,0.0523,0.0188,0.0502,0.002
15,NASH w/o cirrhosis,needle_biopsy,ATF3,976,0.0297,0.0075,0.0266,0.0031
15,NASH w/o cirrhosis,needle_biopsy,DUSP1,976,0.0492,0.011,0.0441,0.0041
15,NASH w/o cirrhosis,needle_biopsy,HSPA1A,976,0.0061,0.0011,0.0061,0.0
15,NASH w/o cirrhosis,needle_biopsy,HSPA1B,976,0.0082,0.0022,0.0082,0.0
15,NASH w/o cirrhosis,needle_biopsy,stress_mod,976,0.1732,0.0488,0.1434,0.0246
16,NASH w/o cirrhosis,needle_biopsy,FOS,2149,0.0098,0.0017,0.0065,0.0014
16,NASH w/o cirrhosis,needle_biopsy,JUN,2149,0.0745,0.0107,0.0628,0.0084
16,NASH w/o cirrhosis,needle_biopsy,JUNB,2149,0.0163,0.0029,0.0154,0.0009
16,NASH w/o cirrhosis,needle_biopsy,JUND,2149,0.0521,0.0094,0.0484,0.0033
16,NASH w/o cirrhosis,needle_biopsy,ATF3,2149,0.0354,0.0067,0.0326,0.0023
16,NASH w/o cirrhosis,needle_biopsy,DUSP1,2149,0.0591,0.0108,0.0512,0.0056
16,NASH w/o cirrhosis,needle_biopsy,HSPA1A,2149,0.0093,0.0015,0.0093,0.0
16,NASH w/o cirrhosis,needle_biopsy,HSPA1B,2149,0.0047,0.0013,0.0047,0.0
16,NASH w/o cirrhosis,needle_biopsy,stress_mod,2149,0.2611,0.0439,0.2043,0.04
19,NASH w/o cirrhosis,needle_biopsy,FOS,1387,0.0029,0.0006,0.0022,0.0007
19,NASH w/o cirrhosis,needle_biopsy,JUN,1387,0.013,0.0015,0.0123,0.0007
19,NASH w/o cirrhosis,needle_biopsy,JUNB,1387,0.0123,0.0009,0.0115,0.0007
19,NASH w/o cirrhosis,needle_biopsy,JUND,1387,0.0353,0.008,0.0346,0.0007
19,NASH w/o cirrhosis,needle_biopsy,ATF3,1387,0.0267,0.0056,0.0267,0.0
19,NASH w/o cirrhosis,needle_biopsy,DUSP1,1387,0.0252,0.0058,0.0238,0.0007
19,NASH w/o cirrhosis,needle_biopsy,HSPA1A,1387,0.0094,0.0009,0.0087,0.0007
19,NASH w/o cirrhosis,needle_biopsy,HSPA1B,1387,0.0014,0.0002,0.0014,0.0
19,NASH w/o cirrhosis,needle_biopsy,stress_mod,1387,0.1262,0.0233,0.1118,0.0123
20,NASH w/o cirrhosis,needle_biopsy,FOS,2811,0.0011,0.0003,0.0011,0.0
20,NASH w/o cirrhosis,needle_biopsy,JUN,2811,0.0203,0.0061,0.0192,0.0011
20,NASH w/o cirrhosis,needle_biopsy,JUNB,2811,0.027,0.0066,0.0267,0.0004
20,NASH w/o cirrhosis,needle_biopsy,JUND,2811,0.0302,0.0107,0.0288,0.0014
20,NASH w/o cirrhosis,needle_biopsy,ATF3,2811,0.0242,0.0061,0.0224,0.0018
20,NASH w/o cirrhosis,needle_biopsy,DUSP1,2811,0.0057,0.0019,0.0057,0.0
20,NASH w/o cirrhosis,needle_biopsy,HSPA1A,2811,0.011,0.0036,0.0107,0.0004
20,NASH w/o cirrhosis,needle_biopsy,HSPA1B,2811,0.0043,0.0012,0.0039,0.0004
20,NASH w/o cirrhosis,needle_biopsy,stress_mod,2811,0.1238,0.0381,0.1099,0.0117
21,NASH w/o cirrhosis,needle_biopsy,FOS,2847,0.0028,0.0005,0.0025,0.0004
21,NASH w/o cirrhosis,needle_biopsy,JUN,2847,0.04,0.0094,0.0365,0.0035
21,NASH w/o cirrhosis,needle_biopsy,JUNB,2847,0.0246,0.0049,0.0235,0.0011
21,NASH w/o cirrhosis,needle_biopsy,JUND,2847,0.0825,0.0213,0.0748,0.007
21,NASH w/o cirrhosis,needle_biopsy,ATF3,2847,0.0133,0.0023,0.013,0.0004
21,NASH w/o cirrhosis,needle_biopsy,DUSP1,2847,0.045,0.0082,0.0429,0.0018
21,NASH w/o cirrhosis,needle_biopsy,HSPA1A,2847,0.0239,0.0059,0.0232,0.0007
21,NASH w/o cirrhosis,needle_biopsy,HSPA1B,2847,0.0021,0.0006,0.0021,0.0
21,NASH w/o cirrhosis,needle_biopsy,stress_mod,2847,0.2343,0.0541,0.1914,0.0341
22,NASH with cirrhosis,needle_biopsy,FOS,2073,0.0029,0.0009,0.0029,0.0
22,NASH with cirrhosis,needle_biopsy,JUN,2073,0.0449,0.0178,0.04,0.0043
22,NASH with cirrhosis,needle_biopsy,JUNB,2073,0.0048,0.0023,0.0048,0.0
22,NASH with cirrhosis,needle_biopsy,JUND,2073,0.0294,0.0101,0.026,0.0029
22,NASH with cirrhosis,needle_biopsy,ATF3,2073,0.015,0.0056,0.014,0.001
22,NASH with cirrhosis,needle_biopsy,DUSP1,2073,0.0101,0.0047,0.0101,0.0
22,NASH with cirrhosis,needle_biopsy,HSPA1A,2073,0.0159,0.0075,0.0154,0.0005
22,NASH with cirrhosis,needle_biopsy,HSPA1B,2073,0.0092,0.0038,0.0092,0.0
22,NASH with cirrhosis,needle_biopsy,stress_mod,2073,0.1322,0.0518,0.1153,0.0135
3,NASH w/o cirrhosis,needle_biopsy,FOS,1441,0.0021,0.0007,0.0021,0.0
3,NASH w/o cirrhosis,needle_biopsy,JUN,1441,0.0534,0.0075,0.0479,0.0049
