cell_type,source,donor,program,nCells,dm_mean,det2
Cholangiocytes,biopsy,12,IEG,2,,0.0
Cholangiocytes,biopsy,12,HSP,2,,0.0
Cholangiocytes,biopsy,12,HIF,2,,0.0
Cholangiocytes,biopsy,15,IEG,8,0.125,0.125
Cholangiocytes,biopsy,15,HSP,8,0.0,0.0
Cholangiocytes,biopsy,15,HIF,8,0.9375,0.375
Cholangiocytes,biopsy,16,IEG,35,0.0143,0.0
Cholangiocytes,biopsy,16,HSP,35,0.0,0.0
Cholangiocytes,biopsy,16,HIF,35,0.6857,0.6286
Cholangiocytes,biopsy,19,IEG,8,0.0357,0.0
Cholangiocytes,biopsy,19,HSP,8,0.0714,0.0
Cholangiocytes,biopsy,19,HIF,8,1.0714,0.75
Cholangiocytes,biopsy,20,IEG,15,0.1071,0.1333
Cholangiocytes,biopsy,20,HSP,15,0.0,0.0
Cholangiocytes,biopsy,20,HIF,15,0.8393,0.4667
Cholangiocytes,biopsy,21,IEG,104,0.1167,0.0288
Cholangiocytes,biopsy,21,HSP,104,0.0139,0.0
Cholangiocytes,biopsy,21,HIF,104,0.7472,0.4615
Cholangiocytes,biopsy,22,IEG,41,0.03,0.0
Cholangiocytes,biopsy,22,HSP,41,0.0,0.0
Cholangiocytes,biopsy,22,HIF,41,0.57,0.3659
Cholangiocytes,biopsy,3,IEG,14,0.1154,0.0714
Cholangiocytes,biopsy,3,HSP,14,0.0192,0.0
Cholangiocytes,biopsy,3,HIF,14,0.8269,0.5
Cholangiocytes,biopsy,48,IEG,13,0.2083,0.0769
Cholangiocytes,biopsy,48,HSP,13,0.125,0.0769
Cholangiocytes,biopsy,48,HIF,13,1.6875,0.6923
Cholangiocytes,biopsy,49,IEG,81,0.0649,0.0123
Cholangiocytes,biopsy,49,HSP,81,0.0,0.0
Cholangiocytes,biopsy,49,HIF,81,0.6266,0.5062
Cholangiocytes,biopsy,50,IEG,134,0.0938,0.1418
Cholangiocytes,biopsy,50,HSP,134,0.0234,0.0224
Cholangiocytes,biopsy,50,HIF,134,0.7734,0.6269
Cholangiocytes,biopsy,51,IEG,111,0.0851,0.0631
Cholangiocytes,biopsy,51,HSP,111,0.0053,0.009
Cholangiocytes,biopsy,51,HIF,111,1.0771,0.6757
Cholangiocytes,biopsy,52,IEG,64,0.0761,0.0312
Cholangiocytes,biopsy,52,HSP,64,0.0652,0.0156
Cholangiocytes,biopsy,52,HIF,64,1.1413,0.4844
Cholangiocytes,biopsy,53,IEG,35,0.13,0.0
Cholangiocytes,biopsy,53,HSP,35,0.0,0.0
Cholangiocytes,biopsy,53,HIF,35,0.94,0.3143
Cholangiocytes,biopsy,54,IEG,79,0.1595,0.0253
Cholangiocytes,biopsy,54,HSP,79,0.0129,0.0
Cholangiocytes,biopsy,54,HIF,79,1.0043,0.4304
Cholangiocytes,biopsy,55,IEG,72,0.0492,0.0139
Cholangiocytes,biopsy,55,HSP,72,0.0114,0.0
Cholangiocytes,biopsy,55,HIF,72,1.1326,0.6528
Cholangiocytes,biopsy,56,IEG,59,0.0463,0.0169
Cholangiocytes,biopsy,56,HSP,59,0.0139,0.0169
Cholangiocytes,biopsy,56,HIF,59,0.8056,0.5424
Cholangiocytes,biopsy,57,IEG,52,0.0924,0.0192
Cholangiocytes,biopsy,57,HSP,52,0.0163,0.0
Cholangiocytes,biopsy,57,HIF,52,0.8913,0.4808
Cholangiocytes,biopsy,6,IEG,6,0.2083,0.0
Cholangiocytes,biopsy,6,HSP,6,0.0,0.0
Cholangiocytes,biopsy,6,HIF,6,1.4583,0.8333
Cholangiocytes,biopsy,60,IEG,20,0.0,0.0
Cholangiocytes,biopsy,60,HSP,20,0.1364,0.0
Cholangiocytes,biopsy,60,HIF,20,0.8409,0.35
Cholangiocytes,biopsy,62,IEG,9,0.0,0.0
Cholangiocytes,biopsy,62,HSP,9,0.0,0.0
Cholangiocytes,biopsy,62,HIF,9,1.0,0.2222
Cholangiocytes,biopsy,64,IEG,18,0.0385,0.0
Cholangiocytes,biopsy,64,HSP,18,0.0,0.0
Cholangiocytes,biopsy,64,HIF,18,1.6538,0.5
Cholangiocytes,biopsy,67,IEG,37,0.0743,0.0
Cholangiocytes,biopsy,67,HSP,37,0.0473,0.0
Cholangiocytes,biopsy,67,HIF,37,0.8784,0.3784
Cholangiocytes,biopsy,68,IEG,219,0.0815,0.0091
Cholangiocytes,biopsy,68,HSP,219,0.0018,0.0
Cholangiocytes,biopsy,68,HIF,219,1.2101,0.4932
Cholangiocytes,biopsy,7,IEG,14,0.15,0.0714
Cholangiocytes,biopsy,7,HSP,14,0.0,0.0
Cholangiocytes,biopsy,7,HIF,14,0.85,0.4286
Cholangiocytes,biopsy,70,IEG,109,0.0583,0.0642
Cholangiocytes,biopsy,70,HSP,109,0.0,0.0
Cholangiocytes,biopsy,70,HIF,109,0.8204,0.6514
Cholangiocytes,biopsy,71,IEG,11,0.4,0.0909
Cholangiocytes,biopsy,71,HSP,11,0.0,0.0
Cholangiocytes,biopsy,71,HIF,11,0.85,0.3636
Cholangiocytes,biopsy,72,IEG,640,0.0582,0.0375
Cholangiocytes,biopsy,72,HSP,640,0.0128,0.0031
Cholangiocytes,biopsy,72,HIF,640,0.6931,0.5531
Cholangiocytes,biopsy,73,IEG,330,0.0387,0.003
Cholangiocytes,biopsy,73,HSP,330,0.0035,0.0
Cholangiocytes,biopsy,73,HIF,330,0.544,0.3636
Cholangiocytes,biopsy,75,IEG,179,0.1009,0.0503
Cholangiocytes,biopsy,75,HSP,179,0.0217,0.0
Cholangiocytes,biopsy,75,HIF,179,0.8432,0.6648
Cholangiocytes,biopsy,76,IEG,79,0.0471,0.0127
Cholangiocytes,biopsy,76,HSP,79,0.0036,0.0
Cholangiocytes,biopsy,76,HIF,79,1.1087,0.6329
Cholangiocytes,biopsy,77,IEG,39,0.0804,0.0
Cholangiocytes,biopsy,77,HSP,39,0.0446,0.0
Cholangiocytes,biopsy,77,HIF,39,0.9464,0.4359
Cholangiocytes,biopsy,78,IEG,11,0.0,0.0
Cholangiocytes,biopsy,78,HSP,11,0.0,0.0
Cholangiocytes,biopsy,78,HIF,11,1.3333,0.6364
Cholangiocytes,biopsy,8,IEG,2,0.0,0.0
Cholangiocytes,biopsy,8,HSP,2,0.0,0.0
Cholangiocytes,biopsy,8,HIF,2,0.875,0.5
Cholangiocytes,biopsy,83,IEG,3,0.0,0.0
Cholangiocytes,biopsy,83,HSP,3,0.0,0.0
Cholangiocytes,biopsy,83,HIF,3,1.5,0.3333
Cholangiocytes,biopsy,84,IEG,51,0.0987,0.0196
Cholangiocytes,biopsy,84,HSP,51,0.0724,0.0196
Cholangiocytes,biopsy,84,HIF,51,0.7171,0.3529
Cholangiocytes,biopsy,9,IEG,33,0.0312,0.0
Cholangiocytes,biopsy,9,HSP,33,0.0208,0.0
Cholangiocytes,biopsy,9,HIF,33,0.8438,0.303
Cholangiocytes,explant,CL103,IEG,648,0.8705,0.3966
Cholangiocytes,explant,CL103,HSP,648,0.042,0.0108
Cholangiocytes,explant,CL103,HIF,648,0.7491,0.4707
Cholangiocytes,explant,CL104,IEG,95,0.462,0.4
Cholangiocytes,explant,CL104,HSP,95,0.0625,0.0842
Cholangiocytes,explant,CL104,HIF,95,0.7853,0.6316
Cholangiocytes,explant,CL16,IEG,608,1.6379,0.5609
Cholangiocytes,explant,CL16,HSP,608,0.1379,0.0477
Cholangiocytes,explant,CL16,HIF,608,0.993,0.4934
Cholangiocytes,explant,CL17,IEG,450,0.6656,0.2956
Cholangiocytes,explant,CL17,HSP,450,0.0317,0.0044
Cholangiocytes,explant,CL17,HIF,450,0.6445,0.38
Cholangiocytes,explant,CL18,IEG,629,0.8166,0.4372
Cholangiocytes,explant,CL18,HSP,629,0.0515,0.0223
Cholangiocytes,explant,CL18,HIF,629,0.5044,0.3482
Cholangiocytes,healthy,98,IEG,22,0.0375,0.0
Cholangiocytes,healthy,98,HSP,22,0.05,0.0
Cholangiocytes,healthy,98,HIF,22,0.6875,0.4091
Cholangiocytes,healthy,HL1,IEG,213,0.5176,0.2535
Cholangiocytes,healthy,HL1,HSP,213,0.4432,0.2066
Cholangiocytes,healthy,HL1,HIF,213,0.8135,0.4695
Cholangiocytes,healthy,HL2,IEG,10,0.1944,0.1
Cholangiocytes,healthy,HL2,HSP,10,0.0833,0.0
Cholangiocytes,healthy,HL2,HIF,10,0.75,0.3
Endothelial,biopsy,11,IEG,41,0.0,0.0
Endothelial,biopsy,11,HSP,41,0.0,0.0
Endothelial,biopsy,11,HIF,41,0.52,0.0732
Endothelial,biopsy,12,IEG,39,0.0,0.0
Endothelial,biopsy,12,HSP,39,0.0,0.0
Endothelial,biopsy,12,HIF,39,0.3125,0.1026
Endothelial,biopsy,15,IEG,33,0.0625,0.0
Endothelial,biopsy,15,HSP,33,0.0,0.0
Endothelial,biopsy,15,HIF,33,0.1696,0.1212
Endothelial,biopsy,16,IEG,107,0.0173,0.0
Endothelial,biopsy,16,HSP,107,0.005,0.0
Endothelial,biopsy,16,HIF,107,0.3168,0.271
Endothelial,biopsy,19,IEG,66,0.0082,0.0
Endothelial,biopsy,19,HSP,66,0.0041,0.0
Endothelial,biopsy,19,HIF,66,0.3074,0.2727
Endothelial,biopsy,20,IEG,460,0.0216,0.0043
Endothelial,biopsy,20,HSP,460,0.0042,0.0
Endothelial,biopsy,20,HIF,460,0.361,0.1457
Endothelial,biopsy,21,IEG,526,0.044,0.0038
Endothelial,biopsy,21,HSP,526,0.004,0.0
Endothelial,biopsy,21,HIF,526,0.2783,0.192
Endothelial,biopsy,22,IEG,141,0.0445,0.0
Endothelial,biopsy,22,HSP,141,0.0,0.0
Endothelial,biopsy,22,HIF,141,0.4829,0.0993
Endothelial,biopsy,3,IEG,28,0.0,0.0
Endothelial,biopsy,3,HSP,28,0.0,0.0
Endothelial,biopsy,3,HIF,28,0.2596,0.1429
Endothelial,biopsy,48,IEG,33,0.0625,0.0
Endothelial,biopsy,48,HSP,33,0.0,0.0
Endothelial,biopsy,48,HIF,33,0.4125,0.1212
Endothelial,biopsy,49,IEG,139,0.0375,0.0072
Endothelial,biopsy,49,HSP,139,0.0,0.0
Endothelial,biopsy,49,HIF,139,0.3396,0.2302
Endothelial,biopsy,50,IEG,281,0.0669,0.0285
Endothelial,biopsy,50,HSP,281,0.001,0.0
Endothelial,biopsy,50,HIF,281,0.3014,0.2954
Endothelial,biopsy,51,IEG,345,0.0372,0.0116
Endothelial,biopsy,51,HSP,345,0.0053,0.0
Endothelial,biopsy,51,HIF,345,0.2465,0.1449
Endothelial,biopsy,52,IEG,133,0.0761,0.0075
Endothelial,biopsy,52,HSP,133,0.0,0.0
Endothelial,biopsy,52,HIF,133,0.1821,0.0677
Endothelial,biopsy,53,IEG,144,0.0349,0.0
Endothelial,biopsy,53,HSP,144,0.0,0.0
Endothelial,biopsy,53,HIF,144,0.2419,0.0903
Endothelial,biopsy,54,IEG,155,0.062,0.0065
Endothelial,biopsy,54,HSP,155,0.0,0.0
Endothelial,biopsy,54,HIF,155,0.3064,0.1484
Endothelial,biopsy,55,IEG,222,0.0453,0.0
Endothelial,biopsy,55,HSP,222,0.0029,0.0
Endothelial,biopsy,55,HIF,222,0.383,0.1847
Endothelial,biopsy,56,IEG,348,0.0678,0.0029
Endothelial,biopsy,56,HSP,348,0.0029,0.0
Endothelial,biopsy,56,HIF,348,0.3014,0.1552
Endothelial,biopsy,57,IEG,254,0.0509,0.0118
Endothelial,biopsy,57,HSP,254,0.0012,0.0
Endothelial,biopsy,57,HIF,254,0.2938,0.1496
Endothelial,biopsy,6,IEG,394,0.0424,0.0152
Endothelial,biopsy,6,HSP,394,0.0043,0.0
Endothelial,biopsy,6,HIF,394,0.2996,0.1701
Endothelial,biopsy,60,IEG,132,0.0739,0.0
Endothelial,biopsy,60,HSP,132,0.0028,0.0
Endothelial,biopsy,60,HIF,132,0.3778,0.1364
Endothelial,biopsy,62,IEG,7,0.25,0.1429
