gene,arm,level_healthy,level_end,dLevel,slope_healthy,slope_end,dSlopeMag,call,n_healthy,n_end
ADH4,pericentral,1.9876,1.0537,-0.9339,0.3736,0.114,-0.2596,turn_off,3750,23097
AKR1D1,pericentral,0.9158,0.1536,-0.7622,0.2648,0.0491,-0.2158,turn_off,3750,23097
CYP2C8,pericentral,2.1555,1.9765,-0.179,0.3033,0.0991,-0.2043,de_zonation,3750,23097
SLCO1B3,pericentral,1.49,0.8559,-0.6341,0.4664,0.2649,-0.2015,turn_off,3750,23097
GSTA2,pericentral,0.4254,0.0432,-0.3822,0.191,-0.0089,-0.1821,turn_off,3750,23097
CYP3A4,pericentral,0.7506,1.2532,0.5026,0.368,0.199,-0.169,de_zonation,3750,23097
CYP1A2,pericentral,0.2595,0.0426,-0.2169,0.1654,0.0183,-0.1471,turn_off,3750,23097
DCXR,pericentral,0.7927,0.3736,-0.4191,0.1483,-0.0035,-0.1448,turn_off,3750,23097
ADH1A,pericentral,0.9382,0.3303,-0.6079,0.2407,0.0966,-0.144,turn_off,3750,23097
AMACR,pericentral,0.3182,0.0625,-0.2557,0.1436,0.0245,-0.1192,turn_off,3750,23097
ADH1B,pericentral,2.1149,1.4554,-0.6595,0.2592,0.1487,-0.1106,turn_off,3750,23097
SLC2A2,pericentral,1.4526,0.981,-0.4716,0.1796,0.0746,-0.105,turn_off,3750,23097
CYP2E1,pericentral,2.1584,0.9524,-1.206,0.2134,0.1129,-0.1005,turn_off,3750,23097
FMO3,pericentral,1.2946,0.7269,-0.5677,0.2101,0.1274,-0.0827,stable,3750,23097
PCK2,pericentral,0.3559,0.1655,-0.1904,0.0936,0.0127,-0.0809,turn_off,3750,23097
UGT2B4,pericentral,0.73,0.301,-0.429,0.1077,0.0382,-0.0695,turn_off,3750,23097
CYP27A1,pericentral,0.892,0.5757,-0.3164,0.0594,0.0262,-0.0332,turn_off,3750,23097
GLUL,pericentral,0.1871,0.4078,0.2208,0.1236,0.0991,-0.0245,stable,3750,23097
ALAS1,pericentral,0.2962,0.8435,0.5473,0.0903,0.0776,-0.0127,stable,3750,23097
REEP6,pericentral,0.0769,0.0691,-0.0078,0.0147,-0.003,-0.0117,de_zonation,3750,23097
THRSP,pericentral,0.1732,0.0799,-0.0933,0.0293,0.0178,-0.0115,stable,3750,23097
APOA5,pericentral,0.1318,0.1042,-0.0276,0.023,0.0276,0.0046,stable,3750,23097
TSKU,pericentral,0.1545,0.2881,0.1336,0.0378,0.0485,0.0108,stable,3750,23097
NADK2,pericentral,0.8741,0.7097,-0.1644,0.1404,0.1545,0.0141,stable,3750,23097
ALDH1L1,pericentral,0.8296,0.482,-0.3475,0.1098,0.1383,0.0285,stable,3750,23097
AOX1,pericentral,1.7126,1.2256,-0.4869,0.0477,0.0935,0.0458,stable,3750,23097
HAMP,periportal,0.7153,0.0929,-0.6224,0.1344,0.0302,-0.1042,turn_off,3750,23097
SLC38A4,periportal,1.7188,0.8158,-0.903,0.1236,0.0922,-0.0314,stable,3750,23097
ALDOB,periportal,1.341,2.0146,0.6737,0.126,0.1028,-0.0233,stable,3750,23097
PCK1,periportal,0.6019,1.5212,0.9193,0.0951,0.0735,-0.0216,stable,3750,23097
TAT,periportal,0.647,1.0824,0.4353,0.1181,0.0985,-0.0196,stable,3750,23097
GLS2,periportal,0.3196,0.2047,-0.1148,0.0915,0.0791,-0.0124,stable,3750,23097
LBP,periportal,1.2994,1.3693,0.0699,0.3321,0.3494,0.0173,stable,3750,23097
APOF,periportal,0.1114,0.0711,-0.0403,0.068,0.1055,0.0374,stable,3750,23097
F9,periportal,0.6299,0.5308,-0.0992,0.0989,0.1383,0.0394,stable,3750,23097
ASS1,periportal,0.8406,1.073,0.2324,0.1246,0.17,0.0454,stable,3750,23097
HPX,periportal,1.4662,1.062,-0.4042,0.2106,0.27,0.0594,stable,3750,23097
HAL,periportal,0.6009,1.2564,0.6555,0.2285,0.3036,0.0751,stable,3750,23097
SERPINA1,periportal,1.4366,1.9936,0.557,0.322,0.4021,0.0801,stable,3750,23097
SERPINA11,periportal,0.0984,0.191,0.0926,0.0313,0.1116,0.0802,stable,3750,23097
FGG,periportal,2.2139,2.4335,0.2196,0.343,0.4514,0.1084,stable,3750,23097
CFHR3,periportal,1.3887,1.3164,-0.0722,0.0204,-0.1332,0.1128,stable,3750,23097
FGA,periportal,1.9953,1.7033,-0.292,0.2976,0.4486,0.151,stable,3750,23097
C8G,periportal,0.3308,0.6915,0.3607,0.0608,0.2351,0.1743,stable,3750,23097
HP,periportal,1.4316,1.1312,-0.3004,0.2256,0.4055,0.1799,stable,3750,23097
FGB,periportal,2.0048,1.9469,-0.058,0.3344,0.5224,0.1881,stable,3750,23097
FABP1,periportal,0.4667,0.7281,0.2614,0.0766,0.27,0.1933,stable,3750,23097
TF,periportal,2.8962,2.4113,-0.4849,0.0151,-0.2107,0.1956,stable,3750,23097
APOA1,periportal,0.8341,1.1648,0.3307,0.0764,0.3269,0.2505,stable,3750,23097
