variant,cls,group,frac
primary k1 PC1of2 PP2of4,PC,Healthy,0.2312136058090872
primary k1 PC1of2 PP2of4,PC,F0-biopsy,0.3447401362409737
primary k1 PC1of2 PP2of4,PC,F1-biopsy,0.19172339663203153
primary k1 PC1of2 PP2of4,PC,F2-biopsy,0.23213272830402723
primary k1 PC1of2 PP2of4,PC,F3-biopsy,0.21448459023434127
primary k1 PC1of2 PP2of4,PC,F4-biopsy,0.22789036528751005
primary k1 PC1of2 PP2of4,PC,Explant(end),0.14744897959183673
primary k1 PC1of2 PP2of4,PP,Healthy,0.2267681702220051
primary k1 PC1of2 PP2of4,PP,F0-biopsy,0.18412448685048835
primary k1 PC1of2 PP2of4,PP,F1-biopsy,0.1902805049088359
primary k1 PC1of2 PP2of4,PP,F2-biopsy,0.21535557634537
primary k1 PC1of2 PP2of4,PP,F3-biopsy,0.2452366321652092
primary k1 PC1of2 PP2of4,PP,F4-biopsy,0.23174168193140077
primary k1 PC1of2 PP2of4,PP,Explant(end),0.4173469387755102
primary k1 PC1of2 PP2of4,dual,Healthy,0.06802280286459114
primary k1 PC1of2 PP2of4,dual,F0-biopsy,0.102123401745388
primary k1 PC1of2 PP2of4,dual,F1-biopsy,0.07136798367254991
primary k1 PC1of2 PP2of4,dual,F2-biopsy,0.1008058056262927
primary k1 PC1of2 PP2of4,dual,F3-biopsy,0.08245908033211699
primary k1 PC1of2 PP2of4,dual,F4-biopsy,0.08042337048052459
primary k1 PC1of2 PP2of4,dual,Explant(end),0.23449282413038192
primary k1 PC1of2 PP2of4,null,Healthy,0.40620301882253895
primary k1 PC1of2 PP2of4,null,F0-biopsy,0.36901197516314993
primary k1 PC1of2 PP2of4,null,F1-biopsy,0.45484195230701857
primary k1 PC1of2 PP2of4,null,F2-biopsy,0.35101263996626386
primary k1 PC1of2 PP2of4,null,F3-biopsy,0.3695975860551579
primary k1 PC1of2 PP2of4,null,F4-biopsy,0.39226544300747046
primary k1 PC1of2 PP2of4,null,Explant(end),0.1750524109014675
k2 (single-UMI fragility),PC,Healthy,0.11159969636133002
k2 (single-UMI fragility),PC,F0-biopsy,0.18417117710262754
k2 (single-UMI fragility),PC,F1-biopsy,0.10815770402569672
k2 (single-UMI fragility),PC,F2-biopsy,0.14369937287692708
k2 (single-UMI fragility),PC,F3-biopsy,0.09613375130616511
k2 (single-UMI fragility),PC,F4-biopsy,0.12649610410474738
k2 (single-UMI fragility),PC,Explant(end),0.12857142857142856
k2 (single-UMI fragility),PP,Healthy,0.028971937252347608
k2 (single-UMI fragility),PP,F0-biopsy,0.03737406929779043
k2 (single-UMI fragility),PP,F1-biopsy,0.04138692923243499
k2 (single-UMI fragility),PP,F2-biopsy,0.05477285085767957
k2 (single-UMI fragility),PP,F3-biopsy,0.077226599914209
k2 (single-UMI fragility),PP,F4-biopsy,0.044123253960001385
k2 (single-UMI fragility),PP,Explant(end),0.21122448979591837
k2 (single-UMI fragility),dual,Healthy,0.0012078520751177468
k2 (single-UMI fragility),dual,F0-biopsy,0.0022665457842248413
k2 (single-UMI fragility),dual,F1-biopsy,0.0015901807396791275
k2 (single-UMI fragility),dual,F2-biopsy,0.004635165862904751
k2 (single-UMI fragility),dual,F3-biopsy,0.0026875543665577967
k2 (single-UMI fragility),dual,F4-biopsy,0.0023742677896780007
k2 (single-UMI fragility),dual,Explant(end),0.027040816326530614
k2 (single-UMI fragility),null,Healthy,0.8149826706219598
k2 (single-UMI fragility),null,F0-biopsy,0.7761882078153572
k2 (single-UMI fragility),null,F1-biopsy,0.8111148433456746
k2 (single-UMI fragility),null,F2-biopsy,0.7682632041580677
k2 (single-UMI fragility),null,F3-biopsy,0.8064995316583699
k2 (single-UMI fragility),null,F4-biopsy,0.7829845770744638
k2 (single-UMI fragility),null,Explant(end),0.5263926052055461
PP excl ALDOB (2of3),PC,Healthy,0.27294894076049503
PP excl ALDOB (2of3),PC,F0-biopsy,0.413370669774622
PP excl ALDOB (2of3),PC,F1-biopsy,0.2579850120390661
PP excl ALDOB (2of3),PC,F2-biopsy,0.32268566971426316
PP excl ALDOB (2of3),PC,F3-biopsy,0.25571870484563564
PP excl ALDOB (2of3),PC,F4-biopsy,0.2983589199352581
PP excl ALDOB (2of3),PC,Explant(end),0.22959183673469388
