gene,hep_burden,top_nonhep_lineage,top_nonhep_burden,nonhep_over_hep,corr_hepCPM_vs_nonhepFrac,verdict
PAQR5,0.04,Cholangiocytes,1.47,35.36,0.12,compositional
PLUT,0.02,Cholangiocytes,0.33,18.7,-0.0,compositional
ADAMTS9,0.18,Stellate,3.14,17.42,-0.05,compositional
GUCY1A1,0.2,Stellate,2.9,14.63,-0.03,compositional
ZNF431,0.09,Lymphocytes,0.92,10.34,0.19,compositional
KCNAB2,0.18,Lymphocytes,1.69,9.37,-0.11,compositional
CATSPERB,0.15,Cholangiocytes,1.38,9.27,0.12,compositional
EPB41L4A,0.84,Endothelial,6.31,7.52,0.05,compositional
TMEM150B,0.07,Macrophages,0.41,6.0,0.13,compositional
ZNF714,0.05,Macrophages,0.31,5.99,-0.06,compositional
GABRB3,0.37,Cholangiocytes,1.96,5.3,0.13,compositional
EVC2,0.13,Cholangiocytes,0.57,4.29,-0.06,compositional
FREM2,0.39,Cholangiocytes,1.39,3.53,0.0,compositional
EVC,0.33,Cholangiocytes,1.13,3.45,-0.1,compositional
FAM83F,0.11,Cholangiocytes,0.38,3.37,0.12,compositional
ESRRG,1.47,Cholangiocytes,4.06,2.77,-0.09,mixed
C6orf99,0.02,B-cell 2,0.06,2.6,-0.07,mixed
DOK6,0.61,Stellate,1.42,2.35,0.08,mixed
LINC02762,0.58,Cholangiocytes,0.61,1.04,-0.16,intrinsic
ENPP3,0.14,B-cell 1,0.08,0.61,0.11,intrinsic
PTCHD1-AS,0.69,B-cell 1,0.38,0.55,0.14,intrinsic
A2M,8.1,Lymphocytes,3.34,0.41,0.11,intrinsic
LINC01205,0.17,Lymphocytes,0.06,0.37,0.03,intrinsic
