gene,rho_F,p_trend,fdr_trend,med_cpm_F1,med_cpm_F4,log2FC_F4_F1,p_F1vF4
ZNF714,0.706,7.199308939646692e-07,0.0063,2.5,8.1,1.4,0.004
EPB41L4A,0.698,1.0820043292365618e-06,0.0063,52.8,114.6,1.1,0.004
EVC2,0.698,1.0820043292365618e-06,0.0063,5.2,16.2,1.48,0.0081
A2M,0.686,2.0223424564684075e-06,0.0083,219.3,717.7,1.71,0.0081
TMEM150B,0.683,2.3532238534453405e-06,0.0083,1.1,23.3,3.54,0.004
PLUT,0.674,3.494064872724659e-06,0.0102,0.4,3.9,1.79,0.0081
PAQR5,0.651,9.816190211865024e-06,0.0197,1.2,9.4,2.21,0.004
ZNF431,0.65,1.0100823643803434e-05,0.0197,4.8,13.4,1.32,0.004
ENPP3,-0.646,1.1861143105340773e-05,0.0197,22.2,8.5,-1.28,0.004
C6orf99,0.646,1.195549070300705e-05,0.0197,1.5,5.6,1.4,0.004
GUCY1A1,0.645,1.231408781464492e-05,0.0197,9.3,37.7,1.91,0.004
FREM2,0.636,1.795621605777372e-05,0.0261,24.5,68.6,1.45,0.0081
LINC02762,0.634,1.9299745994165163e-05,0.0261,52.7,83.5,0.66,0.004
CATSPERB,0.626,2.632226777923658e-05,0.0307,2.2,12.8,2.12,0.004
ESRRG,0.625,2.7257688604903255e-05,0.0307,33.2,204.5,2.59,0.0727
PTCHD1-AS,0.624,2.7978985620942066e-05,0.0307,7.9,46.3,2.41,0.004
KCNAB2,0.619,3.4699573117843454e-05,0.0359,5.2,40.7,2.74,0.0081
LINC01205,-0.616,3.777567848924949e-05,0.0369,33.6,7.3,-2.06,0.0485
EVC,0.614,4.075371196132533e-05,0.037,16.1,51.6,1.62,0.004
FAM83F,0.613,4.214442225210574e-05,0.037,4.2,18.7,1.93,0.004
DOK6,-0.611,4.619382672828586e-05,0.0387,100.7,16.3,-2.56,0.0081
