"","logFC","logCPM","F","PValue","FDR"
"TMEM125",5.12920329894579,-0.948161208861514,41.563915593083,3.6482510965829e-08,0.000443633972762062
"BICDL2",3.94907294989946,0.00332747277966777,39.8385733623573,4.22066380707889e-08,0.000443633972762062
"GRHL2",3.06064789044923,2.38131649327722,43.0644164595469,6.38663278761117e-08,0.000447532648203874
"B3GNT3",2.92091829895186,0.220234237753382,35.5475358593062,2.54591578726633e-07,0.00110546605472736
"CATSPERB",3.45699593306871,2.82180660527074,36.8289104430219,3.65950927645867e-07,0.00110546605472736
"SLC6A11",3.58518210154268,0.616643135277424,34.416668630755,3.65995826059599e-07,0.00110546605472736
"TMEM150B",4.27000853464813,2.93069367213199,36.6347065418667,3.68103053139166e-07,0.00110546605472736
"LINC02365",4.26756145878633,1.7989289599531,34.4920084502954,4.49665337127281e-07,0.00111943958354321
"CXCL10",5.41221129387375,0.520405893479517,33.2355385248125,4.79257741979302e-07,0.00111943958354321
"PAQR5",3.10664030606985,1.80475915352566,34.2752833128978,5.6342466179264e-07,0.00118443132402049
"BSPRY",2.06993533922271,0.76572903785331,32.0836927375009,9.07974674866073e-07,0.00173522214682133
"EPCAM",2.27595024402959,1.0834083883122,31.4829806390926,1.15316616234713e-06,0.00202015492207178
"LAMP1",0.916633669654816,4.99799658592687,32.4933315101882,1.53347815100091e-06,0.00247975213002625
"SPINT2",2.71329374315126,2.40167011659468,30.1823233159868,2.30674093271257e-06,0.00346373627767741
"KRTAP5-AS1",3.30359582828014,1.51343268291189,28.7798983055441,2.56582255480889e-06,0.00359591478314617
"KCNJ16",3.03531063118628,0.431346386251903,27.6380544301857,3.17565518875293e-06,0.00417241396112276
"PLCH2",2.5387642611183,2.97544201129606,28.1256439123467,4.77748432578816e-06,0.00590778091157169
"EEF1A2",4.61141753270667,-0.688712363348785,24.2292442341204,8.76729989861266e-06,0.00982954339792471
"FAM3B",3.72723060404893,0.382633658268498,24.5157538543344,8.88408926650982e-06,0.00982954339792471
"LINC00265",1.55545661980733,2.19197786342181,25.1930745706201,1.06244461520144e-05,0.0111673553503823
"NFATC4",2.88803576966008,-0.296470026744316,22.8757691596098,1.2692819852475e-05,0.0127061170923204
"ZNF714",1.99451682416492,2.45280648188067,24.5810724149225,1.33169192655929e-05,0.0127249216727861
"GPRC5B",2.55439479302177,0.737997564722924,23.4689601146383,1.39600830028613e-05,0.0127595158646152
"PTPRD",-1.07964329516909,6.97503773323233,24.5297190514386,1.57796497153826e-05,0.0131100853278115
"TNFRSF21",2.23527991144525,0.988284588910979,23.1135999742407,1.65810894164841e-05,0.0131100853278115
"S100A14",2.34153071802045,0.658510273085721,23.0165656749769,1.69773102352995e-05,0.0131100853278115
"PLUT",2.52434077998409,1.01778398529449,23.0475244400482,1.70177327395206e-05,0.0131100853278115
"SPRY4-AS1",1.81765742771173,3.19266856940077,23.9906163036615,1.74618204347218e-05,0.0131100853278115
"MAGI2-AS3",-0.916930512300774,5.13391414545749,24.0765478572279,1.82768247788199e-05,0.0132488072586328
"ABCC4",1.91315735437547,5.14624015314834,23.790429628162,2.00210304249297e-05,0.0140294033864291
"C6orf99",1.70290552565812,1.62583189643437,22.3838165016213,2.48788624503696e-05,0.0168710789171506
"INAVA",2.85146797394769,-0.403350830698503,20.9825042809226,2.70607681118636e-05,0.0177772333514874
"ANKRD29",1.9996444115644,3.18705128716381,22.4530484985269,2.95805667235862e-05,0.0188437173837342
"RAB25",2.84723604160217,-0.795813448467948,19.9950278511593,3.61941071160405e-05,0.0220270597911576
"ARHGAP27",1.55287639236615,3.24908485503701,21.8026771027352,3.66733466221347e-05,0.0220270597911576
"SDCBP2",1.62396289555528,3.11597292581153,21.4206990077002,4.1385695796963e-05,0.0236662735220164
"ZNF439",1.46482955909487,1.32007565904646,20.6529846987851,4.26262156514584e-05,0.0236662735220164
"AL390719.2",2.75535099835696,0.943281947617383,20.3240233787578,4.30106801817367e-05,0.0236662735220164
"AP1M2",2.20138622755098,-0.168854057577586,19.7696583379355,4.39056544267264e-05,0.0236662735220164
"PKP3",3.924000202,-0.835938938825565,19.2466174942728,4.94874295475423e-05,0.0249936606189978
"TMC4",2.42080818371424,2.3818576579953,20.4061405179258,5.02535356306497e-05,0.0249936606189978
"AL161785.1",1.82138158971286,0.465048004051363,19.7899770849069,5.04478668852663e-05,0.0249936606189978
"CCDC187",3.3634900328242,-0.525612025569986,19.2636587102729,5.11239371428459e-05,0.0249936606189978
"DSCAML1",2.93830932596274,3.20699886563618,20.5590673859755,5.36578387930278e-05,0.0255378633027963
"TREH",1.87437349127065,3.37468162585866,20.629383166478,5.46667228915343e-05,0.0255378633027963
"ILDR1",2.40620442687329,0.436939696017219,19.5226209068517,5.63207813154599e-05,0.0257385970611652
"SPINT1",2.81048718454744,-0.044088739658349,19.0289350872404,5.88097947444324e-05,0.0263042447897332
"ZNF431",1.6138088748349,3.25169638019528,20.0597390003606,6.64252817420166e-05,0.0290915056829307
"ACSM1",2.42134731352604,4.41330215619874,19.8523915752452,7.29690020825228e-05,0.0313051910567101
"ADGRG1",2.56455514228913,1.90274100774044,18.8235231978964,8.35382554205639e-05,0.0345881991083971
"TUSC3",2.17985873560943,2.37898562769528,19.1168236833942,8.39120043063577e-05,0.0345881991083971
"FAM83F",2.12037339016134,3.16031259687931,19.0838900054338,9.18559576613982e-05,0.0371345373453445
"PTGDS",3.03969084650717,0.926466190639999,17.9929398681746,0.000100083701552068,0.0389210522338109
"ARHGEF16",1.80244915093179,2.83338277601927,18.7273965130742,0.000101308833421818,0.0389210522338109
"AC098617.1",4.55027653831132,5.3371247188422,18.8536955017799,0.000101829410753477,0.0389210522338109
"AC006206.2",3.46121295036641,0.182660852005978,17.6523919075785,0.000106088705683485,0.039824942337111
"TAFA5",1.95471319899521,2.91030784166116,18.3049098865043,0.000117756347310484,0.0431130731179236
"LINC02541",1.65193353107875,2.02646914930934,17.9504030019053,0.000119959875356455,0.0431130731179236
"SLCO2A1",2.54554072611765,0.209160515675839,17.4010954065428,0.00012100044305763,0.0431130731179236
"SOX9",2.38469934840291,0.866772453036226,17.5509950482193,0.000124427232180061,0.0435951545814875
"SLC7A1",2.26851715070905,1.22262249004833,17.2768643116588,0.000138849002073994,0.047271762263561
"RNF187",1.05813990209563,2.63332148249941,17.7361993784091,0.000141597627057175,0.047271762263561
"EPCAM-DT",1.37451783188349,2.32563727304608,17.6874520621931,0.000141843977611456,0.047271762263561
"SOX4",2.49252839733051,1.09286646517755,17.1636630748523,0.000143915554412896,0.047271762263561
"EMILIN1",2.01659493589644,0.144045551803601,16.7431221117835,0.000155242486109497,0.0502078083537516
"FCAMR",1.82473654573704,2.23864799317805,17.274086385382,0.000159238892397683,0.050719999939153
"AC068875.1",1.58268248816466,1.9151820847363,17.0114439818331,0.000173162127886762,0.0543315560065001
"FBLN5",2.19610274497408,0.678789778155769,16.5636988358021,0.00017963369026289,0.0555332270103893
"NCS1",1.35153130012668,0.573376975731459,16.4714150297639,0.000185021580747291,0.0563699082676747
"LRRC1",2.29694690271959,2.75950958514504,16.9041199341022,0.000189490206675736,0.0564161863571549
"IGHA1",2.84683864088531,2.66699856524924,16.553151976722,0.000197263416292819,0.0564161863571549
"ADGRV1",-1.05167440163095,5.98091917551806,17.0087441248636,0.000198097219288299,0.0564161863571549
"SPIN3",-0.608425561523827,5.22990115536058,17.0002733662123,0.000199022946256938,0.0564161863571549
"HK1",1.9994121621656,2.15742956144951,16.6527071383193,0.000199104955584565,0.0564161863571549
