gene,logFC,hep_burden,top_nonhep,top_nonhep_burden,chol_burden,nonhep_over_hep,corr_hepCPM_vs_cholFrac,verdict
KCNJ16,3.04,0.01,Cholangiocytes,2.16,2.16,238.97,0.68,ambient
BICDL2,3.95,0.01,Cholangiocytes,0.63,0.63,102.7,0.56,ambient
GRHL2,3.06,0.05,Cholangiocytes,3.51,3.51,77.93,0.36,ambient
SLCO2A1,2.55,0.01,Endothelial,0.65,0.02,70.85,0.41,ambient
GPRC5B,2.55,0.01,Cholangiocytes,0.99,0.99,70.69,0.35,ambient
DSCAML1,2.94,0.08,Cholangiocytes,5.55,5.55,70.16,0.59,ambient
INAVA,2.85,0.01,Cholangiocytes,0.3,0.3,54.71,0.53,ambient
NFATC4,2.89,0.0,Stellate,0.23,0.04,53.63,0.34,ambient
FAM3B,3.73,0.01,Cholangiocytes,0.33,0.33,37.12,0.43,ambient
SPINT1,2.81,0.01,Cholangiocytes,0.3,0.3,36.5,0.56,ambient
PAQR5,3.11,0.04,Cholangiocytes,1.47,1.47,35.36,0.27,ambient
TMEM125,5.13,0.0,Cholangiocytes,0.07,0.07,33.07,0.53,ambient
ZNF439,1.46,0.02,B-cell 1,0.52,0.46,28.92,0.47,ambient
EPCAM,2.28,0.02,Cholangiocytes,0.45,0.45,24.97,0.34,ambient
AP1M2,2.2,0.01,Cholangiocytes,0.13,0.13,24.02,0.3,ambient
PTGDS,3.04,0.01,Stellate,0.24,0.02,23.73,0.46,ambient
TUSC3,2.18,0.09,Stellate,2.01,0.88,21.79,0.12,ambient
AL390719.2,2.76,0.01,Cholangiocytes,0.27,0.27,20.63,0.34,ambient
TMC4,2.42,0.03,Cholangiocytes,0.7,0.7,20.28,0.54,ambient
RAB25,2.85,0.0,Cholangiocytes,0.05,0.05,18.96,0.04,ambient
PLUT,2.52,0.02,Cholangiocytes,0.33,0.33,18.7,0.11,ambient
ARHGAP27,1.55,0.07,Neutrophils,1.35,0.26,18.63,0.21,ambient
B3GNT3,2.92,0.01,Cholangiocytes,0.26,0.26,18.19,0.3,ambient
BSPRY,2.07,0.01,Cholangiocytes,0.2,0.2,16.73,0.22,ambient
TNFRSF21,2.24,0.08,Cholangiocytes,1.31,1.31,16.21,0.29,ambient
EPCAM-DT,1.37,0.04,Cholangiocytes,0.65,0.65,14.85,0.34,ambient
SOX9,2.38,0.02,Cholangiocytes,0.32,0.32,14.54,0.39,ambient
AL161785.1,1.82,0.01,Neutrophils,0.2,0.13,14.38,0.27,ambient
ILDR1,2.41,0.01,Cholangiocytes,0.12,0.12,13.62,0.11,ambient
ADGRG1,2.56,0.03,Lymphocytes,0.4,0.16,13.06,0.14,ambient
SLC7A1,2.27,0.14,B-cell 2,1.67,0.33,12.03,0.12,ambient
LINC02541,1.65,0.03,B-cell 2,0.32,0.01,10.63,0.3,ambient
ZNF431,1.61,0.09,Lymphocytes,0.92,0.61,10.34,0.25,ambient
ABCC4,1.91,0.27,Cholangiocytes,2.66,2.66,9.85,0.06,ambient
CATSPERB,3.46,0.15,Cholangiocytes,1.38,1.38,9.27,0.13,ambient
SPINT2,2.71,0.04,Cholangiocytes,0.32,0.32,8.64,0.24,ambient
CXCL10,5.41,0.01,Cholangiocytes,0.11,0.11,7.82,-0.09,ambient
SPRY4-AS1,1.82,0.08,Stellate,0.58,0.33,7.71,0.12,ambient
SOX4,2.49,0.18,Cholangiocytes,1.3,1.3,7.36,0.33,ambient
PKP3,3.92,0.0,B-cell 1,0.02,0.02,6.75,0.21,ambient
AC098617.1,4.55,0.33,Cholangiocytes,2.09,2.09,6.43,0.07,ambient
TMEM150B,4.27,0.07,Macrophages,0.41,0.01,6.0,0.09,ambient
ZNF714,1.99,0.05,Macrophages,0.31,0.19,5.99,0.04,ambient
PTPRD,-1.08,1.12,Cholangiocytes,6.63,6.63,5.94,0.01,ambient
EEF1A2,4.61,0.0,B-cell 1,0.02,0.01,5.35,-0.06,ambient
LINC00265,1.56,0.04,B-cell 1,0.21,0.12,5.27,0.13,ambient
ANKRD29,2.0,0.07,Cholangiocytes,0.39,0.39,5.26,0.09,ambient
ACSM1,2.42,0.22,Endothelial,0.98,0.62,4.35,0.21,ambient
S100A14,2.34,0.01,Cholangiocytes,0.05,0.05,4.04,-0.07,ambient
ARHGEF16,1.8,0.06,Cholangiocytes,0.25,0.25,3.93,0.08,ambient
TAFA5,1.95,0.21,B-cell 2,0.76,0.18,3.61,0.09,ambient
FAM83F,2.12,0.11,Cholangiocytes,0.38,0.38,3.37,0.15,ambient
AC006206.2,3.46,0.01,Cholangiocytes,0.05,0.05,3.19,-0.02,ambient
KRTAP5-AS1,3.3,0.05,Cholangiocytes,0.16,0.16,3.15,0.11,ambient
PLCH2,2.54,0.06,Lymphocytes,0.16,0.02,2.87,0.07,mixed
C6orf99,1.7,0.02,B-cell 2,0.06,0.02,2.6,-0.1,mixed
RNF187,1.06,0.04,Lymphocytes,0.11,0.05,2.59,0.01,mixed
MAGI2-AS3,-0.92,0.35,Stellate,0.81,0.14,2.35,0.03,mixed
LAMP1,0.92,0.28,Macrophages,0.63,0.27,2.26,0.08,mixed
CCDC187,3.36,0.01,B-cell 1,0.02,0.01,2.04,-0.07,mixed
SDCBP2,1.62,0.09,Cholangiocytes,0.19,0.19,2.0,0.15,mixed
LINC02365,4.27,0.07,Cholangiocytes,0.08,0.08,1.13,0.16,intrinsic
TREH,1.87,0.06,Stellate,0.04,0.04,0.64,0.15,intrinsic
SLC6A11,3.59,0.13,Cholangiocytes,0.06,0.06,0.45,0.1,intrinsic
