"","logFC","logCPM","F","PValue","FDR"
"TMEM150B",4.28975008862323,2.93331722072426,37.2161118732831,3.26952870831859e-07,0.00199374648739901
"SLC6A11",3.64529818457779,0.665764831380622,34.8065997619036,3.58006504347345e-07,0.00199374648739901
"CATSPERB",3.49336531747081,2.60768141507071,36.0711534893956,4.35667939925928e-07,0.00199374648739901
"LINC02365",4.29827631412042,1.82541364027202,34.5126712670521,4.74171898625979e-07,0.00199374648739901
"CXCL10",5.24795612278568,0.259728383005247,33.0090686015952,5.13375859357043e-07,0.00199374648739901
"LAMP1",0.906683339254077,4.95532249658085,33.2084805116005,1.27697917287381e-06,0.0039403716755613
"B3GNT3",2.75334833935646,-0.0372563118939717,29.9177692911748,1.42046563646766e-06,0.0039403716755613
"SPINT2",2.67898250714462,2.1107166597986,29.9162461615238,2.39417505776808e-06,0.00532582656363149
"BSPRY",1.93882292774931,0.557328536648187,28.9229241025419,2.46845396398617e-06,0.00532582656363149
"KRTAP5-AS1",3.30548979477888,1.4655006880145,28.3098202538798,3.07363856425678e-06,0.00574883733820102
"PLCH2",2.60102725827762,2.97893740905614,29.1825052092929,3.54962816387299e-06,0.00574883733820102
"ESRP1",2.65528280784664,1.51585922638368,28.1086584042094,3.55268555249831e-06,0.00574883733820102
"EEF1A2",4.64847132203738,-0.680325154636045,26.312555117452,4.23704014996925e-06,0.00632883427939253
"EPCAM",2.00351382451257,0.546786080611025,25.5337920043921,7.38433185762996e-06,0.0102420682865328
"PLUT",2.52206859346245,0.7702629915838,23.8306645028106,1.30330944472399e-05,0.0160438889184639
"ARHGAP27",1.41474254803773,2.74915005918313,24.8351623048971,1.32198075340108e-05,0.0160438889184639
"C6orf99",1.73854958792491,1.66053019800032,24.0659479554514,1.46988720644117e-05,0.0167895704556909
"PAQR5",2.54436567550857,0.82516329929558,23.2298773763773,1.63318136068943e-05,0.0168946196015427
"PTPRD",-1.09190044545093,6.919435880046,24.4100253941363,1.6530938944758e-05,0.0168946196015427
"S100A14",2.30811043274463,0.63945454765795,22.2278916877251,2.30812066043783e-05,0.0222031218131398
"SPRY4-AS1",1.78097402012404,2.88494095852354,22.9315534888055,2.40337068805662e-05,0.0222031218131398
"LINC00265",1.49634861361693,2.05609836861882,22.5572530298241,2.51554578169264e-05,0.0222031218131398
"FAM3B",3.60763283907318,-0.529708540074927,20.8493379240707,2.63813814104002e-05,0.0222727680098761
"CCDC187",3.4254450513756,-0.487709642782106,20.756798259539,2.99476076050488e-05,0.0234561481200924
"ANKRD29",2.00158020795583,3.13125584712269,22.4068273264684,3.0198975332285e-05,0.0234561481200924
"SDCBP2",1.64142891300673,3.11206441197288,21.9069291766628,3.55064459048879e-05,0.0259868621421819
"TREH",1.9402718856756,3.41546227792902,21.8972968675732,3.61337561972866e-05,0.0259868621421819
"ZNF714",1.88213948463603,2.21507746402386,21.3647704583165,3.79828698736498e-05,0.0263411202573761
"ABCC4",1.86310236556877,4.94850407991076,20.8304650912617,5.29349494194345e-05,0.03544451199402
"MAGI2-AS3",-0.876886836204429,5.1333637794804,20.4701770919397,5.9676856943286e-05,0.0386268402708242
"PKP3",3.77147177923607,-0.89310878185942,18.6345904428704,6.314583141877e-05,0.039553734015796
"FAM83F",2.14399644573867,3.16712587697711,19.6838803747373,7.50789364733926e-05,0.0455588371387606
"ACSM1",2.40858439093073,4.29768020515078,19.6183982467671,7.93314656441221e-05,0.0466805575720474
"AL390719.2",2.57002910835344,0.546367631156607,18.5121571249008,8.37158477593722e-05,0.0478115979938673
"AP1M2",1.90099520329522,-0.578182718591074,17.6476822532373,9.54191446254987e-05,0.0507338404455309
"ZNF431",1.4109795627462,2.64894011658728,18.8794705068083,9.65540302069315e-05,0.0507338404455309
"ADGRG1",2.53631731272398,1.64851788931429,18.3863174662199,9.66707228594419e-05,0.0507338404455309
"TAFA5",1.98517673676008,2.9556236654309,18.7137966482566,0.000102810403151237,0.0510093843672639
"ARHGEF16",1.80588904003007,2.77848432578377,18.6545062326981,0.000104538359013083,0.0510093843672639
"TMC4",2.13000170109361,1.8831597691246,18.2927674160973,0.000105076494731206,0.0510093843672639
"ILDR1",2.35607960708561,0.309518053098007,17.8345689461416,0.000107795526032195,0.051053012792516
"AC098617.1",4.55428442424519,5.18005869410502,18.6221427436186,0.000111009476279337,0.0513233811998133
"AC006206.2",3.46874481387218,0.149681734825869,17.4505198812364,0.000117095295042434,0.0528780567240462
"LINC02541",1.67389296075615,2.06722433664249,17.9320155917776,0.000123410637631086,0.0544633582163732
"CMTM4",0.600861303737959,5.07584573303483,18.0265816410377,0.000138671281390025,0.0598381987118111
"TUSC3",2.21495510903328,1.96751590693113,17.2861918302813,0.000157680241286008,0.066112520491092
"SLC7A1",2.29374377214633,1.10673322539162,16.942153909418,0.000160021035280736,0.066112520491092
"RNF187",1.0208270304935,2.56123164251161,17.2728921715788,0.000168313538545468,0.0680898394057477
"FCAMR",1.87579296306065,2.28915632769795,16.9579712035837,0.000182799188942836,0.072440707161061
"NECAB2",1.80992223223459,6.83994805192795,16.5920439637117,0.000231531890340882,0.0899177249327849
"WDFY3-AS2",-2.39921836390052,0.844803818391529,15.7467352049973,0.000245563782998292,0.0934972066325652
"AL121839.2",3.58325701227935,-0.164294903532573,15.4127509547858,0.000252203284501242,0.0941785265085601
"ADGRV1",-0.998504154076474,6.02163739339096,16.2570292894875,0.000261843859751931,0.0959336616728868
"C14orf119",0.856870318220643,3.40396644449744,16.1617607934575,0.000267812147574544,0.0963032644741204
