"","logFC.F1...F0","logFC.F2...F0","logFC.F3...F0","logFC.F4...F0","logCPM","F","PValue","FDR"
"AP000561.1",-3.42974789772245,-4.00390665176886,-3.88780432754523,-4.18183922995541,2.22500287766239,29.5414752025456,7.68167003190405e-12,1.61484067410687e-07
"DNM1",-2.53022233024815,-2.56130755519691,-2.5393263162411,-2.17457425989092,5.45521541792797,22.3433363677955,1.69028898707465e-09,1.77666275431417e-05
"GRHL2",0.513185575676737,0.688466157485685,1.3061438683767,3.57383346612597,2.38131649327722,16.8583099683911,2.71143691264072e-08,0.000189999422591777
"BICDL2",-0.185839122336558,0.434605155818838,0.551610374840972,3.7632338275629,0.00332747277966777,13.3396049112909,9.26566088827039e-08,0.00048695680798305
"TRPM1",3.24001199646057,0.000636624344810341,-0.126379935097923,0.0949851504807789,2.3151626148453,13.2815571716948,3.67032625653342e-07,0.00120626101052911
"TMEM125",1.77786251929379,3.98985855857043,3.5163854939533,6.90706581823958,-0.948161208861514,12.3643250275749,3.74852599400922e-07,0.00120626101052911
"CIZ1",-1.59059955633253,-1.50756259551088,-1.56087872166925,-1.49826292129096,4.97165129683462,14.1346783432713,4.01666210336969e-07,0.00120626101052911
"AC021698.1",3.82140174171195,7.68986711320508,4.2985582930865,3.01187496768376,0.398863022195691,12.0181901921516,4.82462396211896e-07,0.00126779056164581
"FGF12-AS1",3.17742318946745,7.62144688661216,4.12984078193143,4.18925812824498,0.302829986097022,11.6620514053966,5.68751091804668e-07,0.00132847616132419
"LINC02794",-2.41622158781031,-3.97581480420889,-2.52634214545235,-3.02562345933537,0.3031875056969,11.2954266914883,1.00289846089341e-06,0.00210829314449012
"CATSPERB",0.408627991574245,1.59960246081332,2.61480044115603,3.86562392464295,2.82180660527074,12.2929601776171,1.25654393775833e-06,0.00240136969632323
"AC008459.1",2.5167125484092,7.60943898143676,3.20256737307764,5.7188570079645,0.285553085647831,10.6726816468318,2.30455379263649e-06,0.00376773128011818
"ZNF714",1.18154741926316,2.41202275985224,2.87360548075935,3.17606424342807,2.45280648188067,11.5985533849407,2.32996416333062e-06,0.00376773128011818
"KCNJ16",2.4478496093578,2.45466201599802,3.01328601588244,5.48316024054408,0.431346386251903,10.6582141251044,2.69864213597482e-06,0.00405220392731876
"CYP2C19",-1.13818744250076,-1.83125390054801,-2.43205334205823,-2.68383571901363,9.04265223758146,11.4991813866245,3.40744383214109e-06,0.00477541894928467
"CXCL10",3.41778814922303,5.92330711465729,5.88448280076682,8.82999944309678,0.520405893479517,10.1206655751568,4.16754026637711e-06,0.00547562696748622
"TMEM150B",0.734822193919894,3.13388793517885,3.17602381752446,5.00483072856802,2.93069367213199,10.770295399093,4.69311433152455e-06,0.00580344996925348
"PAQR5",0.503515481697775,1.7492814189793,2.30880629268475,3.61015578776762,1.80475915352566,10.2778209669127,5.90443793442313e-06,0.00662239354837244
"LINC02365",0.871285848548769,2.93285147198281,3.40552848582609,5.13884730733509,1.7989289599531,10.0596012825756,6.20302646596538e-06,0.00662239354837244
"MROH6",1.40852408321829,-0.193738075137596,-0.461471757618807,-0.222061187974979,4.14721370143061,10.7701556027605,6.3004410126272e-06,0.00662239354837244
"LINC02541",2.00414485414009,3.032204954832,3.40030789151014,3.65607838521883,2.02646914930934,10.2552167535765,6.75546835500015e-06,0.00676254551232443
"B3GNT3",-0.710638012556467,0.107344975683319,0.424956965026479,2.21028028639539,0.220234237753382,9.50192905572446,8.69412210808372e-06,0.00806732870643247
"SLC6A11",-0.272951281555278,1.50438272913733,1.05715983534675,3.3122308199874,0.616643135277424,9.46086720082337,9.28096262227744e-06,0.00806732870643247
"PLUT",1.38441036511273,1.95798642680632,3.13177605345284,3.90875114509682,1.01778398529449,9.65230558146914,9.32982496371578e-06,0.00806732870643247
"ZNF431",1.0581864944422,2.23588998874007,2.42781991781215,2.67199536927709,3.25169638019528,10.2804286303548,9.59391198082065e-06,0.00806732870643247
"UMODL1",4.69977177896681,4.21149846898467,8.25111366510541,3.95511790869616,0.824708593384722,9.1178568224567,1.08891466240068e-05,0.00880429385884116
"SPRY4-AS1",-0.0463198486557455,-0.184457669984226,0.0172884893084226,1.77133757905599,3.19266856940077,10.0313863545924,1.1308741176102e-05,0.00880490211125986
