"","logFC","logCPM","F","PValue","FDR"
"GRHL2",3.72910480076192,2.74922054503492,39.9382420276998,5.66677053599204e-08,0.000835168641594508
"PAQR5",3.71258837170592,2.45968708633755,31.673062444309,6.1110214251434e-07,0.00368461040712965
"ARHGEF16",2.37764504177562,3.01965676977842,31.9035289594223,1.04824585220377e-06,0.00368461040712965
"FAM83F",2.76148532354668,3.37359760290919,31.9223613540309,1.2532404781513e-06,0.00368461040712965
"KRTAP5-AS1",3.91747828563399,2.41228604226003,29.0838608988547,1.46490780973798e-06,0.00368461040712965
"PLCH2",3.05029691150335,3.08833249722823,30.5463124906312,1.50004494794259e-06,0.00368461040712965
"ACSM1",2.88339404590865,4.08359225712324,31.001877074673,2.09879226810999e-06,0.00395158193211044
"SPRY4-AS1",2.30207555992587,3.40217998711832,29.933596304461,2.14497594360724e-06,0.00395158193211044
"LINC02365",4.42670387824481,2.17193678647325,27.013720244281,2.89964378730808e-06,0.00474832779303849
"FCAMR",2.94942761985053,2.75675287090709,26.8711586045382,3.64737578496184e-06,0.00537550243187675
"IL32",2.95801671247516,5.20305019860017,29.7312844710633,4.35388710654293e-06,0.00583341710692997
"ERICH5",2.1319864968241,3.05088902444843,27.1113647086932,4.90382629794035e-06,0.00602271599825374
"PTPRD",-1.19898820034248,7.31032591066145,26.9386280027491,7.94524832347016e-06,0.00900746690702332
"SDCBP2",2.05490098669571,3.25136418971775,25.0212549481351,1.02354650169499e-05,0.0103833917846892
"TMEM150B",3.91740940693067,3.45317515131854,24.7195019672536,1.05679791539109e-05,0.0103833917846892
"COL7A1",2.65163389520641,2.86475109356627,23.2930384859254,1.45517270464631e-05,0.0128330170334565
"LRRC1",2.91101221938407,2.98003621968973,23.3890160069391,1.48026387276944e-05,0.0128330170334565
"PLUT",3.45560088131972,1.791125765837,21.7249542266356,1.71365404174907e-05,0.0133488830389034
"ARHGAP27",2.04591316208921,3.47949454257627,23.5663742647677,1.72091720544962e-05,0.0133488830389034
"KCNAB2",2.79546359081416,4.12573649212634,23.4717147535001,2.20841049445235e-05,0.0157129295849096
"CXCL10",6.28402847500649,2.01838292879812,22.2873218669506,2.23891655097775e-05,0.0157129295849096
"TMC4",2.46419512843983,2.88681803611043,22.0054969312735,2.35581525392823e-05,0.0157818205510883
"LAMP1",1.07740921960271,5.0589829835768,22.9647157820655,2.68151371524604e-05,0.0167644036484515
"AC010333.2",2.98044078620051,3.52192471790487,22.034202933469,2.72998838080361e-05,0.0167644036484515
"TMEM8A",1.70806535897655,3.53593900682231,21.0694704864322,4.1297664848869e-05,0.0243457993817053
"TAFA5",2.03290021238027,2.87040609510533,20.2254633631635,4.69386374298415e-05,0.0266069860938847
"ANKRD29",2.20314077640977,3.48383541879813,20.3856058552271,5.26131092248344e-05,0.0277349308514231
"PTGDS",3.4006370255794,1.68553693589175,18.8894339270071,5.34249494956686e-05,0.0277349308514231
"PFKFB2",1.84207208109188,3.07589171740181,20.0242112144688,5.45740938181077e-05,0.0277349308514231
"RELB",2.13421537959427,3.77346270428898,20.0061238817543,6.28969837090646e-05,0.0301029280220771
"EBF4",2.27272955089642,3.36285239783152,19.6148975404306,6.36426076046099e-05,0.0301029280220771
"TREH",2.02571913141349,3.67810991405581,19.8367848249693,6.6017873377914e-05,0.0301029280220771
"SPINT2",2.96037654158736,3.0051455467599,19.0992029924585,6.93530412761031e-05,0.0301029280220771
"IL34",2.81366459013774,2.04179113303835,18.3122038391414,7.07493250580367e-05,0.0301029280220771
"TUSC3",2.47147448922473,2.6335883500383,18.9015519758301,7.14888370723775e-05,0.0301029280220771
"TPK1",-1.22702530102415,5.83509496365598,19.943640517629,7.35540329121148e-05,0.0301122038071875
"ZNF431",1.94767190315101,3.64869912781761,19.3164676209303,7.5943979930043e-05,0.0302503344921344
"MED19",-2.33020464971038,3.19307816283589,18.5192799442114,8.85329831608695e-05,0.0343368185743393
"SOX9-AS1",1.89664645460866,3.70672970103667,18.8038957798125,9.70279284613515e-05,0.0366666053759846
"CDC42BPG",2.02871658645479,2.09438594135762,17.3575064201446,0.000112179156382347,0.041108668274559
"CMTM4",0.861927153578899,5.22276887828171,18.5703281489896,0.00011661888192316,0.041108668274559
"SLC6A11",3.88653470263982,1.79253249941024,17.2511488926743,0.000117150499900358,0.041108668274559
"EPB41L1",2.29326437320924,4.28561727583516,18.3478861343331,0.000126532100573851,0.04336814181994
"SRD5A2",-1.00832589890126,7.49928525415,17.8335883482388,0.000151706190116335,0.0507807224193599
"ATP5F1A",1.02931164292223,5.18442781077678,17.7589795599573,0.000155050380572072,0.0507807224193599
"SEPTIN8",1.32861973110035,3.67841658029631,17.2484471215752,0.000163811319899679,0.0514625591771419
"CATSPERB",2.74588471742906,2.70687001664259,16.6839523398741,0.000164115909982743,0.0514625591771419
"TAFA2",-1.01034093102437,6.44076556027746,17.5372605621447,0.000168988940164676,0.0516541058292084
"CFHR5",-1.69376872613138,5.37919891924872,17.4779616352831,0.000172107777840701,0.0516541058292084
"PSIP1",-1.50272444260719,4.58918019566346,17.3415738145354,0.00017524123296651,0.0516541058292084
"FGF13",3.49138097676019,4.72073187997401,17.6602072324488,0.000181149037654558,0.0523485199402525
"WDR13",1.6427867153269,4.79389629693119,16.8305966371839,0.000211132122477018,0.0598397157897364
"AC098617.1",4.74757064716523,5.73069936620858,16.9567814641557,0.000245843600261981,0.066941634727227
"SLC2A14",2.26024771804062,5.06250589076608,16.7180936781085,0.000250592746371822,0.066941634727227
"WNK2",2.65339190926634,2.45143427336297,15.4663995330243,0.000253356324622042,0.066941634727227
"ZDHHC7",0.78688977851304,5.55059289949653,16.395995057167,0.000254358226674224,0.066941634727227
"CLIP4",2.77780089541478,3.36041673488175,15.8149288855945,0.000270671302197913,0.0699851517858393
"SOX4",3.49415743579889,2.0256247225665,15.014826997652,0.000282107224558957,0.0707001072603318
"KTN1",-0.617593316837428,7.28538758614172,16.1007368462891,0.000283030691298655,0.0707001072603318
"KRT7",3.57515353292921,1.6827842091217,14.9243569181139,0.000288949098393937,0.0709755302021641
"LINC00265",2.09520461770087,2.59325651207398,15.0824920207558,0.000312637460395154,0.0755352605131767
"SFXN1",-0.620089531209898,7.88774227920005,15.7473566804547,0.000322105240133806,0.0755736888528576
"RANGAP1",1.18470945753523,4.99070354938445,15.71484899331,0.000323052137178045,0.0755736888528576
"EFNA5",2.27778087306103,2.61648818996026,14.7362339449226,0.000354172215858071,0.0814610444785929
