"","logFC","logCPM","F","PValue","FDR"
"SPINT2",3.44895995090073,2.34696170676132,46.0787975628354,3.69981666555801e-08,0.000600295253986787
"LINC02365",4.62424585820345,1.63638428160562,38.9064468966077,1.11425329708353e-07,0.000903937987259016
"CATSPERB",3.98536049393447,3.17521310397996,34.7649864205506,7.445203317373e-07,0.00306378893074075
"ESRP1",3.04230071309225,1.88099664045925,32.8101638413423,7.55325468287396e-07,0.00306378893074075
"GRHL2",2.75101617890022,2.36828277567106,32.6735764758901,9.68551771992509e-07,0.00314295050011569
"KRTAP5-AS1",4.4098300735474,1.12953223456656,29.8131462586265,1.43138507479824e-06,0.00350266218259993
"TNFRSF21",3.26473068714178,1.08642366381771,29.4445239198616,1.57662101026479e-06,0.00350266218259993
"TMEM150B",4.9854578557392,2.67189470075091,31.7358313397813,1.72704452763017e-06,0.00350266218259993
"PLCH2",2.55775074759718,2.99272342631232,26.8853717281225,7.41179446612335e-06,0.0133618183569835
"IL18R1",-1.32370934516361,4.06479620186,24.3980809717531,1.83350349046263e-05,0.0297485941327563
"AKR1B10",5.46693538526583,3.41507147726531,21.7052879564474,3.48596915938121e-05,0.0406539606923708
"PAQR5",2.7420279390905,1.68197757872684,21.1927519792502,3.49918548783842e-05,0.0406539606923708
"DSCAML1",3.18419715499501,3.17109903270728,22.0972169857349,3.51806224637975e-05,0.0406539606923708
"HK1",2.71570570037433,2.15565642816322,21.4014721947147,3.62238628319879e-05,0.0406539606923708
"ACSM1",2.51624289289517,4.49270604878589,22.2136416156805,3.97940433685076e-05,0.0406539606923708
"MAGI2-AS3",-0.987338577156766,5.09144751997103,21.9353081615585,4.11786721240259e-05,0.0406539606923708
"SPRY4-AS1",2.10447288078262,3.24910054854046,21.538977863745,4.41673746809156e-05,0.0406539606923708
"CCDC168",-2.75295244293716,2.17472657964723,20.6813068989076,4.51014664075608e-05,0.0406539606923708
"PTPRD",-1.17563431507808,6.72338094967882,20.8152656730337,5.90886355765017e-05,0.0504585848541442
"AC068875.1",2.03907297310807,2.17817065160041,19.6735881887421,6.29038337915084e-05,0.0510307351633612
"TAFA5",2.35384005529876,3.29027644792747,19.3571483363544,9.17143679825556e-05,0.070860267643665
"AC074237.1",4.73578954761476,1.67461371194338,17.7678160770382,0.000104678843145384,0.077200646819721
"AL390719.2",2.85589176756815,1.1795952283108,17.414472747839,0.0001176790161008,0.0830148711406727
"ING3",-0.77640166853282,4.65014012319244,18.2656770308988,0.000138875181251392,0.0902369118420582
"AC098617.1",4.91102930699567,5.15835730176472,18.0913557890955,0.0001390399257967,0.0902369118420582
"ABCC4",1.75315116690312,5.27554614067598,17.7791712025304,0.000169875186058487,0.106008649761498
"ZNF714",2.15309247064693,2.5026199016526,17.0653330095423,0.000179624690335003,0.107941133358719
"FXYD2",3.43818309460879,2.16919117177988,16.7181012145525,0.000193357937346803,0.112044019051853
"FAM3B",4.03014248943076,0.39055785015681,15.7730902432522,0.000210269630040316,0.117642232669108
"SDCBP2",1.60980949377252,3.23442397370791,16.7662445384206,0.000226725023353415,0.120529532352344
"AC079922.2",1.69607484041019,2.1408368729168,16.2102738562538,0.000230287550257174,0.120529532352344
"LINC00992",2.80866353540579,1.09144276102711,15.5161160202362,0.00024527379781642,0.12411475845715
"SLC7A7",1.6117702645502,2.04627031889095,16.0215365931962,0.000253217506338218,0.12411475845715
"ZEB1",-0.643499473697859,7.78504377842755,16.4841693381215,0.000260086396766908,0.12411475845715
"RMST",2.26660623283164,1.2061669976279,15.0441815129819,0.000298442922053433,0.137194832948469
"PARK7",0.694263924064117,5.10999644734975,16.0260180591252,0.000308214772817762,0.137194832948469
"SAE1",0.815028562541821,5.41342412575053,15.8491908772309,0.000328084615895542,0.137194832948469
"TMEM132D",1.71794447566393,3.0784957043112,15.7077159642006,0.000328809786392767,0.137194832948469
"LINC01719",1.14568702020084,4.06067422913382,15.8203246277061,0.000332642758786508,0.137194832948469
"SCAMP1-AS1",1.44159915212916,2.06263591405094,15.1806947639523,0.000338230712970032,0.137194832948469
"TC2N",2.45246945834709,2.31902134304589,15.159582804379,0.000363460364145999,0.143832790445582
"C8B",-0.841049666008015,8.45344144813407,15.3194403345744,0.000397013445027503,0.153370074894553
"VAMP5",1.4765729419085,2.18927263128854,14.5726882461926,0.000438578214581087,0.165486779804143
"AC006206.2",3.45060288598006,0.68944282466507,13.5752578912243,0.000525165616602066,0.193654821122012
"FAM83F",2.04500804062226,3.17568875503785,14.257205260735,0.000561638995946955,0.201124733991759
"LINC00589",2.35412845002413,1.2062571884622,13.5602927563861,0.000570214962318701,0.201124733991759
"GCNT4",1.67310429591539,2.22910363332726,13.6825048375904,0.000645733440095356,0.218435307557511
"FGF21",2.09463872703552,0.925051951359217,13.0661141807566,0.000653784025067365,0.218435307557511
"EFNA5",2.21912875551353,2.06792221040506,13.4216447347163,0.000661680667514912,0.218435307557511
"RNF212",2.19228790273287,1.18518290420328,13.0917045587455,0.000683276263473422,0.218435307557511
"SKP2",-0.856526798758417,4.84403659569404,13.8282997720745,0.000694327469890386,0.218435307557511
"SH3BP4",0.926033908192363,5.29163515370989,13.7915182706605,0.000706060269574472,0.218435307557511
"MORC1",2.27813170923919,0.833928798593949,12.8236213165114,0.000725800786300794,0.218435307557511
"ADGRG1",2.8612433781703,1.91354830702239,13.2547179810426,0.000736632050845086,0.218435307557511
"FERMT2",-0.575971318037368,7.63081306089419,13.6588087386322,0.000740458669686477,0.218435307557511
"SLC15A5",-6.3152108114954,1.6586109990799,13.2354016804877,0.000760750139301631,0.220413768038732
"GOLGA5",-0.578117122927836,5.86510947654643,13.4676968794399,0.000797998548526492,0.224894477070182
"TUSC3",2.39526173291066,2.56148595959297,13.1382466486981,0.000817910426268059,0.224894477070182
"IGHA1",2.79350001432826,2.16441847711488,13.0497222862029,0.000821595769449636,0.224894477070182
"AC009271.1",3.67940540419521,0.867310671556077,12.5129589036347,0.000839967493336852,0.224894477070182
"AC093916.1",2.24350428500592,2.40882846795773,12.8681379632991,0.000845520067875569,0.224894477070182
"NECAB2",1.72196440077898,6.69724575040231,13.3347270061688,0.000860572433374692,0.225206253733942
"AL359813.1",2.86990760855066,1.1480356482795,12.4409330693664,0.000878070954784849,0.225348981941944
"SHC4",2.18553604766235,1.5439712139544,12.4951108002261,0.000916848075259469,0.225348981941944
"JAG1",1.96338901905154,1.67921256765963,12.4906837073377,0.000928020191776953,0.225348981941944
"CTSD",1.6853674467667,4.15302166239526,13.0536207778504,0.00094266880319662,0.225348981941944
"LAMP1",0.675816949154596,4.96941319550453,12.9752580714971,0.000968008015526378,0.225348981941944
"BMP2K",-0.611688626283103,6.87164549551608,12.9504181193355,0.000973674897746254,0.225348981941944
"ANKRD29",1.94693746095441,3.13241863891812,12.7998524806495,0.000980766068031669,0.225348981941944
"UTP23",-0.900110594327643,4.53667793356823,12.9258219257083,0.000980949250785089,0.225348981941944
"IGF2BP2",1.71282780593493,2.56175728704125,12.6409506072885,0.000986118811579537,0.225348981941944
"FBXO27",0.898730512288034,5.03049033510957,12.8192733580513,0.00102842202628795,0.228568640970351
"WEE2-AS1",-1.25138657506564,4.27021701616617,12.7860678940059,0.00102934019609625,0.228568640970351
"C1QTNF1",2.09425883293596,0.631811311708105,11.968436565772,0.00104247022692179,0.228568640970351
"PRKX",1.27037905303803,2.81969639146479,12.5968032320335,0.00105819418316662,0.228922674958378
