"","logFC","logCPM","F","PValue","FDR"
"GRHL2",2.82386094939412,2.90535717406048,33.6631914532729,4.24634213492477e-07,0.00410007171945416
"LAMP1",1.15094491029479,5.25324421686631,35.2662050640132,6.77451930153862e-07,0.00410007171945416
"TMEM150B",3.51391737887082,3.12214267526656,31.9717557715699,8.0773674536134e-07,0.00410007171945416
"LINC02365",3.50391877972047,1.85074133741265,29.3261476904558,1.27871909189373e-06,0.00486808358283944
"EPCAM",2.65259829179925,1.93260148693965,22.6362208274905,1.35890331461669e-05,0.040427746868287
"TMC4",2.62205174280059,2.77942428091464,22.7261555954588,1.59289782774968e-05,0.040427746868287
"TREH",2.09235343517914,3.51002961129047,21.7157363078904,3.03262008373384e-05,0.065972483764427
"IGHA1",3.32528094834649,3.61235951232964,20.9403780555711,3.47398729623222e-05,0.0661273481837803
"DSCAML1",2.89789720965861,3.60079218389041,20.8325915743287,4.16324543168221e-05,0.0704421127040631
"ACSM1",2.19311048223619,4.25872358915543,19.7616045872423,6.84442076747097e-05,0.0978057815871957
"SPINT2",2.63504834673535,2.75980441055009,18.7740487815513,7.18794999527329e-05,0.0978057815871957
"ZNF846",0.859110717880202,4.94878064780213,19.582883290231,7.70731139379005e-05,0.0978057815871957
"HKDC1",3.48456502699903,4.23165682630769,19.090733954965,9.48865189649382e-05,0.111148608522929
"RASEF",1.65559224680547,3.36722121979409,18.1127634488924,0.000106406806388893,0.115740203406433
"PLCH2",2.40399163762988,3.43581330417028,17.7251675466592,0.000123550685084146,0.119701162359027
"KTN1",-0.628823417612841,7.29126514964808,17.8560975059849,0.000143592340444453,0.119701162359027
"TMEM238",1.77921148433225,2.43257268108836,16.7673699414347,0.000148835150205098,0.119701162359027
"SPRY4-AS1",1.525941792681,3.6796482041978,17.2568937944187,0.000148917764493646,0.119701162359027
"SLC7A1",2.40160363402185,2.1277263240411,16.5372205219106,0.00014935133207391,0.119701162359027
"ALDH1B1",2.20098309595499,2.24429171225531,16.0475110813632,0.000192626982687855,0.129520039025685
"AC010333.2",2.58279078040337,2.96897468128951,16.1001648907756,0.000210983009765946,0.129520039025685
"TMEM219",1.18541437428353,4.34036078743379,16.6376356394948,0.000210994097519548,0.129520039025685
"AC090164.5",3.25926143424674,1.64098355279151,15.5957019501841,0.000215368495792252,0.129520039025685
"BSPRY",2.47259964063096,1.48387604367157,15.3842957964072,0.000220844283287816,0.129520039025685
"ABCC4",1.53637005392669,5.30290535842634,16.5412972230556,0.000228123343280032,0.129520039025685
"DCDC2",2.43294564187226,4.27516788501277,16.4699698872784,0.000228765653831963,0.129520039025685
"CNKSR1",1.76285950784106,2.56714704295371,15.6412153985522,0.000232591487102298,0.129520039025685
"QSOX1",2.08984182333499,2.13381793543672,15.3445909512674,0.000251025061933021,0.129520039025685
"CYP3A7",3.00360296971037,5.74908929038315,16.5161307552018,0.000251480677035176,0.129520039025685
"AL139231.1",-4.18469705490077,2.86268574899597,15.6165077095816,0.000255161621405999,0.129520039025685
"LIPA",-0.796074646728443,5.70672944329022,16.191720909065,0.000263979665811694,0.129673624225177
"ARHGAP27",1.54747688389055,3.62491308122431,15.7219155395758,0.000274825134105581,0.130782410692494
"IGSF3",2.84130372989166,1.68181867189539,14.7260082364271,0.000314518180390788,0.145135843969422
"TAFA5",1.69827480721263,3.27038591550067,14.9654540521392,0.000341578724076992,0.151623973771736
"ACTB",1.44184958020614,5.23851580675373,15.2681562010443,0.000366487069911378,0.151623973771736
"ARHGEF16",1.70483419543512,3.3050805533698,14.8367901964465,0.000372575279617674,0.151623973771736
"SLC22A15",2.55572902245394,2.64501915926843,14.5663603905702,0.000387244607344252,0.151623973771736
"CATSPERB",2.24975489039768,3.12326665834325,14.5703544644889,0.00039236558079028,0.151623973771736
"KCNN2",-1.29460295568735,7.22711001199448,15.06336520055,0.000400791288804316,0.151623973771736
"METTL7A",0.774390276340578,6.37466247832245,14.9481762780029,0.000419679257832631,0.151623973771736
"AC079760.1",-1.7965049559263,2.79016234748148,14.2014585041521,0.000427328284382686,0.151623973771736
"SEMA4D",1.23259676522996,4.2452673803466,14.6987052853009,0.000431171739412502,0.151623973771736
"SRC",1.71931826177867,2.95430763366061,14.3074855281384,0.000437791970565639,0.151623973771736
"PTCHD1-AS",2.32884152718852,4.76179176643647,14.8394188676787,0.000438104468476255,0.151623973771736
"GPC3",2.8695773976902,3.46003939517283,14.3099434824449,0.000467842479427174,0.158317895038156
"AL353740.1",3.13257896921626,2.47471109619455,13.8660133682399,0.000495425492025848,0.160677481117116
"NECAB2",1.73146351014334,6.96347554775223,14.6298625959158,0.000501012704335572,0.160677481117116
"C7",2.60756285605698,2.83866704905806,13.8508455130584,0.000506469601629997,0.160677481117116
"AC098617.1",4.0904223828307,5.37400394326089,14.2748341026459,0.000528651960094614,0.161484759065457
"KCNAB2",2.22722186416238,4.5331119082178,14.2836094622941,0.000530383130112575,0.161484759065457
"ANKRD29",1.50272782094363,3.28433723059561,13.8973884851288,0.000540827601283052,0.161484759065457
"ZNF714",1.80387824811226,2.9410359755043,13.7107776102093,0.000555246247944751,0.162601728148128
"ZNF439",1.84348671169201,2.15194358992058,13.4167268143492,0.000567290782143953,0.162994415669587
"ENPP2",2.28142338720174,5.17613817062134,14.1466224962201,0.000586003983863705,0.165253123449565
"DLG3",2.57645513450929,1.64785623691755,13.0916125563936,0.000597696141453115,0.16548576076451
"MIF",2.69908588627111,3.88206913568165,13.7852518041094,0.000619922911680405,0.168574751769093
"PWWP3B",2.07314320544431,2.49275129562984,13.0514269956183,0.000692720028823224,0.185065624542457
"LRRC1",1.88534745018029,3.07384422117959,13.0276525031375,0.000736951935276011,0.191369564635309
"CCL16",-0.808822524764095,5.83278749584944,13.477102733812,0.000741450243858895,0.191369564635309
"MINDY3",-0.749272990737998,6.42745674031515,13.3004445331925,0.00079319271131297,0.198202585859805
"BICDL1",1.20862074840527,4.27359665344165,13.1938041049726,0.000794902167315237,0.198202585859805
