PC,variance_ratio,abs_corr_marker_axis,abs_corr_curated_coord,abs_corr_depth,abs_corr_genes_detected,label_guess
1,0.05822893974328343,0.5438298727825915,0.7550924732794647,0.3367894788428371,0.49193672261167165,zonation
2,0.02721460169911199,0.08243220033151497,0.1293299682225755,0.413448801635011,0.40565238843562057,depth-like
3,0.015832507725520487,0.20142846525398608,0.09678182530715201,0.15085590636665777,0.1254023608424985,other
4,0.010137633063031191,0.06331113355124467,0.15414952952529987,0.08522301258109821,0.04961508654287182,other
5,0.007687709985307752,0.5055035550382627,0.3723575486832035,0.06507027554702798,0.0760796816445033,other
6,0.007241166208033968,0.20502619621307028,0.12852987782612466,0.1133267173753176,0.1206060305798267,other
7,0.0054215947491756825,0.21559390677733564,0.07941492765972819,0.006728988238638041,0.0020324714879152586,other
8,0.0034391683105403723,0.03643120433613719,0.054702544803736514,0.07183031296902741,0.026812758822412016,other
9,0.002867371464549451,0.014469024777024062,0.041240150104188446,0.13236650469036537,0.11537971201041422,other
10,0.0024170887246928903,0.033484157725731156,0.005839320479240568,0.04648372463930376,0.0380975751690336,other
11,0.002363794200318878,0.0011190575447846238,0.0008293737265332427,0.02221892318115241,0.05164285820950609,other
12,0.0022154391508196545,0.06251294881870226,0.03055086957161739,0.04489713313524279,0.059303664063792345,other
13,0.002098681039145203,0.005815453997419792,0.013768892371121234,0.04157931240348809,0.04062588423054108,other
14,0.0019948728397067555,0.06573816925874645,0.01014723895091477,0.09369955170995543,0.06525061620739755,other
15,0.0018848374389602955,0.049106533241099336,0.055726131180524885,0.03564317567120023,0.026960909518155607,other
16,0.0018434600764403871,0.0184616233625223,0.027852508547733943,0.070376862845398,0.07468015048377834,other
17,0.0017506796555221773,0.011306522976124379,0.008846962975784033,0.06975295121855012,0.06983642094140692,other
18,0.0016484202383461272,0.0035523578571781183,0.027580707980850345,0.05425379059771911,0.04429679269740831,other
19,0.0015580949310565798,0.018463492731544656,0.021992109709661135,0.034651624432771144,0.03966911191521612,other
20,0.0014981616442540761,0.024473900641549955,0.012115927560243737,0.03415623252941185,0.034909618821479825,other
