"gene_set","NGenes","n_in_set","Direction","PValue","FDR"
"xenobiotic_CYP",13,13,"Down",2.31502110500379e-07,2.31502110500379e-06
"CTRL_EMT",15,20,"Up",1.82996226816526e-06,9.14981134082631e-06
"cholangiocyte_ductular",10,19,"Up",5.64685634274054e-06,1.88228544758018e-05
"pericentral_anchors",20,20,"Down",5.82469884416142e-05,0.000145617471104036
"CTRL_interferon",20,20,"Up",0.000736906620921079,0.00147381324184216
"detox_phase2",16,16,"Down",0.00420798297136827,0.00701330495228045
"periportal_anchors",20,20,"Up",0.0102275957195584,0.0146108510279406
"urea_cycle",9,9,"Down",0.0986658620119018,0.123332327514877
"bile_acid_lipid",20,20,"Down",0.679663125439216,0.716563301272638
"CTRL_ER_stress",20,20,"Up",0.716563301272638,0.716563301272638
