endpoint,comparison,n1,n2,donor_SD,MDE,mean,MDE_pct_of_mean
PC-anchor fraction,F0 vs F4,2,4,0.128,0.311,0.3,103
PC-anchor fraction,F1 vs F4,8,4,0.126,0.216,0.266,81
PC-anchor fraction,F1 vs F3 (interior),8,12,0.086,0.11,0.224,49
PP-anchor fraction,F0 vs F4,2,4,0.098,0.237,0.21,113
PP-anchor fraction,F1 vs F4,8,4,0.098,0.167,0.229,73
PP-anchor fraction,F1 vs F3 (interior),8,12,0.117,0.15,0.267,56
dual (>=2 UMI) fraction,F0 vs F4,2,4,0.004,0.01,0.003,303
dual (>=2 UMI) fraction,F1 vs F4,8,4,0.01,0.017,0.006,287
dual (>=2 UMI) fraction,F1 vs F3 (interior),8,12,0.009,0.012,0.007,179
null fraction,F0 vs F4,2,4,0.096,0.234,0.391,60
null fraction,F1 vs F4,8,4,0.17,0.291,0.403,72
null fraction,F1 vs F3 (interior),8,12,0.174,0.223,0.405,55
gradient: zonal-extreme fraction,F0 vs F4,2,4,0.088,0.214,0.477,45
gradient: zonal-extreme fraction,F1 vs F4,8,4,0.072,0.124,0.474,26
gradient: zonal-extreme fraction,F1 vs F3 (interior),8,12,0.075,0.096,0.426,23
within-PC detox burden (UMIs/nuc),F0 vs F4,2,4,1.954,4.739,10.137,47
within-PC detox burden (UMIs/nuc),F1 vs F4,8,4,1.623,2.782,10.745,26
within-PC detox burden (UMIs/nuc),F1 vs F3 (interior),8,11,1.896,2.467,10.694,23
