donor,lobe,stage,N_hep,E_raw,gene,k_raw_pos,frac_raw_pos,M_raw,UMIs_per_10k
11,Right,NASH w/o cirrhosis,989,2803327,CYP2E1,820,0.8291203235591507,3913,13.958414412589041
11,Right,NASH w/o cirrhosis,989,2803327,CYP1A2,110,0.11122345803842265,157,0.5600488276965192
11,Right,NASH w/o cirrhosis,989,2803327,ADH4,952,0.9625884732052579,7460,26.61123729054798
11,Right,NASH w/o cirrhosis,989,2803327,ADH1B,825,0.8341759352881699,3943,14.065430112148887
11,Right,NASH w/o cirrhosis,989,2803327,AKR1D1,508,0.5136501516683518,903,3.221172556751317
11,Right,NASH w/o cirrhosis,989,2803327,SLCO1B3,456,0.46107178968655205,2760,9.845444359505688
11,Right,NASH w/o cirrhosis,989,2803327,GLUL,52,0.0525783619817998,91,0.3246142886648614
11,Right,NASH w/o cirrhosis,989,2803327,CYP3A4,214,0.21638018200202225,617,2.200956220947467
11,Right,NASH w/o cirrhosis,989,2803327,LGR5,27,0.027300303336703743,36,0.12841883947181332
11,Right,NASH w/o cirrhosis,989,2803327,AXIN2,15,0.015166835187057633,16,0.057075039765250364
11,Right,NASH w/o cirrhosis,989,2803327,PCK1,468,0.47320525783619816,969,3.456607095782975
11,Right,NASH w/o cirrhosis,989,2803327,ALDOB,799,0.80788675429727,2449,8.736048274068633
11,Right,NASH w/o cirrhosis,989,2803327,HAL,368,0.37209302325581395,688,2.4542267099057655
11,Right,NASH w/o cirrhosis,989,2803327,ASS1,534,0.5399393326592518,1210,4.316299882247058
11,Right,NASH w/o cirrhosis,989,2803327,CPS1,927,0.9373104145601617,5937,21.17840694289321
11,Right,NASH w/o cirrhosis,989,2803327,ARG1,460,0.46511627906976744,823,2.9357973579250656
11,Right,NASH w/o cirrhosis,989,2803327,FOS,0,0.0,0,0.0
11,Right,NASH w/o cirrhosis,989,2803327,JUN,7,0.007077856420626896,7,0.024970329897297035
11,Right,NASH w/o cirrhosis,989,2803327,JUNB,6,0.006066734074823054,7,0.024970329897297035
11,Right,NASH w/o cirrhosis,989,2803327,JUND,77,0.07785642062689585,86,0.3067783387382207
11,Right,NASH w/o cirrhosis,989,2803327,ATF3,19,0.019211324570273004,19,0.06777660972123481
11,Right,NASH w/o cirrhosis,989,2803327,DUSP1,14,0.014155712841253791,16,0.057075039765250364
11,Right,NASH w/o cirrhosis,989,2803327,HSPA1A,18,0.01820020222446916,19,0.06777660972123481
11,Right,NASH w/o cirrhosis,989,2803327,HSPA1B,10,0.010111223458038422,11,0.039239089838609624
11,Right,NASH w/o cirrhosis,989,2803327,ACTB,95,0.09605662285136501,103,0.3674205684887992
11,Right,NASH w/o cirrhosis,989,2803327,GAPDH,117,0.11830131445904954,136,0.48513783800462806
11,Right,NASH w/o cirrhosis,989,2803327,B2M,191,0.19312436804853386,231,0.8240208866108021
11,Right,NASH w/o cirrhosis,989,2803327,ALB,989,1.0,29894,106.63757742139964
11,Right,NASH w/o cirrhosis,989,2803327,TTR,804,0.8129423660262892,2532,9.03212504285087
11,Right,NASH w/o cirrhosis,989,2803327,APOA1,930,0.9403437815975733,5070,18.085653225613708
11,Right,NASH w/o cirrhosis,989,2803327,KRT7,0,0.0,0,0.0
11,Right,NASH w/o cirrhosis,989,2803327,KRT19,0,0.0,0,0.0
11,Right,NASH w/o cirrhosis,989,2803327,EPCAM,4,0.004044489383215369,4,0.014268759941312591
11,Right,NASH w/o cirrhosis,989,2803327,SOX4,9,0.00910010111223458,10,0.03567189985328147
11,Right,NASH w/o cirrhosis,989,2803327,KRT23,0,0.0,0,0.0
11,Right,NASH w/o cirrhosis,989,2803327,NCAM1,6,0.006066734074823054,6,0.021403139911968884
11,Right,NASH w/o cirrhosis,989,2803327,MUC1,3,0.003033367037411527,4,0.014268759941312591
11,Right,NASH w/o cirrhosis,989,2803327,BCL2,13,0.01314459049544995,14,0.04994065979459407
12,Right,NASH with cirrhosis,568,2309216,CYP2E1,484,0.852112676056338,3659,15.845204606238655
12,Right,NASH with cirrhosis,568,2309216,CYP1A2,90,0.15845070422535212,127,0.5499702063384283
12,Right,NASH with cirrhosis,568,2309216,ADH4,486,0.8556338028169014,2403,10.406129179773568
12,Right,NASH with cirrhosis,568,2309216,ADH1B,490,0.8626760563380281,2633,11.40213821487466
12,Right,NASH with cirrhosis,568,2309216,AKR1D1,285,0.5017605633802817,671,2.90574809805579
12,Right,NASH with cirrhosis,568,2309216,SLCO1B3,347,0.6109154929577465,2538,10.990743178637251
12,Right,NASH with cirrhosis,568,2309216,GLUL,124,0.21830985915492956,220,0.9527042944445214
12,Right,NASH with cirrhosis,568,2309216,CYP3A4,169,0.2975352112676056,454,1.9660352258082396
12,Right,NASH with cirrhosis,568,2309216,LGR5,24,0.04225352112676056,27,0.11692279977273672
12,Right,NASH with cirrhosis,568,2309216,AXIN2,15,0.02640845070422535,16,0.06928758505051065
12,Right,NASH with cirrhosis,568,2309216,PCK1,212,0.3732394366197183,443,1.9184000110860135
12,Right,NASH with cirrhosis,568,2309216,ALDOB,460,0.8098591549295775,1691,7.322831645025844
12,Right,NASH with cirrhosis,568,2309216,HAL,99,0.1742957746478873,193,0.8357814946717848
12,Right,NASH with cirrhosis,568,2309216,ASS1,318,0.5598591549295775,829,3.589963000429583
12,Right,NASH with cirrhosis,568,2309216,CPS1,474,0.8345070422535211,3416,14.792899408284024
12,Right,NASH with cirrhosis,568,2309216,ARG1,284,0.5,552,2.3904216842426176
12,Right,NASH with cirrhosis,568,2309216,FOS,0,0.0,0,0.0
12,Right,NASH with cirrhosis,568,2309216,JUN,20,0.035211267605633804,23,0.09960090351010906
12,Right,NASH with cirrhosis,568,2309216,JUNB,3,0.00528169014084507,4,0.017321896262627662
12,Right,NASH with cirrhosis,568,2309216,JUND,37,0.06514084507042253,41,0.17754943669193354
12,Right,NASH with cirrhosis,568,2309216,ATF3,1,0.0017605633802816902,1,0.004330474065656916
12,Right,NASH with cirrhosis,568,2309216,DUSP1,26,0.045774647887323945,27,0.11692279977273672
12,Right,NASH with cirrhosis,568,2309216,HSPA1A,15,0.02640845070422535,17,0.07361805911616756
12,Right,NASH with cirrhosis,568,2309216,HSPA1B,7,0.01232394366197183,8,0.034643792525255325
12,Right,NASH with cirrhosis,568,2309216,ACTB,134,0.23591549295774647,192,0.8314510206061277
12,Right,NASH with cirrhosis,568,2309216,GAPDH,60,0.1056338028169014,76,0.3291160289899256
12,Right,NASH with cirrhosis,568,2309216,B2M,212,0.3732394366197183,355,1.537318293308205
12,Right,NASH with cirrhosis,568,2309216,ALB,567,0.9982394366197183,15205,65.84485816831341
12,Right,NASH with cirrhosis,568,2309216,TTR,411,0.7235915492957746,1360,5.889444729293405
12,Right,NASH with cirrhosis,568,2309216,APOA1,522,0.9190140845070423,4568,19.78160553192079
12,Right,NASH with cirrhosis,568,2309216,KRT7,0,0.0,0,0.0
12,Right,NASH with cirrhosis,568,2309216,KRT19,0,0.0,0,0.0
12,Right,NASH with cirrhosis,568,2309216,EPCAM,4,0.007042253521126761,5,0.021652370328284577
12,Right,NASH with cirrhosis,568,2309216,SOX4,2,0.0035211267605633804,2,0.008660948131313831
12,Right,NASH with cirrhosis,568,2309216,KRT23,0,0.0,0,0.0
12,Right,NASH with cirrhosis,568,2309216,NCAM1,6,0.01056338028169014,6,0.025982844393941492
12,Right,NASH with cirrhosis,568,2309216,MUC1,0,0.0,0,0.0
12,Right,NASH with cirrhosis,568,2309216,BCL2,15,0.02640845070422535,19,0.0822790072474814
15,Right,NASH w/o cirrhosis,976,5141793,CYP2E1,908,0.930327868852459,10332,20.094157816154794
15,Right,NASH w/o cirrhosis,976,5141793,CYP1A2,241,0.24692622950819673,464,0.9024089456732312
15,Right,NASH w/o cirrhosis,976,5141793,ADH4,922,0.944672131147541,8698,16.91627803764173
15,Right,NASH w/o cirrhosis,976,5141793,ADH1B,872,0.8934426229508197,7659,14.895582144205338
15,Right,NASH w/o cirrhosis,976,5141793,AKR1D1,610,0.625,1978,3.8469071003052826
15,Right,NASH w/o cirrhosis,976,5141793,SLCO1B3,631,0.6465163934426229,5214,10.1404315576298
15,Right,NASH w/o cirrhosis,976,5141793,GLUL,87,0.08913934426229508,176,0.3422930483588118
15,Right,NASH w/o cirrhosis,976,5141793,CYP3A4,504,0.5163934426229508,2276,4.426471466276452
15,Right,NASH w/o cirrhosis,976,5141793,LGR5,102,0.10450819672131148,172,0.3345136608961115
15,Right,NASH w/o cirrhosis,976,5141793,AXIN2,44,0.045081967213114756,49,0.09529749641807829
15,Right,NASH w/o cirrhosis,976,5141793,PCK1,318,0.32581967213114754,736,1.4314072931368493
15,Right,NASH w/o cirrhosis,976,5141793,ALDOB,881,0.9026639344262295,6184,12.026933017334615
15,Right,NASH w/o cirrhosis,976,5141793,HAL,200,0.20491803278688525,541,1.0521621543302113
15,Right,NASH w/o cirrhosis,976,5141793,ASS1,812,0.8319672131147541,6045,11.75659930300578
15,Right,NASH w/o cirrhosis,976,5141793,CPS1,943,0.9661885245901639,13879,26.992529648704256
