signature_set,kind,built,validation_pass
paper2_landmark,geneset,True,True
core_curated,geneset,True,True
expanded_curated,geneset,True,True
paper2_top50,geneset,True,True
paper2_top100,geneset,True,True
paper2_top250,geneset,True,True
paper2_full,geneset,True,True
unsupervised_top50,geneset,True,True
unsupervised_top100,geneset,True,True
unsupervised_lasso,geneset,True,True
unsupervised_elasticnet,geneset,True,True
unsupervised,projection,True,True
unsupervised_p2,projection,True,True
supervised,projection,True,True
