signature_set,gene,direction,held_out,n_splits_tested,mean_slope_trend_rho,frac_splits_weakening,p_trend,q_trend
core_curated,GSTA2,PC,True,10,-0.5150952757802842,1.0,4.6510561489955196e-12,1.8206110193305586e-11
core_curated,SLCO1B3,PC,True,11,-0.5130473043529972,1.0,5.2017457695158815e-12,1.8206110193305586e-11
core_curated,CYP1A2,PC,True,8,-0.49545121117589835,1.0,1.7476746623761844e-09,3.3364698099908972e-09
core_curated,GLUL,PC,True,10,-0.4536789793248463,1.0,7.833657121180965e-13,6.039355870841523e-12
core_curated,SLC38A4,PP,True,12,-0.43538382648816637,1.0,4.0900212182407945e-12,1.8206110193305586e-11
core_curated,ALAS1,PC,True,11,-0.4287617983581248,1.0,4.979566418471382e-09,7.469349627707074e-09
core_curated,GLS2,PP,True,9,-0.419122065063527,1.0,2.6386486756051977e-10,6.156846909745461e-10
core_curated,HAL,PP,True,15,-0.4126724911763216,1.0,2.716752020565207e-17,5.705179243186935e-16
core_curated,ADH1B,PC,True,12,-0.3997439881033569,1.0,7.557969296078442e-11,1.9839669402205912e-10
core_curated,CYP3A4,PC,True,14,-0.3876525713139003,1.0,1.045147319413659e-11,3.135441958240978e-11
core_curated,ALDOB,PP,True,8,-0.3389221364436396,1.0,3.556631850445444e-09,5.747622419910736e-09
core_curated,SLC2A2,PC,True,8,-0.3372467364773807,1.0,1.0399962518296057e-06,1.4559947525614479e-06
core_curated,HAMP,PP,True,12,-0.32631099278736053,1.0,8.627651244059318e-13,6.039355870841523e-12
core_curated,AOX1,PC,True,8,-0.28503547406733076,1.0,1.6259526795428363e-06,2.1340628918999727e-06
core_curated,CYP27A1,PC,True,12,-0.2795662597543989,1.0,9.492788632273899e-10,1.9934856127775186e-09
core_curated,CYP2C8,PC,True,14,-0.2151692242381113,1.0,3.5580519742304556e-09,5.747622419910736e-09
core_curated,CYP2E1,PC,True,11,-0.20363725044438102,1.0,1.3671724882830239e-05,1.688860132584912e-05
core_curated,TAT,PP,True,5,-0.17438336110345848,1.0,0.03872777695986284,0.040664165807855986
core_curated,ASS1,PP,True,10,-0.15148837617992775,1.0,0.00015244168266210554,0.00017784862977245647
core_curated,PCK1,PP,True,9,-0.07947410096356468,0.8888888888888888,0.0008940921563432205,0.0009882071201688227
core_curated,PCK2,PC,True,11,-0.04024474744125474,0.7272727272727273,0.2645033051199269,0.2645033051199269
