signature_set,gene,direction,held_out,n_splits_tested,mean_slope_trend_rho,frac_splits_weakening,p_trend,q_trend
expanded_curated,SLCO1B3,PC,True,12,-0.5397956115648929,1.0,9.055590084749272e-16,2.2186195707635717e-14
expanded_curated,SLC38A4,PP,True,11,-0.5015948325556677,1.0,1.555020636735314e-10,8.466223466670042e-10
expanded_curated,CYP1A2,PC,True,12,-0.4928736727662692,1.0,1.1063768580664479e-17,5.421246604525595e-16
expanded_curated,ALAS1,PC,True,9,-0.4597755736465107,1.0,2.6483757375351305e-10,1.297704111392214e-09
expanded_curated,GLS2,PP,True,8,-0.45744057444139885,1.0,1.4442543970713247e-09,5.4437281120380695e-09
expanded_curated,GSTA2,PC,True,9,-0.45646773268748675,1.0,9.989333288583748e-08,2.2248969597300166e-07
expanded_curated,GLUL,PC,True,8,-0.4448589650793967,1.0,3.3180250433916033e-09,1.1613087651870613e-08
expanded_curated,ADH1A,PC,True,10,-0.44084928189091743,1.0,6.073841229135464e-10,2.7056201838876157e-09
expanded_curated,REEP6,PC,True,9,-0.427413146947834,1.0,1.4992474939026343e-10,8.466223466670042e-10
expanded_curated,NADK2,PC,True,10,-0.4122192740059619,1.0,7.864472870270446e-10,3.211326422027099e-09
expanded_curated,HAL,PP,True,12,-0.38178713718294066,1.0,9.497541278214554e-14,1.163448806581283e-12
expanded_curated,F9,PP,True,11,-0.37762109309434694,1.0,9.146894735159247e-11,6.402826314611474e-10
expanded_curated,CYP3A4,PC,True,8,-0.3677422377863053,1.0,2.0359662793765737e-06,3.2864494197653796e-06
expanded_curated,SLC2A2,PC,True,10,-0.365765588018421,1.0,3.2410540105944284e-08,8.82286925106261e-08
expanded_curated,ADH1B,PC,True,11,-0.35376128867975737,1.0,1.0751052972535882e-08,3.5120106376950546e-08
expanded_curated,AOX1,PC,True,14,-0.3512126220477686,1.0,5.53349455826993e-15,9.038041111840887e-14
expanded_curated,THRSP,PC,True,8,-0.3491436871993252,1.0,2.079182285974016e-06,3.2864494197653796e-06
expanded_curated,DCXR,PC,True,7,-0.3362675020190797,1.0,6.7239423377393715e-06,9.41351927283512e-06
expanded_curated,UGT2B4,PC,True,12,-0.33424766314034354,1.0,4.7273381456854e-12,4.498595011994046e-11
expanded_curated,AMACR,PC,True,7,-0.3309099043247791,1.0,8.445802967313627e-06,1.149567626106577e-05
expanded_curated,ALDOB,PP,True,9,-0.32648819855302247,1.0,2.853760284560582e-06,4.357248286982682e-06
expanded_curated,HAMP,PP,True,14,-0.31108126955927506,1.0,5.508483688155974e-12,4.498595011994046e-11
expanded_curated,FMO3,PC,True,11,-0.2932184262626732,1.0,2.934473336131194e-06,4.357248286982682e-06
expanded_curated,TAT,PP,True,8,-0.27588521271314737,1.0,1.1880714120462848e-06,2.0791249710809986e-06
expanded_curated,CYP2E1,PC,True,9,-0.25811899223761,1.0,3.2486112983412097e-06,4.681822165256449e-06
expanded_curated,CYP27A1,PC,True,12,-0.24866801806896977,1.0,5.672766415131e-07,1.111862217365676e-06
expanded_curated,ADH4,PC,True,9,-0.24341270364489265,1.0,1.2327166655233872e-06,2.082866090022275e-06
expanded_curated,ASS1,PP,True,9,-0.2093319180064631,1.0,3.7845029335176355e-08,9.272032187118207e-08
expanded_curated,PCK2,PC,True,12,-0.20215418951853756,1.0,3.456144225041602e-08,8.91321405405466e-08
expanded_curated,CYP2C8,PC,True,11,-0.19335638701506486,1.0,4.3201230981740117e-07,8.820251325438608e-07
expanded_curated,PCK1,PP,True,7,-0.17659820303687548,1.0,6.561789218687049e-07,1.2366448912140976e-06
expanded_curated,LBP,PP,True,9,-0.1677118325198684,1.0,2.7932205419726225e-07,5.950774198115586e-07
expanded_curated,HPX,PP,True,9,-0.15672149513436642,1.0,0.0005781730124571971,0.0007082619402600665
expanded_curated,APOF,PP,True,10,-0.15179768078908323,1.0,9.316020051747025e-05,0.0001170474314193857
expanded_curated,AKR1D1,PC,True,9,-0.1339961981561363,1.0,2.1574367917970487e-05,2.8571460215690648e-05
expanded_curated,APOA5,PC,True,12,-0.09159927123219502,0.8333333333333334,0.0032096561662426797,0.00383593054014369
expanded_curated,HP,PP,True,10,-0.08566448904402398,0.9,0.00559302798309438,0.00652519931361011
expanded_curated,ALDH1L1,PC,True,11,-0.05671756109552088,0.8181818181818182,0.011096257436689948,0.012644572427855988
expanded_curated,TSKU,PC,True,8,-0.029206732104110022,0.875,0.22268176993899394,0.24798651652297052
expanded_curated,SERPINA1,PP,True,10,-0.025382309488822807,0.7,0.24786773819316685,0.2699004260325594
expanded_curated,TF,PP,True,9,-0.013152605718024174,0.5555555555555556,0.5222963514943678,0.5563591570266092
expanded_curated,SERPINA11,PP,True,9,-0.013023728797542718,0.5555555555555556,0.6412569451037025,0.6595770118583002
expanded_curated,CFHR3,PP,True,15,-0.007131189599973912,0.6,0.6461162565142532,0.6595770118583002
expanded_curated,APOA1,PP,True,10,-0.005696359885280366,0.6,0.7195755855907305,0.7195755855907305
expanded_curated,FGG,PP,True,13,0.1237119300529302,0.0,1.703378365374129e-08,5.21659624395827e-08
expanded_curated,FGA,PP,True,12,0.1265088070676095,0.0,7.715229588091368e-08,1.8002202372213193e-07
expanded_curated,FABP1,PP,True,10,0.16183719289458867,0.0,2.6666248311274993e-05,3.438542545401249e-05
expanded_curated,FGB,PP,True,13,0.1952237505062367,0.0,2.8060133913019164e-08,8.087920951399641e-08
expanded_curated,C8G,PP,True,12,0.24508631365392267,0.0,7.001274955242468e-07,1.2706017511365962e-06
