gene,healthy_slope_sign,slope_trend_rho,p,q,is_ruler_gene
RANBP17,-1.0,-0.6474132100385955,8.73522148462541e-07,0.02630786654524635,False
DEC1,1.0,-0.6247953104940999,2.677666745489761e-06,0.027632214659776236,False
CYP2C18,-1.0,-0.6242153643519334,2.7524867675840456e-06,0.027632214659776236,False
EVA1C,1.0,-0.6144207183953426,4.347686793652179e-06,0.03273482079110567,False
TSHZ2,-1.0,-0.6005020109833454,8.112074516437862e-06,0.048862269642311815,False
RAPGEF5,-1.0,-0.5937359726580689,1.0870886217168922e-05,0.0498326258196957,False
ZSWIM5,1.0,-0.5905784881062732,1.2434105878340954e-05,0.0498326258196957,False
CHN1,1.0,-0.5890964035207366,1.323707562365327e-05,0.0498326258196957,False
LINC01205,1.0,-0.5764664653135538,2.2287492071012072e-05,0.07458137763363007,False
ERO1B,-1.0,-0.5735022961424803,2.5108328334739274e-05,0.07561875244573427,False
ZNRF2,1.0,-0.5684760962437035,3.065092529725403e-05,0.08391944701612725,False
TBX3,1.0,-0.5628055117425195,3.8237905482716944e-05,0.09356508604886177,False
FGF19,1.0,-0.5602845348612563,4.213410641521025e-05,0.09356508604886177,False
CERS6,-1.0,-0.5594547118100016,4.349407991114868e-05,0.09356508604886177,False
CDHR2,-1.0,-0.5554595272750764,5.062214967970577e-05,0.10163915212691324,False
NAALADL2,1.0,-0.5481779812678742,6.642362512319824e-05,0.1250300198647101,False
CAPN3,-1.0,-0.5430873429088565,8.001971726400589e-05,0.13673108098688286,False
ASAP2,1.0,-0.5425073967666901,8.171994082292032e-05,0.13673108098688286,False
SLCO1B3,1.0,-0.5379322660895983,9.633367213242308e-05,0.14854115298008258,True
LINC02220,-1.0,-0.5352233057143964,0.00010607204469508979,0.14854115298008258,False
MYBPH,1.0,-0.5330615998229277,0.00011447753910274481,0.14854115298008258,False
LINC01370,-1.0,-0.5317461739064885,0.0001198848048298254,0.14854115298008258,False
MIRLET7BHG,1.0,-0.5314884200655255,0.00012097120266390141,0.14854115298008258,False
LINC01727,-1.0,-0.530908473923359,0.00012344844310052607,0.14854115298008258,False
NKD1,1.0,-0.530908473923359,0.00012344844310052607,0.14854115298008258,False
AFF3,-1.0,-0.5269777278486746,0.000141493105999203,0.14854115298008258,False
LINC00365,-1.0,-0.5269378637565735,0.00014168779639226007,0.14854115298008258,False
PPP1R1C,1.0,-0.5253667663426564,0.00014955759711392716,0.14854115298008258,False
LINC01900,-1.0,-0.5240779971378419,0.00015630761454644255,0.14854115298008258,False
INSL3,1.0,-0.5223529434830375,0.00016577603757078784,0.14854115298008258,False
NFIX,1.0,-0.521436020267972,0.00017101817083001227,0.14854115298008258,False
ADGRA3,-1.0,-0.5209205125860461,0.00017403106064138306,0.14854115298008258,False
PPP4R4,-1.0,-0.5209205125860461,0.00017403106064138306,0.14854115298008258,False
TBC1D21,-1.0,-0.5208768142154706,0.00017428865938872844,0.14854115298008258,False
DDX4,-1.0,-0.5203274306378148,0.00017755691162077804,0.14854115298008258,False
ATP11C,1.0,-0.5186651664776207,0.00018778743253679823,0.15137287987327042,False
SLC38A4,-1.0,-0.5149277357836584,0.00021277063622522817,0.15137287987327042,True
SLCO1B7,1.0,-0.5146699819426955,0.00021459996058265774,0.15137287987327042,False
AP006259.1,-1.0,-0.514477183738235,0.00021597759399965904,0.15137287987327042,False
L3MBTL3,-1.0,-0.5131878973571588,0.00022539816672913966,0.15137287987327042,False
ELN,1.0,-0.5128012665957145,0.00022829492589616923,0.15137287987327042,False
IL17RB,-1.0,-0.5117058127716221,0.00023668658568879987,0.15137287987327042,False
COL4A5,-1.0,-0.5112547435499369,0.00024022247338932267,0.15137287987327042,False
PKHD1,-1.0,-0.5108681127884925,0.00024329125028895764,0.15137287987327042,False
SV2B,-1.0,-0.5086919108313284,0.00026123653783958757,0.15137287987327042,False
ALDH1A1,1.0,-0.5084838897595856,0.00026301316262545416,0.15137287987327042,False
EHD2,1.0,-0.508205166178957,0.0002654107767783814,0.15137287987327042,False
C8orf74,-1.0,-0.5081208565999993,0.00026613990588788097,0.15137287987327042,False
CDK6,1.0,-0.5078395051571784,0.00026858624116135805,0.15137287987327042,False
KANK4,1.0,-0.5076461897764561,0.00027027888625906287,0.15137287987327042,False
CHDH,-1.0,-0.5075173128559747,0.0002714126743419531,0.15137287987327042,False
ITPR2,1.0,-0.5041665129234568,0.00030244467147796364,0.16056984518102138,False
ACP1,1.0,-0.5035865667812903,0.0003081301610629462,0.16056984518102138,False
TRHDE,1.0,-0.5033288129403273,0.0003106879248866611,0.16056984518102138,False
ARNT2,-1.0,-0.5031042683666356,0.0003129317731579498,0.16056984518102138,False
PDGFB,1.0,-0.502942182178883,0.00031456057594316374,0.16056984518102138,False
ZP4,-1.0,-0.5022165130851668,0.0003219471974833465,0.1616013957767658,False
PSD3,-1.0,-0.4997202591668466,0.00034856955239862594,0.1720962165506462,False
HECTD4,1.0,-0.4983670515017913,0.0003638180340817852,0.1757876784022992,False
ST3GAL2,1.0,-0.4977871053596247,0.00037053551348211557,0.1757876784022992,False
PIK3C2G,-1.0,-0.4975293515186619,0.0003735568422401683,0.1757876784022992,False
SOX4,-1.0,-0.4962405823138473,0.00038899972138034235,0.17811736987599658,False
MOK,-1.0,-0.4961117053933659,0.0003905752648082988,0.17811736987599658,False
ZNF141,1.0,-0.4946940592680698,0.00040829026709492247,0.1808305584426144,False
AL138749.1,1.0,-0.4935381810002781,0.0004232670777239843,0.18474687796830777,False
NR2F2-AS1,1.0,-0.49211652085844065,0.0004423660973723345,0.18603939844256587,False
NAA38,1.0,-0.49198764393795924,0.00044413529856693486,0.18603939844256587,False
CNKSR2,1.0,-0.49153657471627404,0.0004503778429616195,0.18603939844256587,False
AC011491.3,-1.0,-0.4907130606765348,0.0004619791371278557,0.18603939844256587,False
MFSD9,1.0,-0.4905055593524225,0.00046494447423746534,0.18603939844256587,False
IWS1,-1.0,-0.4900544901307373,0.0004714498057641711,0.18603939844256587,False
SCLT1,-1.0,-0.4899256132102559,0.0004733234730501315,0.18603939844256587,False
PLXNA4,-1.0,-0.48921679014760794,0.0004837490747211777,0.18603939844256587,False
SNTG1,1.0,-0.4887012824656821,0.0004914607564753084,0.18603939844256587,False
HELLPAR,-1.0,-0.4883146517042377,0.0004973169818184104,0.18603939844256587,False
CORO2A,1.0,-0.4879924594030341,0.0005022450882725171,0.18603939844256587,False
LGI4,-1.0,-0.4876702671018304,0.000507217121348455,0.18603939844256587,False
SAMD12,-1.0,-0.487541390181349,0.0005092183109684316,0.18603939844256587,False
SPHKAP,1.0,-0.48716426284074194,0.0005151152109082314,0.18603939844256587,False
SLC43A3,-1.0,-0.4866392517379788,0.0005234268332289499,0.18603939844256587,False
ITPRID2,1.0,-0.4861881825162937,0.0005306640483054145,0.18603939844256587,False
IER3-AS1,1.0,-0.48578008031076636,0.0005372893354714061,0.18603939844256587,False
TXLNB,1.0,-0.48577217995250754,0.0005374183240197639,0.18603939844256587,False
GPR137B,-1.0,-0.48335289026570166,0.0005782541982459674,0.19354226143350667,False
CDH23,-1.0,-0.4829018210440166,0.0005861694035527065,0.19354226143350667,False
AWAT2,1.0,-0.4828101287090755,0.0005877902515175144,0.19354226143350667,False
CYTOR,-1.0,-0.48264406720305364,0.0005907359856348118,0.19354226143350667,False
DUSP19,1.0,-0.48224876540166495,0.0005978016394655528,0.19354226143350667,False
RALGAPA2,-1.0,-0.48187080568016494,0.0006046282650749753,0.19354226143350667,False
USP9Y,-1.0,-0.4817331980993513,0.0006071310490853146,0.19354226143350667,False
ZNF644,-1.0,-0.4815486133789613,0.0006105028666926697,0.19354226143350667,False
CERS3-AS1,-1.0,-0.48064647493559104,0.000627225634148938,0.19677244191316215,False
TCTEX1D1,1.0,-0.48025984417414674,0.0006345176656787061,0.19700792306438752,False
AC095057.3,-1.0,-0.4785844442078878,0.0006670044667843486,0.20291084369842655,False
LINC01923,-1.0,-0.4781746464644441,0.0006751745641224555,0.20334232347675993,False
AL161645.1,1.0,-0.4771023596223511,0.0006969794493896679,0.20618621138609866,False
FNIP2,-1.0,-0.4770379211621103,0.0006983097108404576,0.20618621138609866,False
AL807742.1,1.0,-0.4766006299098688,0.000707397475294657,0.206841648188827,False
AC093833.1,1.0,-0.47521583019673713,0.0007368807617300088,0.20987711939673404,False
MDN1,-1.0,-0.47497589043440697,0.000742099816235656,0.20987711939673404,False
ELOVL6,1.0,-0.4749114519741663,0.0007435070868382024,0.20987711939673404,False
FGF13,-1.0,-0.47465369813320335,0.0007491601365626761,0.20987711939673404,False
AC018685.2,1.0,-0.4744966943080643,0.0007526224024586537,0.20987711939673404,False
NRP1,1.0,-0.4740737519910368,0.000762020681870697,0.20990140808109012,False
USH2A,-1.0,-0.4736871212295924,0.0007707040051665446,0.20990140808109012,False
TTC31,1.0,-0.473558244309111,0.0007736180993127139,0.20990140808109012,False
HERC4,-1.0,-0.472849421246463,0.0007898229176454541,0.21172392794945483,False
AC015468.1,-1.0,-0.47217378271689,0.0008055516350258893,0.21172392794945483,False
SERHL2,1.0,-0.47214059818381493,0.0008063313458647305,0.21172392794945483,False
GRK5-IT1,1.0,-0.47133308907475835,0.0008255144380929925,0.21172392794945483,False
PRKD1,-1.0,-0.4707873905187596,0.0008387084901652787,0.21172392794945483,False
PAQR5,-1.0,-0.47063990001983874,0.0008423068340744574,0.21172392794945483,False
TNFRSF19,1.0,-0.47060849094041685,0.0008430749089735841,0.21172392794945483,False
AL357146.1,1.0,-0.4705868021962481,0.0008436056497637407,0.21172392794945483,False
RELN,-1.0,-0.47007856745611165,0.0008561285453104652,0.2125706474648829,False
JCHAIN,1.0,-0.46935855147960376,0.0008741547549824402,0.21296672356914778,False
MIR924HG,-1.0,-0.4691255524261554,0.0008800604418030073,0.21296672356914778,False
TFF2,1.0,-0.4689742670581206,0.0008839140832799904,0.21296672356914778,False
RAP1GDS1,1.0,-0.46814541364888984,0.0009052965640925234,0.21514094904689096,False
AC008592.4,-1.0,-0.468071518819965,0.0009072251727912857,0.21514094904689096,False
EXPH5,1.0,-0.46685664444407526,0.0009394642650469012,0.2210456661751369,False
MINDY3,1.0,-0.46518124447781634,0.0009856053713810738,0.22826411549314554,False
GNA14,1.0,-0.46505236755733487,0.000989237238472842,0.22826411549314554,False
GRM8,-1.0,-0.46492349063685345,0.000992881068154267,0.22826411549314554,False
EVA1A,1.0,-0.4646012983356497,0.001002043203540919,0.22862526637152922,False
FGFR2,-1.0,-0.4637635983525203,0.0010262195270106594,0.229344511844113,False
EIF3C,-1.0,-0.46350584451155746,0.0010337625741869577,0.229344511844113,False
VSX1,1.0,-0.46346283783892495,0.0010350259570779186,0.229344511844113,False
C4A,-1.0,-0.46344140605131673,0.0010356560617192738,0.229344511844113,False
AC009237.15,1.0,-0.4619357207642621,0.001080791402919608,0.23237413013600527,False
KDM4B,-1.0,-0.4618948830055392,0.0010820396830039367,0.23237413013600527,False
ACER1,-1.0,-0.46177935558871286,0.0010855779658651425,0.23237413013600527,False
AC009731.1,-1.0,-0.46148186995037693,0.00109473674083835,0.23237413013600527,False
LINC02851,1.0,-0.4614529346020775,0.0010956312540861557,0.23237413013600527,False
ZNF518B,-1.0,-0.4603371550533332,0.0011306265637864047,0.2345122956780948,False
PRKAA1,-1.0,-0.4598972907380766,0.0011446944596910117,0.2345122956780948,False
XDH,-1.0,-0.4598328522778358,0.0011467684228601697,0.2345122956780948,False
KCNT2,-1.0,-0.45976841381759515,0.001148845739806793,0.2345122956780948,False
HLF,1.0,-0.45951065997663226,0.0011571886394419917,0.2345122956780948,False
AL121936.1,1.0,-0.4587628238844416,0.0011817012945731036,0.2345122956780948,False
LHPP,1.0,-0.4584796446127806,0.0011911036491090421,0.2345122956780948,False
RNF43,1.0,-0.4583507676922991,0.0011954047880267215,0.2345122956780948,False
AC015987.1,-1.0,-0.45821043993128935,0.0012001038425885446,0.2345122956780948,False
DIO3OS,-1.0,-0.4579067684146926,0.0012103291364261397,0.2345122956780948,False
AC021074.3,1.0,-0.45783526001037333,0.0012127482601984054,0.2345122956780948,False
DENND10,1.0,-0.45757750616941045,0.0012215038890649767,0.2345122956780948,False
DNAH14,-1.0,-0.4575130677091697,0.0012237015878483642,0.2345122956780948,False
LIPA,1.0,-0.4573841907886882,0.001228107569516002,0.2345122956780948,False
GTF2IRD1,1.0,-0.4572553138682067,0.0012325276959927554,0.2345122956780948,False
RBM24,-1.0,-0.45699989868644414,0.0012413296885484667,0.2345122956780948,False
AC019197.1,1.0,-0.45686868310676243,0.0012458733375998662,0.2345122956780948,False
