signature_set,gene,direction,held_out,n_splits_tested,mean_slope_trend_rho,frac_splits_weakening,p_trend,q_trend
full,SLC38A4,PP,True,11,-0.594181183837914,1.0,2.6441562439701527e-13,1.4428279237930465e-10
full,GLS2,PP,True,11,-0.5606907586382556,1.0,4.237047116850847e-14,3.468023065142418e-11
full,SLCO1B3,PC,True,7,-0.5138598984425264,1.0,9.614433300825085e-09,1.1745393517500494e-07
full,ADGRA3,PP,True,10,-0.5023429044986443,1.0,3.9216938220405025e-11,1.884798521746714e-09
full,ADH1B,PC,True,9,-0.4909924277186858,1.0,6.494016673399759e-09,8.713692864225742e-08
full,ELN,PC,True,8,-0.4777789634548787,1.0,1.9209743053522975e-08,1.9777578225545353e-07
full,CYP2C18,PP,True,9,-0.47667276988741286,1.0,2.9157883358326182e-08,2.696692376134461e-07
full,ZFP36L2,PC,True,8,-0.47591830291542764,1.0,2.796376043623011e-08,2.6158100476633536e-07
full,SLC7A2,PP,True,11,-0.4717715415478908,1.0,2.179773823502925e-12,4.46036218634286e-10
full,DUSP10,PP,True,10,-0.46532945293637,1.0,3.3535419628209527e-09,5.2786040318633644e-08
full,CYP1A2,PC,True,9,-0.45917414801759726,1.0,3.548355618637906e-10,9.68109691285042e-09
full,TBX3,PC,True,7,-0.44527896575775144,1.0,1.413718301224299e-07,9.664182008379027e-07
full,ADH1A,PC,True,12,-0.44285331800440403,1.0,1.2300975013251459e-11,7.744883114112552e-10
full,C9,PP,True,8,-0.4341460710643756,1.0,2.136392898616591e-10,6.598632405727093e-09
full,AMDHD1,PP,True,11,-0.4335302444159387,1.0,1.2357825709860912e-12,4.0459521374084625e-10
full,RDH5,PC,True,12,-0.43184508104661296,1.0,4.029807468609345e-11,1.884798521746714e-09
full,HSD17B14,PC,True,10,-0.4290634875128882,1.0,3.1110600083902382e-12,5.055364846553286e-10
full,PDK2,PC,True,6,-0.42612079782856155,1.0,7.459590047429636e-06,2.6556671524453412e-05
full,SDS,PP,True,9,-0.4221578325237568,1.0,7.4471705430100775e-09,9.599226912525588e-08
