set,arm,gene,in_p1,in_p2,in_sig,kept
full,pericentral,RHBG,True,True,True,True
full,pericentral,SLCO1B3,True,True,True,True
full,pericentral,CYP3A4,True,True,True,True
full,pericentral,ELN,True,True,True,True
full,pericentral,SERPINE1,True,True,True,True
full,pericentral,ALAS1,True,True,True,True
full,pericentral,TBX3,True,True,True,True
full,pericentral,GLUL,True,True,True,True
full,pericentral,PGGHG,True,True,True,True
full,pericentral,PLIN1,True,True,True,True
full,pericentral,NAGS,True,True,True,True
full,pericentral,CYP1A2,True,True,True,True
full,pericentral,KIF12,True,True,True,True
full,pericentral,GPAM,True,True,True,True
full,pericentral,CYP3A43,True,True,True,True
full,pericentral,FBXO31,True,True,True,True
full,pericentral,SREBF1,True,True,True,True
full,pericentral,FASN,True,True,True,True
full,pericentral,DUSP1,True,True,True,True
full,pericentral,PPP1R3B,True,True,True,True
full,pericentral,ASPSCR1,True,True,True,True
full,pericentral,GADD45G,True,True,True,True
full,pericentral,ACSL5,True,True,True,True
full,pericentral,ADAMTSL4,True,True,True,True
full,pericentral,SLC6A12,True,True,True,True
full,pericentral,DMRTA1,True,True,True,True
full,pericentral,UGT1A1,True,True,True,True
full,pericentral,CTNNA3,True,True,True,True
full,pericentral,SEC31B,True,True,True,True
full,pericentral,CLMN,True,True,True,True
full,pericentral,SLC22A3,True,True,True,True
full,pericentral,ITPR2,True,True,True,True
full,pericentral,HSD17B14,True,True,True,True
full,pericentral,TPRG1,True,True,True,True
full,pericentral,CES4A,True,True,True,True
full,pericentral,D2HGDH,True,True,True,True
full,pericentral,ALS2CL,True,True,True,True
full,pericentral,RAD54L2,True,True,True,True
full,pericentral,ACSF2,True,True,True,True
full,pericentral,SLC25A25,True,True,True,True
full,pericentral,ALDH1L1,True,True,True,True
full,pericentral,ADH4,True,True,True,True
full,pericentral,LAMA5,True,True,True,True
full,pericentral,ZFP36L2,True,True,True,True
full,pericentral,TSKU,True,True,True,True
full,pericentral,FAM118A,True,True,True,True
full,pericentral,SRRM2,True,True,True,True
full,pericentral,ZPR1,True,True,True,True
full,pericentral,RGL2,True,True,True,True
full,pericentral,MLXIPL,True,True,True,True
full,pericentral,ADRA1A,True,True,True,True
full,pericentral,TPPP2,True,True,True,True
full,pericentral,PRSS53,True,True,True,True
full,pericentral,GPHN,True,True,True,True
full,pericentral,CACNA1H,True,True,True,True
full,pericentral,ADRA1B,True,True,True,True
full,pericentral,AMPD2,True,True,True,True
full,pericentral,KAT2A,True,True,True,True
full,pericentral,KIFC2,True,True,True,True
full,pericentral,ENGASE,True,True,True,True
full,pericentral,SHROOM1,True,True,True,True
full,pericentral,CYP4F12,True,True,True,True
full,pericentral,TSC22D3,True,True,True,True
full,pericentral,NADK2,True,True,True,True
full,pericentral,KDM2B,True,True,True,True
full,pericentral,DOT1L,True,True,True,True
full,pericentral,PITPNM2,True,True,True,True
full,pericentral,MRNIP,True,True,True,True
full,pericentral,HLF,True,True,True,True
full,pericentral,ABCA8,True,True,True,True
full,pericentral,FOS,True,True,True,True
full,pericentral,BMP1,True,True,True,True
full,pericentral,TSPOAP1,True,True,True,True
full,pericentral,SULT2A1,True,True,True,True
full,pericentral,WDR33,True,True,True,True
full,pericentral,SS18L1,True,True,True,True
full,pericentral,MBD6,True,True,True,True
full,pericentral,TRPM7,True,True,True,True
