gene,pc_minus_pp_coef
IGFBP2,-4.951777422674905
VTN,-4.364867786546783
CYP3A5,-2.752223507951978
HRG,-2.4231778812721494
LRG1,-2.402399248244569
HAL,-2.358905096317537
TTR,-2.1914881645606235
SERPING1,-1.9095851577745946
APOE,-1.7946087003942766
AMDHD1,-1.582505220025442
GC,-1.5475267621004776
NUCB1,-1.503021860535159
FGL1,-1.4947995724811234
SLC37A4,-1.4937741817286991
ALS2,-1.4828837590676105
FGFR2,-1.4701785504972664
PPIB,-1.4625274024261317
TFR2,-1.404283154317584
GLS2,-1.3731253535702774
STEAP3,-1.3674337919764807
TLN2,-1.3510728809312917
STK38L,-1.3466411203894593
AHNAK,-1.298595478151713
SERPINC1,-1.2967745714174703
CYFIP2,-1.2956186959897873
APOC3,-1.291861322840124
AGT,-1.2812640680666187
NECTIN2,-1.277720065960558
NRBP2,-1.2767356280810327
HAO2,-1.2737276247565634
TENM1,-1.2733987232998207
SDC1,-1.273264314318192
PGLYRP2,-1.258439585508036
SHBG,-1.2418942533499617
STAT2,-1.2398785443165097
SUMO2,-1.2249145739502216
DENND11,-1.2150198023866188
MUC3A,-1.204238517384773
RGS3,-1.198899324403003
XDH,-1.1866670136393358
HPR,-1.1761838610078996
PGD,-1.1607739768550585
TGM2,-1.1473035810999805
RRBP1,-1.1438998396456586
LAMP1,-1.1427170894652106
LSR,-1.1291998513554358
GNE,-1.1225232965340284
SPATS2L,-1.1094007667551948
CD99L2,-1.105475507880425
AMBP,-1.0978017000078886
ASGR2,-1.097078958907012
GLDC,-1.0851292956651695
A2M,-1.0839542218403815
METTL7B,-1.0806947403514915
METTL7A,-1.0786410713903825
SAA4,-1.0724234027461548
AQP3,-1.0723792781440038
COX7A2L,-1.0651246277632112
MYO15A,-1.0534422139769846
DRAM2,-1.0522799501064835
CLDN1,-1.0474297012247242
SLC7A2,-1.0464607365492045
CFB,-1.0432080925440337
SLX4IP,-1.0384324543265613
KNDC1,-1.0370074648404182
FAM9B,-1.0355022028493976
ARHGAP24,-1.0321014745593555
SCYL2,-1.0259424939599564
FARS2,-1.025741895233862
HYOU1,-1.0242593818185202
RFXAP,-1.0231234197759167
MYH9,-1.0207753023180854
APMAP,-1.0191237329696379
ZFYVE9,-1.015524866796767
CHRD,-1.0121199726908152
KCNMB3,-1.0119152445939377
LYSMD4,-1.0099356412315013
NAALADL2,-1.007343099276013
DTNA,-1.0069825629374505
PLEKHA6,-1.005877636616641
PRKG1,-1.0048628620746376
ALDH4A1,-1.0017354296764363
ACTG1,-0.9922745730060647
