gene,loading
AFF3,-0.08373118937015533
HAL,-0.07884705066680908
FGFR2,-0.07636105269193649
GLS2,-0.06239301338791847
AMDHD1,-0.06018437072634697
CUX2,-0.05897918716073036
GRIN2B,-0.058176688849925995
HAMP,-0.05776917561888695
RAPGEF5,-0.05758126825094223
MTHFD2L,-0.05753641203045845
GLDC,-0.05723666772246361
FNIP2,-0.056815557181835175
ACMSD,-0.05534066632390022
BBOX1,-0.0539763905107975
PSD3,-0.05332483351230621
ASPG,-0.05318121984601021
DNAH6,-0.05084554851055145
SLC38A4,-0.050078656524419785
CYP2C18,-0.04989880323410034
CCDC38,-0.04985668137669563
MDN1,-0.0498097762465477
ADGRA3,-0.049289122223854065
TMEM45B,-0.04916929081082344
GRIN3A,-0.04867389798164368
PKHD1,-0.045640163123607635
KCNJ3,-0.04543956369161606
TXNL4B,-0.04516974464058876
SLC22A10,-0.04486560821533203
UROC1,-0.04439614340662956
COL4A5,-0.04407753422856331
USH2A,-0.04401905834674835
ALDOB,-0.04370339959859848
NTN1,-0.043523747473955154
RERGL,-0.043313127011060715
FFAR4,-0.04288250952959061
ECHDC2,-0.0428086519241333
FAM9B,-0.04225533455610275
MGLL,-0.04201599210500717
PLXNA4,-0.04180628061294556
CYP2A7,-0.04155689477920532
GPLD1,-0.04068559780716896
SDS,-0.04044722020626068
RANBP17,-0.039986781775951385
PKD1L3,-0.039642900228500366
ITIH4,-0.0392080657184124
IGF1,-0.0390983447432518
HAO2,-0.03903687000274658
COL10A1,-0.03879037871956825
ARMH1,-0.03875360265374184
HMGCS2,-0.03862915188074112
MUC3A,-0.038575977087020874
SLC43A3,-0.03841187059879303
DHODH,-0.037933312356472015
ZC3H13,-0.037313733249902725
SLC1A1,-0.03730858862400055
AGXT,-0.03728645667433739
CFHR4,-0.037048693746328354
LONP2,-0.03686133027076721
ALDH1A2,-0.03669548034667969
USP9Y,-0.03644487261772156
CYP2A6,-0.03599771857261658
LRRC9,-0.035966843366622925
EPHB1,-0.035710155963897705
PELI1,-0.03538772836327553
TSHR,-0.03520289808511734
GLIS3,-0.035071149468421936
IL12RB2,-0.035068612545728683
CDHR2,-0.03503376618027687
HPX,-0.03498028591275215
C4orf19,-0.034952323883771896
ORM1,-0.034898851066827774
RBBP8,-0.03479805961251259
CHRM3,-0.03472089767456055
SPRYD4,-0.03467979282140732
SLC17A9,-0.03466926887631416
CHRD,-0.033991701900959015
KNDC1,-0.03379388526082039
RALYL,-0.03352205082774162
MST1,-0.033477190881967545
CPB2,-0.033164650201797485
DLGAP2,-0.03308707848191261
CAPN3,-0.03297261893749237
