gene,loading
GLS2,-0.10483842343091965
HAL,-0.09055686742067337
ASPG,-0.09028366208076477
FBP1,-0.08499453216791153
HSD17B13,-0.08175981044769287
CYP2C18,-0.07384053617715836
CYP4V2,-0.07367652654647827
ASS1,-0.07203542441129684
PCSK6,-0.07189839333295822
CFH,-0.07089640200138092
C9,-0.07013225555419922
SDS,-0.06912511587142944
AMDHD1,-0.06885290145874023
ADGRA3,-0.06655773520469666
AGXT,-0.0660170167684555
CFB,-0.06450194120407104
SLC7A2,-0.06428840011358261
ACMSD,-0.062009915709495544
HGD,-0.060038886964321136
HAMP,-0.0594242624938488
C5,-0.05820056051015854
HPX,-0.057777564972639084
UROC1,-0.05752003937959671
SLC37A4,-0.05710228905081749
APMAP,-0.054295532405376434
C4BPB,-0.05420514568686485
SLC38A4,-0.05363231897354126
ORM1,-0.053422100841999054
MST1,-0.05308865010738373
C3,-0.05262233689427376
CYP3A5,-0.051222141832113266
HMGCS2,-0.050851430743932724
LEPR,-0.04990599304437637
CDHR2,-0.049866512417793274
STAT2,-0.04981091991066933
HAO2,-0.049648214131593704
SLC22A25,-0.04945942759513855
CPS1,-0.04888724163174629
APCS,-0.048854876309633255
F9,-0.048853885382413864
NNMT,-0.04879973828792572
SLC43A3,-0.04864721745252609
SLC38A3,-0.04777293652296066
CXCL2,-0.0476250946521759
ALDOB,-0.04704846441745758
HP,-0.04669627174735069
CFHR4,-0.04552660882472992
ARG1,-0.04484784975647926
SYT7,-0.04454447329044342
CP,-0.044395849108695984
SLC22A7,-0.044225554913282394
RGN,-0.04409630596637726
LBP,-0.04316086322069168
BCL3,-0.04307360574603081
TAT,-0.04271624609827995
FTCD,-0.04226711764931679
ABCC3,-0.0418664887547493
FGB,-0.041572507470846176
CHDH,-0.04093776270747185
EFNA1,-0.040603868663311005
PLGLB2,-0.04048135131597519
PPP2R1B,-0.040047768503427505
AFM,-0.039968762546777725
UNC93A,-0.03985128924250603
SERPINA3,-0.03971327468752861
KMO,-0.03928904980421066
TENM1,-0.038427140563726425
C1R,-0.03824928402900696
CFHR3,-0.037954311817884445
GPLD1,-0.03780943155288696
KCNT2,-0.03779479116201401
ZC3H13,-0.03771735727787018
APOF,-0.03753518685698509
