gene,loading
CYP4V2,-0.07785361
SDS,-0.07049359
ASPG,-0.06574638
GLS2,-0.06305887
HSD17B13,-0.05787723
HPX,-0.056529365
TF,-0.05500777
HAL,-0.05197466
FBP1,-0.051514663
CYP3A5,-0.04625485
HGD,-0.039586894
CFH,-0.03951304
CFB,-0.039147697
HP,-0.038683683
CYP2C18,-0.038230922
AGXT,-0.037570667
ADGRA3,-0.034532655
ALDOB,-0.03396557
TAT,-0.03359647
CP,-0.031205902
HMGCS2,-0.029438129
UROC1,-0.02846092
PCSK6,-0.028316678
HAO2,-0.027414694
C3,-0.027272634
C9,-0.027257115
IGFBP1,-0.026554255
ACMSD,-0.026197776
ACADVL,-0.024927795
C4BPB,-0.024871109
ASS1,-0.02455103
ALB,-0.024237577
SLC38A3,-0.024167689
APCS,-0.024036806
AFM,-0.023333268
CYP2C9,-0.023033343
CDHR2,-0.022564923
SLC37A4,-0.0223861
SLC22A7,-0.021204853
SLC22A25,-0.020866439
SLC7A2,-0.020820908
CXCL2,-0.020644488
SYT7,-0.02003665
C5,-0.019408861
KLF15,-0.019396544
FTCD,-0.01842788
AMDHD1,-0.018216603
RGN,-0.018160652
EFNA1,-0.017172221
CPS1,-0.016855163
APMAP,-0.016518401
F9,-0.01624894
ORM1,-0.015586256
GPT,-0.015144136
ARG1,-0.015014407
HAMP,-0.014676217
SARDH,-0.014230862
LEPR,-0.0137997195
KDM5D,-0.01366049
MST1,-0.013465855
SLC38A4,-0.013144945
CFHR4,-0.012671118
UTY,-0.012654743
CHDH,-0.012184419
INSIG1,-0.011994688
STAT2,-0.01177301
ABCC3,-0.011355002
CFHR3,-0.011288118
KMO,-0.011224598
GPLD1,-0.010862009
AZGP1,-0.010578644
UAP1,-0.010337049
AMN,-0.009898599
SLC43A3,-0.009756149
APOA1,-0.009548674
BCL3,-0.0092941355
UNC93A,-0.008880818
NNMT,-0.008537725
C2,-0.008372563
CUX2,-0.008349297
FNIP2,-0.007991912
MMUT,-0.007936456
SORL1,-0.007725875
GHR,-0.0076603433
CFHR2,-0.007651271
KCNK5,-0.0072111567
BAAT,-0.007176685
IL6R,-0.0071110795
ETNPPL,-0.006845631
DNAJC22,-0.0065628868
NFKBIA,-0.006366899
CPB2,-0.0062861023
SDSL,-0.0060147075
TCEA2,-0.005957204
ACACB,-0.00588495
F12,-0.0057769734
TENM1,-0.005760237
NAMPT,-0.005665612
TDO2,-0.005083273
SERPINA3,-0.0048712236
AGXT2,-0.0048656543
SLC2A2,-0.004792187
IL17RB,-0.0047866856
ENO3,-0.004378754
SLC17A1,-0.004342469
OXER1,-0.003986347
DDX3Y,-0.0034409848
LBP,-0.0034137873
SELENOP,-0.0033143242
CFI,-0.0031081177
SPIRE1,-0.003098334
PSD3,-0.0030482921
KCNT2,-0.0030359672
FH,-0.0030336229
CYFIP2,-0.0030193636
SERINC5,-0.0029281673
KNG1,-0.0028710356
SLC6A1,-0.0028467136
PCCA,-0.002819975
TMPRSS9,-0.0028183653
TCIM,-0.0028066712
AMOTL1,-0.0028032728
PLGLB2,-0.002764213
RASGEF1B,-0.0025098
HPGD,-0.0024117539
IDH1,-0.00224531
BBOX1,-0.0016965732
PCK1,-0.0016601661
SLC25A15,-0.0016525477
NR0B2,-0.0014965961
TRAM2,-0.0014859713
TNFSF14,-0.0014083782
PAH,-0.0013351672
CHRD,-0.001316375
EXTL2,-0.001230019
ABCA6,-0.0011664575
TTR,-0.0011530304
CELF1,-0.0011190677
RCL1,-0.0010527585
FURIN,-0.0010311736
GPT2,-0.0010127223
CLPTM1L,-0.0009113587
SCG5,-0.0007691258
HAAO,-0.0006175852
LONP2,-0.00043218935
SH3PXD2A,-0.0003717996
SYT17,-0.0002808945
LIPC,-0.0002333627
RAP2C,-0.00022412688
C1orf159,0.0
SDF4,-0.0
RER1,-0.0
PEX10,-0.0
TNFRSF14,-0.0
LRRC47,0.0
CEP104,0.0
DFFB,0.0
NPHP4,0.0
KCNAB2,0.0
RNF207,0.0
ACOT7,0.0
ESPN,-0.0
NOL9,0.0
ZBTB48,-0.0
NLGN4Y,0.0
USP9Y,-0.0
MECP2,0.0
GDI1,0.0
FAM50A,0.0
FAM3A,0.0
IKBKG,0.0
DKC1,0.0
F8,0.0
FUNDC2,0.0
MTCP1,0.0
BRCC3,-0.0
TMLHE,-0.0
VAMP7,0.0
ZFY,-0.0
TBL1Y,-0.0
NAA10,0.0
RBBP4,0.0
SYNC,0.0
KIAA1522,0.0
S100PBP,0.0
FNDC5,-0.0
RNF19B,0.0
ZNF362,0.0
PHC2,0.0
SMIM12,-0.0
