gene,loading
GLS2,-0.10859859734773636
ASPG,-0.10332910716533661
HAL,-0.09480586647987366
FBP1,-0.09219980239868164
SDS,-0.08817429840564728
HSD17B13,-0.08369038254022598
CYP4V2,-0.08169040083885193
CYP2C18,-0.07370973378419876
CYP3A5,-0.07326425611972809
HGD,-0.0718671977519989
ASS1,-0.07024046033620834
UROC1,-0.06870275735855103
AMDHD1,-0.06830358505249023
ADGRA3,-0.06813935190439224
PCSK6,-0.06473635882139206
ACMSD,-0.06266799569129944
CFH,-0.061595939099788666
CFB,-0.06124621629714966
SLC7A2,-0.0610387921333313
C9,-0.06063564866781235
HPX,-0.06037182733416557
SLC37A4,-0.060364458709955215
AGXT,-0.059436947107315063
HMGCS2,-0.05905419960618019
ALDOB,-0.05718515068292618
HAMP,-0.05611374229192734
TAT,-0.05566816031932831
SLC38A4,-0.0547214075922966
CXCL2,-0.05465339124202728
CDHR2,-0.05346490070223808
SYT7,-0.05323250964283943
SLC38A3,-0.05286281928420067
LEPR,-0.05171393230557442
C5,-0.05075020343065262
APMAP,-0.05070106312632561
NNMT,-0.05031634494662285
APCS,-0.04898571968078613
C4BPB,-0.048726245760917664
C3,-0.048088811337947845
CP,-0.04795396700501442
GPLD1,-0.04751984402537346
ARG1,-0.04731924086809158
IGFBP1,-0.04708995670080185
HAO2,-0.046763092279434204
SLC22A7,-0.046593230217695236
F9,-0.04620946943759918
CPS1,-0.045202843844890594
MST1,-0.045095670968294144
STAT2,-0.04483572393655777
TF,-0.0439976342022419
BCL3,-0.04347116872668266
ORM1,-0.04345550388097763
HP,-0.04329352825880051
SLC43A3,-0.043146319687366486
KMO,-0.04300684854388237
UNC93A,-0.04292793944478035
TENM1,-0.04275064915418625
SDSL,-0.04243139922618866
ABCC3,-0.041854601353406906
GPT,-0.04183473065495491
SARDH,-0.04154548794031143
SLC22A25,-0.040506087243556976
EFNA1,-0.040366362780332565
FNIP2,-0.039530858397483826
ETNPPL,-0.03941071778535843
FTCD,-0.0391065888106823
CHRD,-0.03908153623342514
CFHR3,-0.03878885880112648
INSIG1,-0.038749635219573975
CFHR4,-0.038553208112716675
PSD3,-0.038030896335840225
CHDH,-0.03797272592782974
KDM5D,-0.037861164659261703
NAMPT,-0.03762655332684517
ENO3,-0.037517841905355453
TCEA2,-0.03745381534099579
AFM,-0.03741089254617691
GLT1D1,-0.03731270879507065
UTY,-0.03730039671063423
CYP2C9,-0.03726460039615631
OXER1,-0.037130702286958694
ECHDC2,-0.03622579574584961
KLF15,-0.036092668771743774
RGN,-0.036020804196596146
HAAO,-0.03578417748212814
KCNK5,-0.03559935837984085
PCK1,-0.03538312017917633
F12,-0.03454754129052162
TCIM,-0.03446182236075401
ACADVL,-0.034428562968969345
UAP1,-0.03425760567188263
C2,-0.03415091335773468
RAPGEF5,-0.03396357595920563
GLDC,-0.03367404267191887
SLC25A15,-0.033632129430770874
CUX2,-0.0335698127746582
GPT2,-0.033314790576696396
AZGP1,-0.03323621675372124
TNFSF14,-0.0332275815308094
IL17RB,-0.03316923603415489
CLPTM1L,-0.03304828703403473
SORL1,-0.03296717256307602
LBP,-0.032780278474092484
CDH23,-0.03226101025938988
APOF,-0.032075848430395126
EXOC3L4,-0.03199084475636482
MMUT,-0.03195342421531677
BBOX1,-0.03186025470495224
GHR,-0.031535353511571884
KCNT2,-0.031434912234544754
SLC17A1,-0.03130480647087097
CYFIP2,-0.031260792165994644
CPB2,-0.031107084825634956
LONP2,-0.030995748937129974
ITIH4,-0.030779151245951653
FST,-0.030774496495723724
FH,-0.030727095901966095
IL6R,-0.03049662709236145
SH3PXD2A,-0.030388252809643745
SLC17A9,-0.030279720202088356
SYT17,-0.030125673860311508
TMPRSS9,-0.029836885631084442
DNAJC22,-0.0298016220331192
RASGEF1B,-0.02968921698629856
AMOTL1,-0.029359573498368263
ACACB,-0.02932191640138626
TDO2,-0.02912333607673645
DUSP10,-0.02908422239124775
AGXT2,-0.0290805883705616
FURIN,-0.02907431498169899
SERPINA3,-0.02892855368554592
DDX3Y,-0.028584184125065804
MTSS2,-0.028214721009135246
RCL1,-0.0281598549336195
C1R,-0.028086474165320396
TRAM2,-0.02803751453757286
SPIRE1,-0.02778029814362526
VNN1,-0.02776058204472065
KLF6,-0.02764011174440384
NAV2,-0.0273527093231678
APOA1,-0.027290688827633858
ABLIM3,-0.02708098664879799
RAP2C,-0.027063030749559402
AMN,-0.02706058695912361
STEAP3,-0.026871152222156525
FGB,-0.026843653991818428
NFKBIA,-0.02673090621829033
HPGD,-0.026671698316931725
ID2,-0.026661526411771774
XDH,-0.026530316099524498
SLC25A25,-0.02633800357580185
TFR2,-0.02633512020111084
ZC3H13,-0.026192789897322655
PCCA,-0.026162508875131607
ALB,-0.02605840004980564
ANGPTL4,-0.02590460516512394
BAAT,-0.025762053206562996
BDH2,-0.025753222405910492
CYP4F3,-0.02568494901061058
SLC22A23,-0.025476014241576195
TTR,-0.025340430438518524
PPARGC1A,-0.025304468348622322
MFSD2A,-0.02520729973912239
BDH1,-0.0251842699944973
NT5DC1,-0.025145292282104492
NINL,-0.0250087883323431
CFI,-0.02499265782535076
USP43,-0.02493489347398281
PIK3C2G,-0.024856187403202057
CELF1,-0.02482418529689312
FGFR2,-0.02477203868329525
SLC2A9,-0.02475329488515854
KYNU,-0.024707097560167313
ICA1,-0.024578940123319626
HPR,-0.02457340434193611
PLGLB2,-0.024231478571891785
TMPRSS2,-0.024140283465385437
MYO1E,-0.024082232266664505
AASS,-0.02405286207795143
TUBE1,-0.023949837312102318
PLIN5,-0.023809125646948814
ARHGAP29,-0.02380024641752243
DENND11,-0.02378898486495018
NOCT,-0.023744823411107063
SLCO2B1,-0.02369840443134308
ACOT12,-0.023686615750193596
SERPINA11,-0.023657744750380516
STAT3,-0.023584339767694473
LRRC75B,-0.0235745869576931
CNTN3,-0.02354033663868904
SERINC5,-0.023441391065716743
TUT1,-0.02323668822646141
EXTL2,-0.023176362738013268
A2M,-0.023175667971372604
CES3,-0.023163005709648132
MDN1,-0.02314460091292858
CROT,-0.023121099919080734
LPIN3,-0.023068927228450775
NR0B2,-0.022979509085416794
IDO2,-0.022939611226320267
NOL4,-0.02290049009025097
SLC6A1,-0.022798165678977966
ASL,-0.022679509595036507
SCG5,-0.02231978066265583
PPP2R1B,-0.022256698459386826
PRKAB2,-0.02223232015967369
SDC1,-0.02207283489406109
PDK4,-0.022061288356781006
KCNJ3,-0.021970083937048912
ART4,-0.021909384056925774
LIPC,-0.021796025335788727
B4GALT1,-0.021770328283309937
ABCB1,-0.021764414384961128
KYAT1,-0.021691476926207542
SELENOP,-0.021641721948981285
GRTP1,-0.02163608744740486
TP53INP1,-0.021589960902929306
SOX6,-0.021302690729498863
PVR,-0.021280812099575996
FNDC5,-0.0211784727871418
CRELD2,-0.02115538716316223
C8G,-0.02100193127989769
HMCN2,-0.020994462072849274
GDA,-0.020918460562825203
FES,-0.020914044231176376
CFHR2,-0.020913615822792053
TRIM66,-0.02078896574676037
RAB17,-0.020781707018613815
ORMDL1,-0.020711412653326988
CCDC150,-0.020645692944526672
CNDP1,-0.020524997264146805
FOS,-0.0204670000821352
FGL1,-0.020353054627776146
DUSP1,-0.020267365500330925
ALCAM,-0.020256200805306435
C4orf19,-0.0202016718685627
KNG1,-0.020177481696009636
DOCK5,-0.02017727494239807
PYROXD2,-0.020109599456191063
TM4SF4,-0.020032553002238274
APOC3,-0.019991721957921982
PNN,-0.01995246298611164
KLKB1,-0.019897596910595894
ARMH4,-0.019889988005161285
MTHFD2L,-0.019886691123247147
F13B,-0.019886460155248642
ULK1,-0.019804080948233604
HSD17B11,-0.019771672785282135
MAT2A,-0.01976185478270054
C1RL,-0.019743576645851135
ACO1,-0.01971091330051422
ELP2,-0.01966565102338791
CCNL1,-0.019566455855965614
PLXNA4,-0.019339319318532944
ANO1,-0.019280407577753067
ORM2,-0.019275294616818428
DEFB1,-0.01925252564251423
CCNL2,-0.019229542464017868
P4HA1,-0.019008561968803406
DAPK1,-0.019006170332431793
ERO1B,-0.018965965136885643
NCAM2,-0.018874753266572952
DCAF11,-0.018863828852772713
GADD45B,-0.018839245662093163
SELENOO,-0.018802564591169357
RCAN1,-0.018798990175127983
USP35,-0.018768154084682465
EGFR,-0.018749084323644638
GCH1,-0.01871086098253727
ARRDC4,-0.018470779061317444
SLC10A1,-0.01841835491359234
PDIA5,-0.018418189138174057
FABP1,-0.018416497856378555
ERBB2,-0.01834542490541935
FBXO38,-0.018272515386343002
SERPING1,-0.018258176743984222
PER1,-0.01822676509618759
KHK,-0.018198400735855103
PPFIBP2,-0.018156828358769417
SLC12A8,-0.018143165856599808
RALGAPA2,-0.018124617636203766
HRG,-0.017975755035877228
TPST1,-0.017954496666789055
SLC25A16,-0.01795119233429432
ACSL1,-0.017910899594426155
GSTK1,-0.017906490713357925
AGPAT2,-0.01789868250489235
PAH,-0.017883121967315674
PRKAA1,-0.017871404066681862
AGBL2,-0.017668558284640312
ERRFI1,-0.017655659466981888
TRAPPC4,-0.017640583217144012
TNFSF10,-0.01762828789651394
UTRN,-0.017619993537664413
C8A,-0.01756596751511097
SUCLG1,-0.01755991205573082
RFTN1,-0.017456617206335068
TTPAL,-0.01744919829070568
ADGRG7,-0.017430681735277176
ADGRD1,-0.01742762327194214
FBXO17,-0.017419826239347458
NRBP2,-0.017393432557582855
CCNG1,-0.017378857359290123
LMBRD1,-0.017359687015414238
TMEM45A,-0.017229950055480003
RSRP1,-0.017176669090986252
SMARCA1,-0.017154110595583916
IDH1,-0.0170290470123291
TMPRSS6,-0.016998523846268654
RND1,-0.016936874017119408
SLC43A1,-0.016922596842050552
SLC22A1,-0.01691475138068199
DHRS1,-0.016870955005288124
PDCD4,-0.01686854474246502
CFHR5,-0.016848761588335037
FRK,-0.016843266785144806
ANGEL1,-0.01681486703455448
VMP1,-0.016755808144807816
USP9Y,-0.016711868345737457
PDE7B,-0.016661517322063446
SPP2,-0.016647014766931534
PPP4R3A,-0.016646623611450195
PAQR9,-0.016617372632026672
ZGPAT,-0.016577042639255524
TNK2,-0.016487382352352142
IGSF9,-0.016450800001621246
RBFOX2,-0.016305718570947647
HJV,-0.01628865674138069
PLA2G12B,-0.016260122880339622
FOXP1,-0.0162500087171793
C11orf54,-0.016204653307795525
IRF6,-0.016203805804252625
PON2,-0.016192270442843437
TIGD2,-0.01618347316980362
TSC22D3,-0.016120359301567078
RANBP17,-0.016052180901169777
APBA1,-0.01603984832763672
ADK,-0.01603119634091854
KDM4B,-0.016019182279706
TMEM176A,-0.015990717336535454
SNX1,-0.0159443449229002
SPRYD4,-0.015910014510154724
GSTA1,-0.015885595232248306
CEACAM19,-0.015884824097156525
SAT1,-0.015826940536499023
TMEM220,-0.015742892399430275
SLC41A2,-0.01570180244743824
COL4A5,-0.015685616061091423
PSME4,-0.01568450964987278
AQP3,-0.01568419113755226
SIK3,-0.015668965876102448
NOS1AP,-0.015604131855070591
COL26A1,-0.015601573511958122
MCC,-0.015579775907099247
GPC5,-0.015575207769870758
NAXD,-0.015570473857223988
DLG1,-0.01556203793734312
ETNK2,-0.0155332637950778
VWCE,-0.015530484728515148
CPT1A,-0.015523464418947697
DST,-0.01546371541917324
SLC19A3,-0.015378198586404324
CA2,-0.015340421348810196
KCNMA1,-0.015338444150984287
CEP70,-0.015322302468121052
