gene,rho_vs_stage,p,q,is_signature
DTNA,0.7326588063596741,7.1149120569395826e-09,0.00014563547556709053,False
LRRC1,0.7282846857894252,9.671313581504832e-09,0.00014563547556709053,False
ENPP2,0.7009205578096992,5.8227846217882875e-08,0.0003609964456211398,False
SOX4,0.70045427991231,5.993233815139951e-08,0.0003609964456211398,False
PAQR5,0.7042068192929942,4.74393470367801e-08,0.0003609964456211398,False
LINC02698,0.6778609491069798,2.2787302123919953e-07,0.0009804073972372817,False
E2F3,0.679252364107305,2.1059096830119528e-07,0.0009804073972372817,False
NEDD4L,0.6719791132169045,3.165780033132047e-07,0.0011917974657229733,False
KRTAP5-AS1,0.6680094019798875,3.9359914082206054e-07,0.001317113924904222,False
RNF115,0.6486354413115241,1.088885781446096e-06,0.0032793973079812077,False
CHST9,0.639145580625954,1.746895440023632e-06,0.003740314952756056,False
TNFRSF21,0.6381010633624512,1.8383859694518606e-06,0.003740314952756056,False
LINC02762,0.6378294685600718,1.8628921968104672e-06,0.003740314952756056,False
AC008703.1,0.642921741645568,1.4501802205485175e-06,0.003740314952756056,False
LINC02006,0.6403429002710737,1.6472204063104706e-06,0.003740314952756056,False
AC233296.1,0.6347123610356145,2.166682561961404e-06,0.0038384693363877416,False
ERICH5,0.6351506857545856,2.121355947441141e-06,0.0038384693363877416,False
KRT23,0.6296057065464995,2.7651697648733873e-06,0.0038988329885543084,False
SLC22A15,0.628664162033907,2.8909755546703863e-06,0.0038988329885543084,False
FAT1,0.6325650202965439,2.4019864578887056e-06,0.0038988329885543084,False
PLA2G4C,0.6262615361915301,3.2364055089769137e-06,0.0038988329885543084,False
PTCHD1-AS,0.6295864508842846,2.7676910617168e-06,0.0038988329885543084,False
BAIAP2L2,0.6265386124159262,3.1947072257495593e-06,0.0038988329885543084,False
IL32,0.628685953154997,2.888004993212594e-06,0.0038988329885543084,True
DOK6,-0.6266078814720254,3.184360604038181e-06,0.0038988329885543084,False
CAP2,0.6218283166011909,3.975894095346554e-06,0.0039914000823184055,False
CYP3A7,0.6239756573402613,3.6001287443970583e-06,0.0039914000823184055,False
TM7SF3,0.6230058905548748,3.765564474159363e-06,0.0039914000823184055,False
EEF1A2,0.6232389316589618,3.725179804651512e-06,0.0039914000823184055,False
RASEF,0.6222121612776219,3.906170448476661e-06,0.0039914000823184055,False
BACE2,0.6200634950194504,4.311520924416322e-06,0.004128098212060918,False
AL353138.1,0.6196881454575339,4.38619858504995e-06,0.004128098212060918,False
BST2,-0.6156633706083752,5.2656286741366e-06,0.004805604205423393,True
ITGB1-DT,0.6144165275985922,5.569460129876157e-06,0.004933395021514124,False
ITGAV,0.6134467608132056,5.816876905939587e-06,0.005005339479319502,False
GCNT4,0.6098982113194146,6.811306897849276e-06,0.005452678045256707,False
EDA2R,0.6107160832212398,6.569116385831575e-06,0.005452678045256707,False
FGF13,0.6090828102789652,7.060943778099132e-06,0.005452678045256707,False
GABRE,0.6093598865033615,6.97518485624853e-06,0.005452678045256707,False
TRIM65,-0.607351083876489,7.619356787561201e-06,0.005717691020817092,False
FAM83F,0.6063120480350032,7.973670115692728e-06,0.005717691020817092,False
ELOVL7,0.6066170029521829,7.868136036751106e-06,0.005717691020817092,False
GABRB3,0.6057073041941009,8.186821534077053e-06,0.0057340117242278745,False
SPATA18,0.6040954382398335,8.780878366169562e-06,0.006010311676225653,False
PTPN14,0.6017180554293156,9.729868318501108e-06,0.0063034326964154265,False
LINC02763,0.6014632141080695,9.837013538251653e-06,0.0063034326964154265,False
AL353740.1,0.6021441363559624,9.55312638211646e-06,0.0063034326964154265,False
A2M,0.5977919541348198,1.1506185053867408e-05,0.006507037165659144,True
CCDC187,0.5969680132853779,1.1914963202464951e-05,0.006507037165659144,False
MDM2,0.5953675371713528,1.2747458006238653e-05,0.006507037165659144,False
SLC6A11,0.5958908308558829,1.2469551587920574e-05,0.006507037165659144,False
CNTLN,-0.5984846446958102,1.11725582719143e-05,0.006507037165659144,True
CDKN2B-AS1,0.5979942327161379,1.1407823755309632e-05,0.006507037165659144,False
AC073114.1,0.5958524205640462,1.2489758963273137e-05,0.006507037165659144,False
PRAG1,0.5984382088081749,1.1194641924662636e-05,0.006507037165659144,False
RGS1,0.5955482598771621,1.2650843325755897e-05,0.006507037165659144,False
SRGAP1,0.5993158733689989,1.0783973401865244e-05,0.006507037165659144,False
AL596223.1,0.5977578471817927,1.1522846856588175e-05,0.006507037165659144,False
PTPN11,0.5953675371713528,1.2747458006238653e-05,0.006507037165659144,False
GRHL2,0.594348811736171,1.330489249540256e-05,0.006678390788067316,False
C2CD4A,0.5934972972947182,1.3787949252301589e-05,0.006807404387402738,False
BCL2,0.5928045820956879,1.4192767860531854e-05,0.006894251446058675,False
ANXA2,0.5905715487084637,1.5573358005323254e-05,0.007365632061371159,False
NDUFS3,-0.5904494341883202,1.5652304410391278e-05,0.007365632061371159,False
NCAM2,-0.5893593028457697,1.637355320728301e-05,0.007498544561885108,False
ISG20,0.5892718602346363,1.643271046533244e-05,0.007498544561885108,False
BCAN,0.587732154049351,1.750709021700324e-05,0.00786956770246995,False
TPM1,0.5856698693174855,1.9047351742168855e-05,0.008436016064983815,False
CA12,0.5852812900636134,1.9351150044262383e-05,0.008446356317145656,False
FAM13C,0.5837137006852231,2.0622475225358587e-05,0.008872672662316066,False
LGALS4,0.5829683761296226,2.125345600301568e-05,0.009015356823138355,False
ARRDC4,0.5822756855686321,2.1855724844775056e-05,0.009142067571529033,False
OSBPL1A,0.5811673806710472,2.285202905532159e-05,0.009427870672042744,False
AL590652.1,0.5806469876269021,2.3334071082228642e-05,0.009496651605182161,False
CYTOR,0.5787199880590367,2.5201480618783085e-05,0.009840576787958681,False
AC017002.5,0.5790449403717204,2.487726296876894e-05,0.009840576787958681,False
AP000424.1,0.5784378666578671,2.5486103843702134e-05,0.009840576787958681,False
SULT1C2,0.5786020488617933,2.5320108986223402e-05,0.009840576787958681,False
ZDHHC13,0.577652471371753,2.6294071568323004e-05,0.010024032321812456,False
B3GNT3,0.5753890669058747,2.8755796648550447e-05,0.010692409600110125,False
CRIM1,0.5753876937223672,2.8757352246535847e-05,0.010692409600110125,False
PCDHA10,0.5746000579155447,2.9662444610767838e-05,0.010825899475565554,False
C17orf107,0.5744521474931286,2.983529755526583e-05,0.010825899475565554,False
CNDP1,-0.5732014392196563,3.133426672848255e-05,0.011234453703115583,False
SLC25A33,0.5725780177147648,3.210693503343948e-05,0.011376053675318786,False
CTNNA2,0.5720251556224548,3.2806721525828915e-05,0.011488837583644064,False
CREB5,0.5715327189027796,3.344176548321716e-05,0.011576616678828174,False
AC019118.2,-0.5711938244044011,3.3885324587458675e-05,0.011596867279551056,False
FAN1,-0.5699457935830008,3.556568588646626e-05,0.011802272874107381,False
EHD4,0.5698765245269017,3.566114923610491e-05,0.011802272874107381,False
CHI3L1,0.5698817411189269,3.5653951809869655e-05,0.011802272874107381,False
LINC01554,-0.568837488685416,3.712155487026991e-05,0.011897044343261493,False
TBC1D30,0.5682833362366235,3.792264358844185e-05,0.011897044343261493,False
LINC01205,-0.5684218743488215,3.772090071965761e-05,0.011897044343261493,False
NRG1,0.5687682196293169,3.7220836206049505e-05,0.011897044343261493,False
HKDC1,0.5692540515622757,3.652960477045756e-05,0.011897044343261493,False
CCDC73,-0.5680062600122273,3.832909674772951e-05,0.011900591822179068,False
MIOS,-0.5668979551146425,3.999512035641507e-05,0.012231751993716124,False
SCML4,0.5667594170024444,4.02079704943353e-05,0.012231751993716124,False
PPP2CB,0.56634380266585,4.085275878876667e-05,0.012303625364412858,False
PDGFA,0.5660334862738461,4.1340343854917264e-05,0.012327199365134092,False
DUSP8,0.5647648270745887,4.338964066352814e-05,0.01276099816073396,False
SERPINB8,0.5646120762633738,4.3642554389733305e-05,0.01276099816073396,False
MEAF6,0.5621876592999069,4.784163426470298e-05,0.013628471729043143,False
TMEM150B,0.5623261974121051,4.7592074126924096e-05,0.013628471729043143,False
DEC1,-0.5621183902438079,4.796686267817423e-05,0.013628471729043143,False
SCAT8,0.5614556305466434,4.918028435575702e-05,0.013710790856956975,False
TBC1D22B,0.5612178925145201,4.9622346296387765e-05,0.013710790856956975,False
MVB12A,-0.5614949687389165,4.910748522045883e-05,0.013710790856956975,False
AL356234.2,0.560667172919734,5.066037491603113e-05,0.01387035010314645,False
ENPP3,-0.5596247042242419,5.2679825903653615e-05,0.014293318168831856,False
RAPGEF5,0.5591398208315487,5.3643980561680905e-05,0.014424962165858425,False
CDH6,0.5577246666902798,5.655088999306008e-05,0.015072063309035315,False
MCTP2,0.5572695563168742,5.751589643625191e-05,0.01519479169272455,False
DISC1FP1,0.556923211036379,5.826033647233284e-05,0.015257622204671722,False
U91319.1,-0.5564383276436856,5.9317347423981173e-05,0.015268893609983257,False
CHRNB1,-0.5565075966997847,5.9165280876240716e-05,0.015268893609983257,False
KLHL29,0.5558841751948932,6.0546795110696304e-05,0.015352998560878264,False
MT1H,-0.5558320458432601,6.0663639431036066e-05,0.015352998560878264,False
PCSK5,0.5547066012412093,6.323701474215841e-05,0.0154853343557236,False
HEG1,0.5547066012412093,6.323701474215841e-05,0.0154853343557236,False
TRIM31,0.5547039373714027,6.324322229152979e-05,0.0154853343557236,False
ATP9A,0.5551914846339027,6.211632707683541e-05,0.0154853343557236,False
LINC00589,0.5542828482485719,6.423150213957003e-05,0.015600485080140567,False
LINC01435,0.5529056057826339,6.756315327891067e-05,0.016278395898407624,False
BICC1,0.5524195943966882,6.877600605278107e-05,0.016439102970568314,False
TNFSF11,0.5512872689708824,7.167922459248467e-05,0.016998135488597327,False
BISPR,-0.5503358093510435,7.420471384555776e-05,0.017459557553802057,False
DNAH7,0.549542364994231,7.637257363202344e-05,0.017693175385197307,False
ZBTB38,0.5497192292020775,7.588439930069497e-05,0.017693175385197307,False
FAM169A,0.5485416552483937,7.918907390511608e-05,0.0180677071121241,False
AC010319.4,-0.5486971130514037,7.874541266029964e-05,0.0180677071121241,False
DCDC2,0.5468791979020164,8.407818548961757e-05,0.019038967762336934,False
PTCHD4,0.5461846102612854,8.620119777653091e-05,0.019374040846535684,False
OR2A1-AS1,0.5453502942487826,8.881583970695022e-05,0.019813826995957184,False
AL365181.3,0.5449098330121069,9.022515405367468e-05,0.01998022768113618,False
SCGB2B2,-0.5444547809385496,9.170253112523088e-05,0.020112191086440183,False
ADGRF3,-0.5443162428263515,9.215666799245427e-05,0.020112191086440183,False
PPA1,0.543623552265361,9.445824562760667e-05,0.020466179737889424,False
CCDC155,0.5408190870918288,0.00010432170385493293,0.02228267202126961,False
GRB14,-0.5409913281335971,0.0001036899029464664,0.02228267202126961,True
RAB8B,0.5397444851238141,0.00010834327320291964,0.022818002510855463,False
TBC1D3B,-0.5399228607758766,0.00010766610470890674,0.022818002510855463,False
TMC3-AS1,-0.5388439873945263,0.00011182140555415203,0.023386981049127755,False
RNF214,-0.5375278753286444,0.00011708783348340363,0.023826582979862614,False
MAML2,0.5378908070753882,0.00011561347558013123,0.023826582979862614,False
NPHP3-AS1,0.5377140111472789,0.00011632956012614366,0.023826582979862614,False
CNKSR2,-0.5377356824969416,0.00011624156718383279,0.023826582979862614,False
POU6F2,-0.537042991935951,0.00011908429765026292,0.024070213371362205,False
TXNRD2,-0.5367659157115549,0.00012023899050107699,0.02414158451280624,True
ABCC9,-0.5353805345895738,0.000126166711624461,0.025163992410555575,False
AC114781.2,-0.5334574507775355,0.00013483592841657908,0.026716142474487583,False
UBD,0.5331680767434347,0.00013618628998650145,0.026807336572048784,False
GALE,-0.5320556198968193,0.00014149280156451673,0.027671030550120455,True
SNX14,0.5318478127285221,0.00014250463879885068,0.02768911101099991,False
FASTKD1,0.5311551221675316,0.0001459250986042896,0.02799252353290057,False
ENAH,0.5311551221675316,0.0001459250986042896,0.02799252353290057,False
AC120042.1,-0.5300429291107427,0.00015157332655075107,0.02889198655524665,False
BCHE,-0.5296312029333525,0.00015371412131425373,0.02911577479007157,False
TAFA5,0.5287205921180784,0.00015854674896901633,0.02947501505370287,False
MAP3K21,-0.5287307052040647,0.00015849232963566334,0.02947501505370287,False
AL365181.2,0.5287747293794749,0.0001582556295525407,0.02947501505370287,False
FA2H,0.5266477682679248,0.00017006573628730435,0.031201214382262622,False
ACSM1,0.526495695966064,0.0001709400130515434,0.031201214382262622,False
CLIP4,0.5267219025771922,0.00016964100487092698,0.031201214382262622,False
UNC119B,-0.5260292120162017,0.00017364737657520833,0.031504446025997286,False
PAPSS1,-0.5245745618381217,0.0001823415600786232,0.03288371715501733,False
AKR1B10,0.524339862036639,0.00018378073700451106,0.03294597890693369,False
NCEH1,0.5239511403332302,0.000186187053950355,0.03317985505220616,False
POLR3H,-0.5221501448746548,0.00019771304377160886,0.03502661023099732,False
PPP4R1,0.5203491494160795,0.00020988219589427435,0.0355927968354319,False
SOX9-AS1,0.5213881852575653,0.00020278123390148758,0.0355927968354319,False
BDKRB2,0.5210947081892108,0.00020476450943995698,0.0355927968354319,False
AC010991.1,-0.5211803780892682,0.00020418375550027766,0.0355927968354319,False
ODC1,0.520323793551421,0.0002100582645761558,0.0355927968354319,False
SLC51A,0.5207647637526738,0.00020701520680090388,0.0355927968354319,True
DOCK8,0.5202798803599804,0.00021036351020044754,0.0355927968354319,False
NPTX2,0.5204129670913343,0.0002094396438199706,0.0355927968354319,False
GPCPD1,0.519864266023386,0.00021327246040399168,0.035697642691029194,False
FKBP8,-0.5195179207428908,0.00021572437393390154,0.035697642691029194,False
ZNF358,-0.5195871897989899,0.00021523195783440223,0.035697642691029194,False
AC018742.1,0.5196564588550889,0.00021474056030157585,0.035697642691029194,False
DNAJC25,-0.5188944992379994,0.00022020226457748117,0.03623951695234973,True
PCYT1A,0.5180632705648108,0.00022630374677198194,0.03704124968223794,False
MT1F,-0.5176476562282164,0.0002294115465426585,0.03734695971473106,False
AL358232.2,-0.5166086203867307,0.00023735084616954052,0.03843169588219383,False
NBEAL1,0.5161930060501363,0.0002405956089832364,0.03865762243169632,False
DLG2,-0.5158466607696411,0.00024333019372002268,0.03865762243169632,False
MYO9A,-0.515777391713542,0.00024388047488203677,0.03865762243169632,False
CRISPLD2,0.5159188823873672,0.00024275765405696873,0.03865762243169632,False
MFHAS1,0.5155695845452449,0.0002455380834866859,0.03871659926894513,False
AC090236.2,0.5152548044774784,0.0002480684071039315,0.03891185529556826,False
ARL14,0.5141506823864179,0.00025713143363219245,0.040124494231610054,False
FRMD6-AS2,0.5138191884677794,0.00025991033473659036,0.04034906985186542,False
OR2I1P,0.5134903471085576,0.0002626938164168432,0.04057204958474906,False
AC108134.1,0.5128682268283771,0.00026803363933554055,0.041185556713614666,False
TUSC3,0.512572186343121,0.00027060894365771017,0.041370200792585056,False
GPRC5B,0.5117172650351838,0.0002781721641707214,0.042302448637404066,False
AC139769.2,0.5115675513236224,0.00027951612972219707,0.042302448637404066,False
AC098820.1,-0.5104815158526997,0.00028944247259167646,0.04246182976588304,False
CACNA1H,-0.5107900196744103,0.00028659084646431973,0.04246182976588304,True
TNFRSF12A,0.5109524702097237,0.00028509948059906795,0.04246182976588304,False
GPC3,0.5112056340110046,0.000282789310614491,0.04246182976588304,False
UBC,0.5105129434500141,0.00028915080575423824,0.04246182976588304,False
AC068506.1,0.5111279945210061,0.0002834959806214354,0.04246182976588304,False
MIR34AHG,0.510374405337816,0.000290438520827835,0.04246182976588304,False
NR4A1,0.510035954737583,0.00029360625600306973,0.04251220967329063,False
CXCL1,0.5100588944835378,0.00029339056853668836,0.04251220967329063,False
ZNF431,0.5097509838329245,0.0002962976257145882,0.042696629634671066,False
AC117386.1,0.5094420638205708,0.00029924034827303806,0.04282185737879863,False
DUSP23,-0.509127562328033,0.000302263345734426,0.04282185737879863,False
AC004231.1,0.5090541105909532,0.00030297332899852704,0.04282185737879863,False
CPA2,0.5091514610917106,0.0003020326650485637,0.04282185737879863,False
AL355574.1,-0.5089197551597359,0.00030427590659969143,0.04282185737879863,False
DFFB,-0.5085041408231415,0.00030833739314285486,0.04319161520596911,False
C12orf45,-0.5070494906450616,0.00032294123765646984,0.044921411985636005,False
MTMR2,0.5066338763084671,0.0003272269748940651,0.044921411985636005,False
AL645465.1,-0.5066338763084671,0.0003272269748940651,0.044921411985636005,False
SLFN13,0.5065455926257276,0.00032814392658099816,0.044921411985636005,False
EPB41L4A,0.5069109525328633,0.00032436415061272043,0.044921411985636005,False
AL138826.1,-0.5060104548035756,0.0003337519263797088,0.045277507958458064,False
POF1B,0.5061307772783088,0.0003324835149575736,0.045277507958458064,False
KLF6,0.5053177642425851,0.0003411394623046789,0.046072184691614414,True
ADGRV1,-0.5047636117937927,0.00034715542052275874,0.046675356249481804,False
PLXNC1,0.5045558046254957,0.0003494359779031657,0.04677317042893174,False
SLC16A10,-0.5032396925596136,0.0003641962310254974,0.04853317650351728,False
SPSB1,0.5027548091669203,0.0003697744539080842,0.04905945915572586,False
CXCL16,0.5025306796534303,0.0003723788488725832,0.049188306103050826,False
TRIM31-AS1,0.5021541730980567,0.00037679113754144077,0.0495537934032121,False
ZMAT3,0.5013001589888401,0.0003869746240306905,0.05067180326927089,False
TTLL12,-0.5008152755961468,0.0003928663294926155,0.051220585477615155,False
OSBPL11,0.5002611231473544,0.0003996986488756565,0.051886742276673045,False
DUSP16,0.49984550881076,0.0004048929825891393,0.05189005087930684,True
WIPF3,0.4999147778668592,0.0004040230570400954,0.05189005087930684,False
C5orf64,0.5000173913409519,0.0004027374670562297,0.05189005087930684,False
AL513323.1,-0.49909893946917855,0.0004143766189763354,0.05288042641402666,False
FREM2,0.49852939674487806,0.0004217455999592843,0.05359372250621842,False
