gene,rho_vs_stage,p,q,is_signature
DTNA,0.7118180424878524,4.202725097124132e-08,0.001265734717500875,False
ZMAT3,0.688282064758894,1.7406317730166654e-07,0.002556516373271232,False
ENPP3,-0.6815851388742217,2.5465846929686544e-07,0.002556516373271232,False
BACE2,0.6656460054515939,6.06028794412386e-07,0.004562942300329458,False
JUND,0.6589331059165556,8.59811382220713e-07,0.005178987879668242,True
ENPP2,0.6539224429508773,1.110067231983294e-06,0.005571982470940145,False
KRTAP5-AS1,0.6507732649056551,1.300286734100712e-06,0.005594390795844449,False
A2M,0.6388129263841387,2.332778185411342e-06,0.007025628061003339,True
CSPP1,-0.6433167245915319,1.8774717257485739e-06,0.007025628061003339,False
GABRE,0.6404698947855236,2.1545524431196727e-06,0.007025628061003339,False
MDM2,0.6322025128861906,3.188334359592794e-06,0.008729369627986927,False
ADCY1,-0.6204345240217112,5.463035358218295e-06,0.008801539741879031,False
LRRC1,0.6236600604016566,4.723738722224538e-06,0.008801539741879031,False
KCNMB2-AS1,0.6255400619073727,4.336619896704829e-06,0.008801539741879031,False
CTNNBL1,-0.620071314488857,5.552653155882113e-06,0.008801539741879031,False
NEDD4L,0.627262863239372,4.007808151815751e-06,0.008801539741879031,False
LINC01554,-0.6246320081652007,4.519787521618414e-06,0.008801539741879031,False
ABCC9,-0.6207977335545655,5.374753708859844e-06,0.008801539741879031,False
LINC02740,0.6262074987073014,4.206385785853951e-06,0.008801539741879031,False
UBD,0.6166216838415717,6.474032606146127e-06,0.009748921999965144,False
DOK6,-0.6142075512050674,7.200545282113321e-06,0.009929039661203783,False
PLA2G4C,0.6140420362434755,7.253009016385537e-06,0.009929039661203783,False
MIR34AHG,0.6103372990083618,8.523580969730928e-06,0.011161073394147233,False
ZNF142,-0.6045985883892638,1.0901327626307014e-05,0.01262751092774955,False
OXNAD1,-0.6058335008009684,1.0343332536824158e-05,0.01262751092774955,False
DNM1,-0.6053976493615432,1.0537197825722679e-05,0.01262751092774955,False
CAP2,0.5993683711161619,1.358546566113363e-05,0.0129544075928423,False
AC111149.1,0.5990546124308879,1.3764353785933313e-05,0.0129544075928423,False
U91319.1,-0.6004579997147248,1.2980688617844863e-05,0.0129544075928423,False
AC140912.1,0.5990546124308879,1.3764353785933313e-05,0.0129544075928423,False
AC017002.1,0.5990546124308879,1.3764353785933313e-05,0.0129544075928423,False
AC060766.4,0.6025664209146238,1.1880178332100221e-05,0.0129544075928423,False
AREG,0.5976704518158896,1.457967164749295e-05,0.013305938515380157,False
PCSK5,0.5943756574760333,1.6702165492070436e-05,0.014794679944843686,False
CDC20B,0.5919492913351675,1.8442784768314027e-05,0.015869752824780387,False
HPR,-0.590578700421088,1.9498131975364084e-05,0.016311812241723338,True
PPM1K,-0.5878183079713952,2.1793750084343012e-05,0.017739523548382662,False
ROBO1,0.5860971869601715,2.3347936602299727e-05,0.018098420390233235,False
TNFRSF10B,0.5860022603071238,2.3436543985758746e-05,0.018098420390233235,True
LINC01435,0.5846264531336975,2.4755874011562298e-05,0.018639316440155543,False
NKD2,0.5826213364105134,2.6800913169308573e-05,0.018771234928373633,False
NRXN3,0.5835794031675269,2.5805200107922953e-05,0.018771234928373633,False
INAVA,0.5830716245503437,2.6328626276147132e-05,0.018771234928373633,False
EPB41L5,-0.5799003401551716,2.982399364993196e-05,0.01908523003123028,True
GCNT4,0.5815479190766908,2.7958258240948264e-05,0.01908523003123028,False
SPATA18,0.580263549688026,2.940315578045524e-05,0.01908523003123028,False
FAT1,0.5808446849405927,2.874111817203964e-05,0.01908523003123028,False
AC073115.2,0.5793958056650388,3.041773886838176e-05,0.01908523003123028,False
KRT23,0.5769297495408106,3.3478720162397795e-05,0.019986670636663078,False
AL353740.1,0.5761460584778493,3.450897742492546e-05,0.019986670636663078,False
MPHOSPH8,-0.5765588124529121,3.396279963361222e-05,0.019986670636663078,False
AL365181.3,0.5762616491966702,3.4355216762110166e-05,0.019986670636663078,False
NCAM2,-0.5756144676674908,3.5224251711303866e-05,0.020016014882817706,False
ANXA2,0.5732361663582717,3.859352581733991e-05,0.02126623504025928,False
ZMYM1,-0.5730720009375108,3.883663469848459e-05,0.02126623504025928,False
KCNJ3,-0.5722002980586605,4.0151153888997996e-05,0.021593433958481296,False
AC093833.1,0.5697009364217743,4.414906066084481e-05,0.022160620998711054,False
AWAT2,0.5704310612001835,4.294510380210624e-05,0.022160620998711054,False
AL451042.2,0.5704310612001835,4.294510380210624e-05,0.022160620998711054,False
EEF1A2,0.5699895714483438,4.366946830204184e-05,0.022160620998711054,False
CDH16,0.56575942750932,5.1198397170419315e-05,0.022346987356253893,False
BCHE,-0.5661710198132791,5.041693824873509e-05,0.022346987356253893,False
AC025175.1,0.56575942750932,5.1198397170419315e-05,0.022346987356253893,False
USH2A,-0.5676964998512672,4.7614717425396057e-05,0.022346987356253893,False
KLK10,0.5685017807072112,4.6193567446930735e-05,0.022346987356253893,False
AFF4,0.5680597093841214,4.696885508806294e-05,0.022346987356253893,False
AKR1B10,0.566697580531727,4.9433088312259116e-05,0.022346987356253893,False
DUSP6,0.5688775083958466,4.554384594710169e-05,0.022346987356253893,False
MT1H,-0.5671703673605634,4.856469228537686e-05,0.022346987356253893,False
LINC00705,0.5644089062091339,5.38408981456719e-05,0.022838399006383108,False
AC069368.2,0.564539194093054,5.358064672530976e-05,0.022838399006383108,False
POU6F2,-0.5634832692701573,5.572336152531305e-05,0.023308617764692407,False
LINC02780,0.5626696648194026,5.7427407162641504e-05,0.023692345500236633,False
IL32,0.5613766539796025,6.023364294718624e-05,0.024187421661872106,True
BCAN,0.5613937347473921,6.019577075008603e-05,0.024187421661872106,False
SRGAP1,0.5606687025666126,6.182260588186851e-05,0.024498834491371503,False
DLG2,-0.5582530519970554,6.753670984861035e-05,0.02607696269885382,False
CYP2C19,-0.5583983358101972,6.717988533861629e-05,0.02607696269885382,False
HKDC1,0.5571452695006037,7.031484681706457e-05,0.026144101748018934,False
KMT2A,-0.5576719167444885,6.898136231894412e-05,0.026144101748018934,False
AL590666.2,0.5574428204182132,6.955857981654809e-05,0.026144101748018934,False
LINC01943,0.5560721173972648,7.310512230711458e-05,0.026278210569454206,False
PTCHD1-AS,0.5560011528933588,7.329314632380892e-05,0.026278210569454206,False
AL512343.2,-0.556655633641157,7.157566117297767e-05,0.026278210569454206,False
CHI3L1,0.555251332518579,7.530694853547239e-05,0.026682580812268496,False
SLC6A11,0.5542891677354368,7.796490812139103e-05,0.027139140659344443,False
TRPC7,0.5541353177332867,7.839775666112051e-05,0.027139140659344443,False
AC110597.3,0.5517445264367292,8.541168243009565e-05,0.028902737525249335,False
AP000851.1,0.5517445264367292,8.541168243009565e-05,0.028902737525249335,False
ANKRD1,0.550423032566431,8.952939331145608e-05,0.029308225416968724,False
PHLDA2,0.550423032566431,8.952939331145608e-05,0.029308225416968724,False
ARMH1,-0.5509162194333986,8.79719621335045e-05,0.029308225416968724,False
AL513323.1,-0.5501167814319216,9.050909484709438e-05,0.02931034848935421,False
TNNI2,0.5495409917598557,9.237752648299907e-05,0.029597169841366844,False
TICAM2,-0.5491001717691272,9.383164202606568e-05,0.029746605925252842,False
SUSD1,0.5487724632948777,9.492611039238847e-05,0.029780100694662123,False
AP001005.3,0.5469703913915417,0.00010115500476806557,0.03077257857171546,False
CAMK2N2,0.5470728927458658,0.00010079096980554464,0.03077257857171546,False
AC066614.1,-0.5474288957825786,9.953586093823685e-05,0.03077257857171546,False
ARMCX5-GPRASP2,-0.5461218535997219,0.00010421485772081843,0.03138638869977888,False
SLC17A2,-0.5440878802157377,0.00011189522673373863,0.03225761339226048,True
HAMP,-0.5439425964025961,0.00011246304101296113,0.03225761339226048,True
SLC51B,0.5442739994516763,0.000111171624190278,0.03225761339226048,False
AF130359.1,0.5441591112174939,0.0001116177873454513,0.03225761339226048,False
SLC38A4,-0.5441605221223087,0.00011161229830088997,0.03225761339226048,True
CHST9,0.5433614611500291,0.00011476059457081849,0.032301353520461124,False
SPIN3,-0.543506744963171,0.00011418224007283958,0.032301353520461124,False
PTCHD1,0.542951739083083,0.00011640601695272523,0.0324611112274558,False
AC022239.1,0.5416715366511489,0.00012168640172389941,0.03331663055198799,False
AC068491.2,0.5419011237321264,0.0001207237069936961,0.03331663055198799,False
LINC01727,-0.5408189944200492,0.00012532261597753174,0.03400307410266057,False
CCDC187,0.5392429310692046,0.0001323057829865862,0.035577261305419786,False
AL355102.4,0.5387752591385421,0.00013444488707965152,0.035832536851131545,False
AL358232.2,-0.5384944534097816,0.00013574431998084676,0.0358615060075716,False
EHF,0.5377858227162345,0.00013907438657677113,0.0364217678307184,False
CA12,0.5371626135754461,0.0001420641513987752,0.03688401765238718,False
AC004264.1,0.5362032499879972,0.00014678075716041594,0.037147866078993674,False
CACNA1H,-0.5364604800257976,0.00014550236479159598,0.037147866078993674,True
GRB14,-0.536242554306085,0.00014658476338282595,0.037147866078993674,True
AC007272.1,0.5351571439567223,0.00015208545671746364,0.03816964749966544,False
AL356055.1,0.5329200407358666,0.00016401788957970994,0.03826911507793536,False
SLC16A10,-0.5321746075381169,0.0001681786551490926,0.03826911507793536,False
ELP6,-0.5340445668461329,0.00015791761487677497,0.03826911507793536,False
KATNAL1,-0.5333368780432507,0.0001617321558004572,0.03826911507793536,False
FBXL5,-0.5345717904549552,0.0001551290649216083,0.03826911507793536,False
SH3BP4,0.5320293237249751,0.0001690006410122324,0.03826911507793536,False
ASPG,-0.5339906552023883,0.0001582053077289158,0.03826911507793536,True
NEBL,0.5326831008841129,0.00016533017520641675,0.03826911507793536,False
MYO9A,-0.5322472494446877,0.00016776902329635675,0.03826911507793536,False
TAF5,-0.5329912245052134,0.00016362548961967616,0.03826911507793536,False
FABP4,0.5329200407358666,0.00016401788957970994,0.03826911507793536,False
PLBD1-AS1,-0.5334821618563923,0.0001609423056865802,0.03826911507793536,False
AC015563.2,0.5329200407358666,0.00016401788957970994,0.03826911507793536,False
ACTB,0.5309396951264123,0.00017528260155133535,0.03853274533519392,True
KLHL29,0.5313624935741889,0.00017282036274054012,0.03853274533519392,False
TESC,0.5311146478589575,0.00017425990307175435,0.03853274533519392,False
AC002460.2,-0.5312302627526957,0.00017358704000123548,0.03853274533519392,False
LRRIQ4,0.5303832076610652,0.00017857187219117772,0.03869100053799784,False
AL353138.1,0.530534679100937,0.00017767106177670592,0.03869100053799784,False
TNFRSF12A,0.5294920229106314,0.00018395615673303146,0.03940133790009649,False
SCAT8,0.529318577030863,0.0001850210136077369,0.03940133790009649,False
MEAF6,0.5291962893687115,0.000185775143002746,0.03940133790009649,False
AL022311.1,-0.5280340188635779,0.0001930829799206157,0.040534748193208466,False
EPS8L3,0.5279204355572883,0.0001938109287054494,0.040534748193208466,False
MRPL30,-0.5272349578912985,0.00019825714435334893,0.040888194716041736,False
AC011995.2,0.5270346373503931,0.00019957381622532573,0.040888194716041736,False
C1GALT1,-0.5272349578912985,0.00019825714435334893,0.040888194716041736,False
SERPINB8,0.526827409698454,0.00020094421689056653,0.040890790406035084,False
LINC02775,-0.5260726873861646,0.00020600755538479555,0.04163979560754287,False
TFF2,0.5240835374776687,0.00021991078779879094,0.04272937545894314,False
Z68871.1,-0.524974398976939,0.00021358236198135632,0.04272937545894314,False
AC022431.1,0.5240835374776687,0.00021991078779879094,0.04272937545894314,False
ANO8,-0.5241839978153223,0.00021918875358486355,0.04272937545894314,False
EIPR1,-0.5247651330678892,0.00021505392807205968,0.04272937545894314,False
AC117386.1,0.524282573560798,0.00021848235076772193,0.04272937545894314,False
NPTX2,0.5232341063399135,0.00022610245955361028,0.04329528561429256,False
AC064807.1,-0.5234575787496137,0.000224458417019994,0.04329528561429256,False
CASK,0.5230943692167594,0.00022713600714075849,0.04329528561429256,False
LINC01669,0.5196376211265794,0.00025410384034923664,0.04715391312349552,False
EQTN,0.519562986643952,0.00025471675092351265,0.04715391312349552,False
STMN2,0.5194141305238336,0.0002559431744608645,0.04715391312349552,False
GDF15,0.5202164481208665,0.00024939550164767,0.04715391312349552,False
PPP2R5D,-0.5194622738882164,0.0002555459391377336,0.04715391312349552,False
RMST,0.5193137391438578,0.00025677330916934834,0.04715391312349552,False
PITPNA,0.518663212915937,0.0002622117485748552,0.04786079534441766,False
AL357153.1,0.5179315512780448,0.0002684527170691556,0.04870476192754072,False
GC,-0.517646226223945,0.00027092265758478284,0.04885854897293956,True
NRBP1,-0.517137732877949,0.0002753754335256823,0.04918817386574488,False
ZNF554,-0.5170650909713781,0.0002760169134811198,0.04918817386574488,False
