signature_set,gene,direction,program,mean_slope_trend_rho,frac_splits_weakening,q_trend,group
paper2_full,GLS2,PP,urea_nitrogen,-0.5725614946229656,1.0,3.683955076356566e-07,strongest_weakening
paper2_full,SLC38A4,PP,urea_nitrogen,-0.5610978925461402,1.0,2.643802812687649e-13,strongest_weakening
paper2_full,GADD45G,PC,other,-0.5566046321338859,1.0,3.604353265384125e-11,strongest_weakening
paper2_full,PSD3,PP,other,-0.546125156034491,1.0,9.42199300162595e-16,strongest_weakening
paper2_full,ADH1B,PC,cyp_xenobiotic,-0.5323905585088958,1.0,1.3117438081358137e-08,strongest_weakening
paper2_full,SLCO1B3,PC,bile_acid_transport,-0.5319394892872106,1.0,2.3810542427188563e-11,strongest_weakening
paper2_full,ADH1A,PC,cyp_xenobiotic,-0.5093538089728356,1.0,5.480316959231533e-09,strongest_weakening
paper2_full,ADGRA3,PP,other,-0.4887071405075222,1.0,6.890576340060267e-10,strongest_weakening
paper2_full,ELN,PC,other,-0.4837073017970256,1.0,2.132439179007876e-08,strongest_weakening
paper2_full,ZFP36L2,PC,other,-0.4686072226139484,1.0,5.346181773011458e-09,strongest_weakening
paper2_full,FNIP2,PP,other,-0.4662573667638364,1.0,3.333864909557859e-09,strongest_weakening
paper2_full,SLC7A2,PP,other,-0.4605900041856645,1.0,1.7415474493812635e-10,strongest_weakening
paper2_full,CYP1A2,PC,cyp_xenobiotic,-0.4574099661727844,1.0,1.145133679842979e-05,strongest_weakening
paper2_full,FGFR2,PP,other,-0.456927263525163,1.0,3.119729364411684e-10,strongest_weakening
paper2_full,CYP2C18,PP,cyp_xenobiotic,-0.4569170119519429,1.0,2.3810542427188563e-11,strongest_weakening
paper2_full,IL1RAP,PC,other,0.4039840387871968,0.0,2.805914785895075e-07,weakest_or_strengthening
paper2_full,APOC2,PP,other,0.4046239622654335,0.0,1.8159632824524248e-10,weakest_or_strengthening
paper2_full,PIK3C2G,PC,other,0.4095005567879872,0.0,7.132841362674817e-10,weakest_or_strengthening
paper2_full,RALGAPA2,PC,other,0.4146154641774849,0.0,8.543342590550644e-08,weakest_or_strengthening
paper2_full,GPT2,PC,other,0.4154734162481186,0.0,1.0363567159674521e-07,weakest_or_strengthening
paper2_full,KDM4B,PC,other,0.4200743223093066,0.0,7.307435828122341e-11,weakest_or_strengthening
paper2_full,HSD17B6,PP,other,0.4228387322536339,0.0,2.6682107937478773e-07,weakest_or_strengthening
paper2_full,CFHR4,PC,other,0.4339339611327499,0.0,4.9049989392366005e-09,weakest_or_strengthening
paper2_full,ATL2,PC,other,0.4362835240807697,0.0,2.4154187993291052e-08,weakest_or_strengthening
paper2_full,ADGRG6,PC,other,0.4367236094740047,0.0,1.8126087495850373e-06,weakest_or_strengthening
paper2_full,PPARGC1A,PC,other,0.4612907724407823,0.0,2.8697089085674283e-08,weakest_or_strengthening
paper2_full,TANK,PC,other,0.462866416713784,0.0,1.339705064507538e-09,weakest_or_strengthening
paper2_full,FADS2,PP,other,0.4707781850244395,0.0,1.9984670227356706e-07,weakest_or_strengthening
paper2_full,DUSP16,PC,other,0.4969494053764953,0.0,5.954830047284145e-13,weakest_or_strengthening
paper2_full,ZBTB16,PC,other,0.52656693266464,0.0,1.4028479276516946e-07,weakest_or_strengthening
