signature_set,gene,direction,held_out,n_splits_tested,mean_slope_trend_rho,frac_splits_weakening,p_trend,q_trend
paper2_full,GLS2,PP,True,5,-0.5725614946229656,1.0,4.435228470306431e-08,3.683955076356566e-07
paper2_full,SLC38A4,PP,True,12,-0.5610978925461402,1.0,6.495830006603558e-16,2.6438028126876483e-13
paper2_full,GADD45G,PC,True,12,-0.5566046321338859,1.0,3.188125738423305e-13,3.6043532653841253e-11
paper2_full,PSD3,PP,True,14,-0.546125156034491,1.0,4.629971990970983e-19,9.42199300162595e-16
paper2_full,ADH1B,PC,True,9,-0.5323905585088958,1.0,5.285650725657824e-10,1.3117438081358135e-08
paper2_full,SLCO1B3,PC,True,10,-0.5319394892872106,1.0,1.8720819598772334e-13,2.3810542427188563e-11
paper2_full,ADH1A,PC,True,10,-0.5093538089728356,1.0,1.770475073102466e-10,5.4803169592315336e-09
paper2_full,ADGRA3,PP,True,11,-0.4887071405075222,1.0,1.2866923878245217e-11,6.890576340060268e-10
paper2_full,ELN,PC,True,8,-0.48370730179702565,1.0,1.0478816604461306e-09,2.1324391790078758e-08
paper2_full,ZFP36L2,PC,True,12,-0.4686072226139484,1.0,1.6265818649350232e-10,5.346181773011458e-09
paper2_full,FNIP2,PP,True,10,-0.46625736676383644,1.0,9.338098272471645e-11,3.333864909557859e-09
paper2_full,SLC7A2,PP,True,12,-0.4605900041856645,1.0,2.3106526355427085e-12,1.7415474493812635e-10
paper2_full,CYP1A2,PC,True,5,-0.45740996617278445,1.0,2.8811225753297555e-06,1.145133679842979e-05
paper2_full,FGFR2,PP,True,11,-0.45692726352516305,1.0,5.059020590937867e-12,3.1197293644116845e-10
paper2_full,CYP2C18,PP,True,12,-0.45691701195194295,1.0,1.7885496374994183e-13,2.3810542427188563e-11
paper2_full,ZNRF3,PC,True,7,-0.449136067877875,1.0,2.9963709750834416e-08,2.686173979865552e-07
paper2_full,GLDC,PP,True,11,-0.4473025007819343,1.0,3.252310389595834e-11,1.4046357506681362e-09
paper2_full,GLUL,PC,True,13,-0.44509131529661095,1.0,2.3143137932751237e-15,6.728040813306967e-13
paper2_full,DUSP10,PP,True,11,-0.44045444987089694,1.0,6.224587958813979e-11,2.3900068860729147e-09
paper2_full,TBX3,PC,True,14,-0.4363772527502108,1.0,2.9665715857837444e-18,3.01848658853496e-15
paper2_full,HSD17B14,PC,True,15,-0.43525172764467285,1.0,4.358160431532678e-16,2.21721411954225e-13
paper2_full,C9,PP,True,11,-0.4341277646836254,1.0,1.4733115512407027e-12,1.2492454194895124e-10
paper2_full,PLIN1,PC,True,13,-0.4296756528851751,1.0,8.784644629265825e-13,8.125796282070888e-11
paper2_full,ALAS1,PC,True,10,-0.4278456006143384,1.0,4.1667195982663404e-09,5.97131998765634e-08
paper2_full,AMDHD1,PP,True,11,-0.42697509559690466,1.0,6.721676303044372e-14,1.1398842730579415e-11
paper2_full,PDK2,PC,True,8,-0.4239728491538707,1.0,1.1178736343861514e-05,3.588127517312016e-05
paper2_full,NFIX,PC,True,9,-0.41279277630210437,1.0,4.6016623425904336e-08,3.7607963321974026e-07
paper2_full,PCSK6,PP,True,8,-0.40805654947441083,1.0,4.824707749717071e-09,6.771227772878785e-08
paper2_full,SH3RF2,PC,True,12,-0.4043459681388822,1.0,1.8290254895181526e-10,5.4803169592315336e-09
paper2_full,HAMP,PP,True,3,-0.4016234431937115,1.0,0.0034902902968968626,0.005783990842170289
paper2_full,RDH5,PC,True,11,-0.4012407177934938,1.0,6.343562449799077e-08,4.834887485146488e-07
paper2_full,LEPR,PP,True,7,-0.400549468856366,1.0,1.0593490888895091e-05,3.4164427827102237e-05
paper2_full,XDH,PP,True,11,-0.3985928828817839,1.0,1.6794205056274625e-09,2.997912920133233e-08
paper2_full,ABHD2,PP,True,14,-0.3964392156424395,1.0,8.444941314494088e-13,8.125796282070888e-11
paper2_full,HDHD3,PC,True,12,-0.3944224452618101,1.0,1.8773661107534233e-09,3.2104538112464006e-08
paper2_full,GRINA,PC,True,11,-0.39168039351050576,1.0,3.295916462080661e-08,2.8786223177399767e-07
paper2_full,SLC43A3,PP,True,7,-0.39027613719513,1.0,6.581001175193235e-06,2.258404281874913e-05
paper2_full,PPFIBP1,PP,True,4,-0.3876778864232806,1.0,0.002242526693587762,0.0038641336337435187
paper2_full,HAL,PP,True,10,-0.3874040229672574,1.0,3.128014323931041e-11,1.3838063367825365e-09
paper2_full,IGF1,PP,True,11,-0.3869939600384529,1.0,8.294968196385876e-10,1.7783044286218586e-08
paper2_full,AHR,PC,True,14,-0.38669980265176956,1.0,1.847057100264109e-12,1.4456773842451775e-10
paper2_full,CLDN2,PC,True,9,-0.38570714351425167,1.0,1.6523338119613387e-08,1.74132616217281e-07
paper2_full,ITPRID2,PC,True,16,-0.3848023201350381,1.0,1.2597711566700735e-13,1.8311673598739996e-11
paper2_full,SLC2A2,PC,True,12,-0.3842143191853415,1.0,1.5246678566808384e-11,7.756747720863766e-10
paper2_full,SAT1,PC,True,8,-0.3835618797754041,1.0,2.962492771638291e-11,1.3397050645075382e-09
paper2_full,F9,PP,True,12,-0.38337661920221194,1.0,4.8431282404112676e-11,1.932503131222927e-09
paper2_full,SDS,PP,True,13,-0.3828586331179692,1.0,1.4275377784318337e-12,1.2492454194895124e-10
