signature_set,gene,direction,held_out,n_splits_tested,mean_slope_trend_rho,frac_splits_weakening,p_trend,q_trend
paper2_landmark,SLCO1B3,PC,True,14,-0.5275024410249205,1.0,1.9801641095993892e-16,7.920656438397556e-15
paper2_landmark,SLC38A4,PP,True,14,-0.522236898273821,1.0,2.450189823955009e-15,4.900379647910018e-14
paper2_landmark,ADH1A,PC,True,8,-0.4562565177344755,1.0,5.961070012390348e-08,1.8341753884277992e-07
paper2_landmark,ALAS1,PC,True,8,-0.4432560583809086,1.0,1.0824717378087319e-08,4.810985501372142e-08
paper2_landmark,GSTA2,PC,True,13,-0.4431779887079247,1.0,5.5597883624780845e-12,7.413051149970779e-11
paper2_landmark,REEP6,PC,True,11,-0.42690479909482376,1.0,1.8706690135000728e-10,1.2471126756667153e-09
paper2_landmark,ADH1B,PC,True,6,-0.3878443524455691,1.0,3.909066689410797e-06,6.5151111490179946e-06
paper2_landmark,NADK2,PC,True,8,-0.38013053176758527,1.0,2.6298923433000405e-06,4.885422486302091e-06
paper2_landmark,ALDOB,PP,True,7,-0.3689746233384092,1.0,2.6869823674661506e-06,4.885422486302091e-06
paper2_landmark,THRSP,PC,True,8,-0.3671300724140184,1.0,5.748229339884349e-07,1.2773842977520775e-06
paper2_landmark,AOX1,PC,True,12,-0.3520058288083508,1.0,8.475670789367183e-10,4.237835394683591e-09
paper2_landmark,UGT2B4,PC,True,7,-0.3507293335959631,1.0,1.289764685543289e-06,2.579529371086578e-06
paper2_landmark,F9,PP,True,10,-0.33897852009635027,1.0,9.780009963198951e-08,2.7382751175174363e-07
paper2_landmark,HAMP,PP,True,10,-0.3337138978946828,1.0,1.517898588049299e-11,1.5178985880492988e-10
paper2_landmark,CYP3A4,PC,True,9,-0.3159918893626995,1.0,1.3896559299810525e-07,3.474139824952631e-07
paper2_landmark,TAT,PP,True,11,-0.3149459034474788,1.0,6.523307963789359e-10,3.727604550736777e-09
paper2_landmark,AMACR,PC,True,7,-0.3128119024914546,1.0,3.1715375668942658e-06,5.515717507642201e-06
paper2_landmark,FMO3,PC,True,12,-0.2841413904314907,1.0,2.6294832724687116e-08,9.561757354431678e-08
paper2_landmark,CYP2E1,PC,True,12,-0.237240931119614,1.0,5.584351063668949e-08,1.8341753884277992e-07
paper2_landmark,DCXR,PC,True,13,-0.23689560706345217,1.0,2.494295012865821e-08,9.561757354431678e-08
paper2_landmark,ASS1,PP,True,13,-0.22168813044664035,1.0,1.0365470463110466e-10,8.292376370488373e-10
paper2_landmark,ADH4,PC,True,8,-0.21233278130072925,1.0,0.00031163750739141233,0.0004155166765218831
paper2_landmark,AKR1D1,PC,True,9,-0.1683060983198662,1.0,3.7464732562558384e-05,5.550330750008649e-05
paper2_landmark,APOF,PP,True,11,-0.16305273657640243,0.9090909090909091,5.652190160401934e-05,8.074557372002764e-05
paper2_landmark,LBP,PP,True,9,-0.11727799763812517,1.0,0.003239733811398644,0.0041803016921272826
paper2_landmark,HPX,PP,True,9,-0.0733309677539486,0.8888888888888888,0.005768131129632741,0.007210163912040927
paper2_landmark,APOA5,PC,True,13,-0.057563372213505826,0.8461538461538461,0.009070058316753392,0.010994010080913202
paper2_landmark,HP,PP,True,10,-0.055629722725820584,0.9,0.000260676402556293,0.00035955365869833517
paper2_landmark,ALDH1L1,PC,True,7,-0.04435207163426115,0.5714285714285714,0.26005558033566045,0.2889506448174005
paper2_landmark,CFHR3,PP,True,9,-0.025195437954124694,0.5555555555555556,0.3247420160832216,0.35107244981969904
paper2_landmark,APOA1,PP,True,9,-0.004797085373476427,0.4444444444444444,0.7901494445552439,0.7901494445552439
paper2_landmark,TSKU,PC,True,15,0.009244771095869797,0.4666666666666667,0.6231201830081587,0.6390976235981115
paper2_landmark,SERPINA11,PP,True,9,0.023455599527625035,0.3333333333333333,0.3484473084321323,0.36678664045487613
paper2_landmark,SERPINA1,PP,True,10,0.023713353368587948,0.2,0.010900422811175169,0.01282402683667667
paper2_landmark,TF,PP,True,9,0.055395596320279274,0.3333333333333333,0.07989683938226513,0.09131067357973158
paper2_landmark,FGG,PP,True,8,0.13035095025946292,0.0,1.96473073079912e-05,3.022662662767877e-05
paper2_landmark,FGA,PP,True,12,0.15221438283197328,0.0,1.0268531690690386e-07,2.7382751175174363e-07
paper2_landmark,FABP1,PP,True,11,0.21296325305376637,0.0,6.494894823621817e-07,1.3673462786572247e-06
paper2_landmark,FGB,PP,True,8,0.22383504645369923,0.0,3.745797244153916e-07,8.813640574479803e-07
paper2_landmark,C8G,PP,True,11,0.23238266175358582,0.0,5.140194748703988e-06,8.22431159792638e-06
