signature_set,gene,direction,held_out,n_splits_tested,mean_slope_trend_rho,frac_splits_weakening,p_trend,q_trend
paper2_top100,GLS2,PP,True,11,-0.5761442730123503,1.0,2.940070967971228e-13,5.468532000426484e-12
paper2_top100,ELN,PC,True,9,-0.5563115469160372,1.0,6.76299006022876e-11,6.988423062236385e-10
paper2_top100,TBX3,PC,True,11,-0.5240018425939209,1.0,6.550335147097554e-15,2.43672467472029e-13
paper2_top100,SLCO1B3,PC,True,8,-0.522942269276099,1.0,2.5807592956061254e-11,3.2001415265515955e-10
paper2_top100,ITPR2,PC,True,11,-0.5179387692894525,1.0,2.0578815354675883e-13,4.252955173299682e-12
paper2_top100,AMDHD1,PP,True,6,-0.488959036306645,1.0,1.7967516852663017e-08,7.426573632434046e-08
paper2_top100,CYP1A2,PC,True,6,-0.4658793277970908,1.0,5.817480009874755e-08,2.0416061921447252e-07
paper2_top100,CDHR2,PP,True,9,-0.46521704362239447,1.0,1.6011064905288415e-09,8.04880560103688e-09
paper2_top100,PLIN1,PC,True,10,-0.44572727333114043,1.0,1.7640386133061524e-11,2.3436513005353167e-10
paper2_top100,GLUL,PC,True,13,-0.43881104382545677,1.0,3.3659622307945478e-15,1.5651724373194647e-13
paper2_top100,ZNRF3,PC,True,12,-0.4291977343050564,1.0,6.046137088681353e-14,1.6065449978496166e-12
paper2_top100,FGFR2,PP,True,11,-0.42391133971455003,1.0,2.4731642588288545e-12,3.8334046011847244e-11
paper2_top100,CCDC198,PC,True,10,-0.4081338756266997,1.0,4.0426218328873926e-08,1.4460147325327983e-07
paper2_top100,ACSF2,PC,True,8,-0.39041652098351154,1.0,1.6103324220228633e-07,5.254768956074606e-07
paper2_top100,CES4A,PC,True,9,-0.38938013574797314,1.0,1.632076247585294e-10,1.319852965438542e-09
paper2_top100,HAL,PP,True,11,-0.384176241913381,1.0,3.0268584795852427e-16,2.8149783860142755e-14
paper2_top100,CLDN2,PC,True,9,-0.37733014368295703,1.0,4.4137505528210364e-07,1.2438751557950192e-06
