signature_set,gene,direction,held_out,n_splits_tested,mean_slope_trend_rho,frac_splits_weakening,p_trend,q_trend
supervised,ITPR2,PC,True,13,-0.558874765667835,1.0,6.571243270584896e-13,2.190414423528299e-11
supervised,TBX3,PC,True,12,-0.5447036742865615,1.0,5.290926291745034e-15,5.290926291745034e-13
supervised,ALDH1A1,PC,True,10,-0.5392661422165814,1.0,1.224038049138082e-10,1.360042276820091e-09
supervised,GLS2,PP,True,8,-0.5141383646457095,1.0,9.704511052997868e-12,2.426127763249467e-10
supervised,HAO2,PP,True,8,-0.4978354342048053,1.0,1.7727123164021865e-07,7.090849265608746e-07
supervised,AMDHD1,PP,True,9,-0.49293990118373887,1.0,1.1880492525793726e-10,1.360042276820091e-09
supervised,CYP1A2,PC,True,10,-0.4607027714910856,1.0,3.186762752117169e-13,1.5933813760585847e-11
supervised,XDH,PP,True,8,-0.4466390775435468,1.0,4.1391867449412387e-07,1.4782809803361566e-06
supervised,GNE,PP,True,13,-0.42702871921067137,1.0,4.606092236614922e-10,3.838410197179102e-09
supervised,HAL,PP,True,11,-0.41790098878664206,1.0,2.0649542698993255e-10,2.0649542698993253e-09
supervised,CLDN2,PC,True,10,-0.41576983316522603,1.0,9.53628781405145e-10,7.3356060108088076e-09
supervised,DGAT2,PC,True,10,-0.40637470566212774,1.0,1.8536146651455488e-09,1.2357431100970325e-08
supervised,TFR2,PP,True,13,-0.40353346524597516,1.0,1.398608497374054e-11,2.797216994748108e-10
supervised,TENM1,PP,True,11,-0.38996984529320644,1.0,1.4868342889801314e-09,1.0620244921286651e-08
supervised,GC,PP,True,11,-0.37824790357123406,1.0,2.6212434330422665e-07,9.708309011267653e-07
supervised,OAT,PC,True,10,-0.3593604050704926,1.0,6.709460936750473e-11,9.584944195357818e-10
supervised,GPAM,PC,True,12,-0.3476777122288485,1.0,5.376243306795908e-11,8.960405511326513e-10
supervised,AQP9,PC,True,12,-0.34635135392222693,1.0,4.637027730807505e-09,2.7276633710632382e-08
supervised,SLC2A2,PC,True,10,-0.34319279539609393,1.0,1.2274255111631194e-05,3.0685637779077985e-05
supervised,ACSL5,PC,True,10,-0.3392362739373132,1.0,9.209825071712212e-08,4.1862841235055506e-07
supervised,CYP3A5,PP,True,9,-0.3332828761939615,1.0,1.6713952115143784e-08,8.796816902707255e-08
supervised,FGFR2,PP,True,7,-0.32767877581842264,1.0,1.27000763866785e-06,3.8485079959631815e-06
supervised,KIF12,PC,True,13,-0.3273374644136311,1.0,6.148296117032733e-09,3.415720065018185e-08
supervised,APOC4,PC,True,9,-0.32398225843254974,1.0,1.9070584537505323e-06,5.608995452207448e-06
supervised,LIN7A,PC,True,9,-0.3135718671892143,1.0,2.832874673715304e-09,1.7705466710720648e-08
supervised,STAT2,PP,True,9,-0.2774433704809127,1.0,2.1509415512993763e-06,6.14554728942679e-06
supervised,NAGS,PC,True,15,-0.2733694278279157,1.0,4.310109885572463e-10,3.838410197179102e-09
supervised,HOMER2,PC,True,5,-0.2644038900597557,1.0,0.00034773231675498467,0.0006818280720685974
supervised,AGT,PP,True,8,-0.25984809092073613,1.0,0.0001589511004539259,0.0003243900009263794
supervised,HPR,PP,True,12,-0.2591392678580881,1.0,1.8772054083611e-08,9.3860270418055e-08
supervised,DENND11,PP,True,11,-0.25273935714781587,1.0,6.354778755778673e-07,2.191303019234025e-06
