signature_set,gene,direction,program,mean_slope_trend_rho,frac_splits_weakening,q_trend,group
unsupervised,CYP2C18,PP,cyp_xenobiotic,-0.6408807611316916,1.0,1.0940514417382466e-09,strongest_weakening
unsupervised,RANBP17,PP,other,-0.6044649762881502,1.0,1.3547945495596053e-11,strongest_weakening
unsupervised,TBX3,PC,wnt_pericentral_identity,-0.5908004428026581,1.0,6.72032612586972e-13,strongest_weakening
unsupervised,RAPGEF5,PP,other,-0.577723015288248,1.0,7.757673700784103e-12,strongest_weakening
unsupervised,NTN1,PP,other,-0.5721974173226055,1.0,2.9606171847386345e-14,strongest_weakening
unsupervised,ITPR2,PC,other,-0.5646903367045608,1.0,2.163029192771788e-10,strongest_weakening
unsupervised,ZSWIM5,PC,other,-0.5437907960998178,1.0,1.3342895598135724e-14,strongest_weakening
unsupervised,SLCO1B3,PC,bile_acid_transport,-0.534368819238286,1.0,1.4481232873698305e-12,strongest_weakening
unsupervised,KANK4,PC,other,-0.5323583392787754,1.0,5.538777811472746e-17,strongest_weakening
unsupervised,AFF3,PP,other,-0.5207916356655646,1.0,8.62771341624961e-12,strongest_weakening
unsupervised,ASAP2,PC,other,-0.5155656765400416,1.0,1.2913335727758064e-11,strongest_weakening
unsupervised,NKD1,PC,wnt_pericentral_identity,-0.5089002613488335,1.0,5.538777811472746e-17,strongest_weakening
unsupervised,USH2A,PP,other,-0.5004759465642151,1.0,9.24012434305273e-14,strongest_weakening
unsupervised,ZNRF3,PC,wnt_pericentral_identity,-0.4967837064787335,1.0,4.7112474663855855e-11,strongest_weakening
unsupervised,SLC38A4,PP,urea_nitrogen,-0.4957300314365553,1.0,1.7132349355310844e-15,strongest_weakening
unsupervised,AHR,PC,other,-0.2062610673845466,1.0,2.8615494162383636e-11,weakest_or_strengthening
unsupervised,CAMK1D,PC,other,-0.1948526982736417,1.0,2.877334912095863e-06,weakest_or_strengthening
unsupervised,ITIH4,PP,other,-0.1908237602595429,1.0,7.122809979726385e-09,weakest_or_strengthening
unsupervised,CYP2E1,PC,cyp_xenobiotic,-0.1754874067222495,1.0,3.9405956916987176e-08,weakest_or_strengthening
unsupervised,TMEM45B,PP,other,-0.1478782114449409,1.0,3.783956203944894e-05,weakest_or_strengthening
unsupervised,ABCB4,PC,bile_acid_transport,-0.0847043559864371,1.0,2.4601879539183327e-05,weakest_or_strengthening
unsupervised,IL1RAPL2,PC,other,-0.083442849207109,0.9230769230769232,6.315998959912962e-05,weakest_or_strengthening
unsupervised,GRIN2B,PP,other,-0.077793331125619,1.0,8.534227539825112e-05,weakest_or_strengthening
unsupervised,SLC22A10,PP,other,-0.0348314661624305,0.6923076923076923,0.0423468044234394,weakest_or_strengthening
unsupervised,CYP2A7,PP,cyp_xenobiotic,-0.0254451369875575,0.875,0.00717160452723,weakest_or_strengthening
unsupervised,TXNL4B,PP,other,-0.0194926342228202,0.875,0.1749980562482531,weakest_or_strengthening
unsupervised,COL10A1,PP,other,0.0335788816314434,0.0,0.0048476975837849,weakest_or_strengthening
unsupervised,RERGL,PP,other,0.0890926151288306,0.0,6.105828090605614e-05,weakest_or_strengthening
unsupervised,FFAR4,PP,other,0.0970443211225365,0.0,0.0001609118571216,weakest_or_strengthening
unsupervised,GRIN3A,PP,other,0.1243903926871955,0.0,2.8767803946586008e-05,weakest_or_strengthening
