signature_set,gene,direction,held_out,n_splits_tested,mean_slope_trend_rho,frac_splits_weakening,p_trend,q_trend
unsupervised,CYP2C18,PP,True,8,-0.6408807611316916,1.0,6.454903506255656e-10,1.0940514417382468e-09
unsupervised,RANBP17,PP,True,8,-0.6044649762881502,1.0,5.283698743282461e-12,1.3547945495596053e-11
unsupervised,TBX3,PC,True,9,-0.5908004428026581,1.0,1.6917485826418608e-13,6.72032612586972e-13
unsupervised,RAPGEF5,PP,True,10,-0.577723015288248,1.0,2.637609058266595e-12,7.757673700784103e-12
unsupervised,NTN1,PP,True,12,-0.5721974173226055,1.0,2.368493747790907e-15,2.960617184738634e-14
unsupervised,ITPR2,PC,True,8,-0.5646903367045608,1.0,1.1464054721690475e-10,2.1630291927717877e-10
unsupervised,ZSWIM5,PC,True,12,-0.5437907960998178,1.0,7.514569463243106e-16,1.3342895598135724e-14
unsupervised,SLCO1B3,PC,True,10,-0.534368819238286,1.0,4.089615223724321e-13,1.4481232873698305e-12
unsupervised,KANK4,PC,True,12,-0.5323583392787754,1.0,9.366438192253123e-19,5.5387778114727464e-17
unsupervised,AFF3,PP,True,9,-0.5207916356655646,1.0,3.0196996956873634e-12,8.62771341624961e-12
unsupervised,ASAP2,PC,True,10,-0.5155656765400416,1.0,4.7779342192704834e-12,1.2913335727758064e-11
unsupervised,NKD1,PC,True,13,-0.5089002613488335,1.0,1.1077555622945493e-18,5.5387778114727464e-17
unsupervised,USH2A,PP,True,11,-0.5004759465642151,1.0,1.5708211383189643e-14,9.24012434305273e-14
unsupervised,ZNRF3,PC,True,7,-0.4967837064787335,1.0,2.072948885209658e-11,4.711247466385586e-11
unsupervised,SLC38A4,PP,True,13,-0.49573003143655536,1.0,5.139704806593253e-17,1.7132349355310844e-15
unsupervised,CYP1A2,PC,True,11,-0.4915541488417942,1.0,1.3794986078031558e-15,1.970712296861651e-14
unsupervised,ADH1A,PC,True,9,-0.48855092605845374,1.0,2.4253257839371235e-09,3.731270436826344e-09
unsupervised,ATP11C,PC,True,13,-0.4880668114725425,1.0,3.1054695063894436e-15,3.449276992885345e-14
unsupervised,NADK2,PC,True,8,-0.482942095081667,1.0,1.0214317056989113e-09,1.674478206063789e-09
unsupervised,SNTG1,PC,True,11,-0.4798263490779818,1.0,4.1391323914624135e-15,3.449276992885345e-14
unsupervised,PSD3,PP,True,10,-0.47967989803198013,1.0,9.998187242497838e-15,6.248867026561148e-14
unsupervised,FNIP2,PP,True,11,-0.47894764280197194,1.0,3.859780762827634e-15,3.449276992885345e-14
unsupervised,COL4A5,PP,True,8,-0.4750338938740878,1.0,5.993379352251883e-11,1.223138643316711e-10
unsupervised,GTF2IRD1,PC,True,10,-0.47426706737175894,1.0,1.7621739484851593e-14,9.274599728869259e-14
unsupervised,EXPH5,PC,True,10,-0.47327471508405167,1.0,9.705065359379398e-13,3.032832924806062e-12
unsupervised,TBC1D1,PC,True,10,-0.46319009605637784,1.0,1.0202544416573683e-13,4.4358888767711666e-13
unsupervised,PLXNA4,PP,True,11,-0.4611391956081707,1.0,9.536015315086771e-15,6.248867026561148e-14
unsupervised,MDN1,PP,True,11,-0.45685696702308226,1.0,8.005737358881434e-16,1.3342895598135724e-14
unsupervised,NRIP1,PC,True,6,-0.4547744331489387,1.0,1.3276281521300435e-06,1.619393289792784e-06
unsupervised,AMDHD1,PP,True,12,-0.4516545376989501,1.0,6.471241005157738e-15,4.977877696275183e-14
unsupervised,SVIL,PC,True,9,-0.43778057921767555,1.0,1.7841627764246108e-10,3.187796215647849e-10
unsupervised,PPARG,PC,True,11,-0.4368927604321366,1.0,7.23816946540672e-13,2.4127231551355735e-12
unsupervised,FGFR2,PP,True,9,-0.43625553565864506,1.0,2.0945670687936e-10,3.6746790680589477e-10
unsupervised,ARHGEF28,PC,True,6,-0.4343689207393749,1.0,5.3027399889680645e-09,7.91453729696726e-09
unsupervised,GLDC,PP,True,11,-0.43392859126106315,1.0,2.907239701258874e-14,1.4536198506294367e-13
unsupervised,CDK6,PC,True,10,-0.4215435192027952,1.0,4.150032711394464e-14,1.976206053044983e-13
unsupervised,IGF1,PP,True,6,-0.41678796083702946,1.0,8.736183861134313e-10,1.4560306435223856e-09
unsupervised,ADH1B,PC,True,10,-0.41285721476234505,1.0,3.242149758539135e-08,4.502985775748799e-08
unsupervised,RAP1GDS1,PC,True,11,-0.4081824973739723,1.0,3.4971197513911896e-12,9.714221531642194e-12
unsupervised,MYRIP,PC,True,10,-0.4021282111322638,1.0,1.7851658807627956e-10,3.187796215647849e-10
unsupervised,ECHDC2,PP,True,11,-0.4020784177766233,1.0,1.0518909580592172e-11,2.6297273951480428e-11
unsupervised,ADGRA3,PP,True,10,-0.4003561534756438,1.0,1.6599416275810105e-10,3.073965977001871e-10
unsupervised,CUX2,PP,True,11,-0.3982648325387402,1.0,7.899285204824125e-13,2.5481565176852014e-12
unsupervised,GLS2,PP,True,13,-0.39336705894184176,1.0,6.311597602022104e-16,1.3342895598135724e-14
unsupervised,DPP4,PC,True,9,-0.3885567554226749,1.0,2.347670752400856e-11,5.217046116446347e-11
unsupervised,SLC16A7,PC,True,7,-0.3880392020753446,1.0,8.334067408765399e-08,1.1262253255088377e-07
unsupervised,DNAH6,PP,True,12,-0.3861850620943703,1.0,3.894960908326995e-15,3.449276992885345e-14
unsupervised,CCDC38,PP,True,11,-0.38183302517735457,1.0,1.3164835887188587e-11,3.134484735044902e-11
unsupervised,ALAS1,PC,True,10,-0.3818300961564345,1.0,5.2326788595775305e-12,1.3547945495596053e-11
unsupervised,TRHDE,PC,True,10,-0.37778980469934076,1.0,1.627739861246092e-11,3.785441537781609e-11
unsupervised,LGR5,PC,True,10,-0.3727120540323715,1.0,1.632185255700866e-13,6.72032612586972e-13
unsupervised,ALDOB,PP,True,8,-0.37223682038809613,1.0,6.9031270929928015e-09,1.0004532018830149e-08
unsupervised,PKD1L3,PP,True,11,-0.3664380912216606,1.0,1.8331494347006064e-09,2.90976100746128e-09
unsupervised,MTHFD2L,PP,True,9,-0.3652443524733627,1.0,3.492284177241842e-11,7.430391866472004e-11
unsupervised,SLC13A3,PC,True,12,-0.3513775538210037,1.0,1.8144880539848245e-13,6.72032612586972e-13
unsupervised,C1orf112,PC,True,12,-0.3475542051800538,1.0,7.048375481827712e-15,5.0345539155912227e-14
unsupervised,MGLL,PP,True,9,-0.34190331020838777,1.0,1.0661624816436833e-10,2.0905146698895752e-10
unsupervised,ARMH1,PP,True,12,-0.33906980791502467,1.0,1.7594006871222045e-13,6.72032612586972e-13
unsupervised,ACMSD,PP,True,13,-0.3363241512148957,1.0,4.199557533372508e-13,1.4481232873698305e-12
unsupervised,CTNND2,PC,True,7,-0.3329719350524824,1.0,1.3625819779534789e-05,1.566186181555723e-05
unsupervised,NRP1,PC,True,13,-0.3325222820606927,1.0,1.0875468921599189e-10,2.091436331076767e-10
unsupervised,PKHD1,PP,True,11,-0.33078604858301774,1.0,1.668752199553906e-07,2.1957265783604026e-07
unsupervised,HAMP,PP,True,8,-0.32765346070904233,1.0,5.701367452594039e-09,8.384363900873586e-09
unsupervised,SCART1,PC,True,10,-0.3267545441886842,1.0,1.0433793846739382e-12,3.161755711133146e-12
unsupervised,UROC1,PP,True,6,-0.32646671906627556,1.0,8.744140589314687e-07,1.0930175736643358e-06
unsupervised,BBOX1,PP,True,10,-0.3242736634694161,1.0,3.137811180667623e-10,5.410019277013143e-10
unsupervised,GPHN,PC,True,13,-0.32424937512671004,1.0,7.242158928298489e-14,3.291890421953858e-13
unsupervised,KCNJ3,PP,True,8,-0.31771382821690997,1.0,2.4563232423817875e-07,3.1900301849114123e-07
unsupervised,HAL,PP,True,11,-0.3169376376731013,1.0,1.0005281009558504e-10,2.0010562019117007e-10
unsupervised,ABCD3,PC,True,9,-0.30235957510732764,1.0,3.758973078627454e-08,5.1492781899006223e-08
unsupervised,SLC22A3,PC,True,13,-0.29614924965711864,1.0,1.707907940963715e-14,9.274599728869259e-14
unsupervised,PARD3B,PC,True,7,-0.2939406391352414,1.0,7.693279561548323e-06,9.050917131233322e-06
unsupervised,PITPNC1,PC,True,5,-0.2745336160095981,1.0,0.0004908038752598448,0.000511254036729005
unsupervised,ASPG,PP,True,7,-0.26766815834566454,1.0,5.91249228362919e-07,7.484167447631886e-07
unsupervised,HAO2,PP,True,13,-0.26406881006650385,1.0,3.7806471741620367e-11,7.876348279504244e-11
unsupervised,FAM9B,PP,True,11,-0.2510112348049963,1.0,1.3577783709044004e-08,1.9396833870062864e-08
unsupervised,HMGCS2,PP,True,10,-0.24824272423138102,1.0,1.327902497630083e-06,1.619393289792784e-06
unsupervised,SDS,PP,True,9,-0.2464413112762069,1.0,1.6135280877162856e-07,2.151370783621714e-07
