signature_set,gene,direction,held_out,n_splits_tested,mean_slope_trend_rho,frac_splits_weakening,p_trend,q_trend
unsupervised_combined,CYP2C18,PP,True,11,-0.5998166200880576,1.0,7.952250667572682e-12,4.1853950881961484e-11
unsupervised_combined,TBX3,PC,True,8,-0.5649158713154033,1.0,6.333731177853117e-13,5.278109314877597e-12
unsupervised_combined,SLCO1B3,PC,True,12,-0.5541707580702621,1.0,2.8434441648969203e-15,1.3247749284534388e-13
unsupervised_combined,CDHR2,PP,True,10,-0.5414570498647662,1.0,1.0645566911699966e-11,5.322783455849983e-11
unsupervised_combined,ALAS1,PC,True,10,-0.5203405664438796,1.0,4.0308860243720377e-13,4.030886024372037e-12
unsupervised_combined,ITPR2,PC,True,10,-0.5153272542371509,1.0,1.2923452186251943e-11,6.154024850596163e-11
unsupervised_combined,ADH1B,PC,True,13,-0.497623530806706,1.0,1.1324184413113222e-13,1.5644002118415899e-12
unsupervised_combined,ZNRF3,PC,True,10,-0.4946618400379494,1.0,3.196039087995998e-14,6.464936025150665e-13
unsupervised_combined,CYP1A2,PC,True,10,-0.4931861992984367,1.0,1.7678485334296833e-13,1.964276148255204e-12
unsupervised_combined,PLIN1,PC,True,13,-0.48545457543047615,1.0,3.531249345908055e-16,3.531249345908055e-14
unsupervised_combined,NADK2,PC,True,9,-0.47995913135969,1.0,4.2660498150762e-11,1.70641992603048e-10
unsupervised_combined,MYRIP,PC,True,9,-0.47536968102476695,1.0,6.201744287480832e-11,2.214908674100297e-10
unsupervised_combined,ARSB,PC,True,13,-0.4638429072266628,1.0,1.1950863071236497e-13,1.5644002118415899e-12
unsupervised_combined,FMO3,PC,True,13,-0.45581784052437513,1.0,1.459318042339859e-11,6.633263828817541e-11
unsupervised_combined,SLC43A3,PP,True,9,-0.4436086799550037,1.0,1.8976448393033457e-09,5.128769835954989e-09
unsupervised_combined,ASPSCR1,PC,True,12,-0.4394004905098383,1.0,4.605168023139351e-11,1.7712184704382118e-10
unsupervised_combined,F9,PP,True,8,-0.4298609134583672,1.0,8.875454611471276e-10,2.535844174706079e-09
unsupervised_combined,GLS2,PP,True,9,-0.4111746549671704,1.0,2.224079183655414e-10,7.413597278851381e-10
unsupervised_combined,SLC38A4,PP,True,8,-0.4073477264117628,1.0,4.318869677499723e-08,8.814019749999434e-08
unsupervised_combined,GLUL,PC,True,6,-0.4019671149816621,1.0,5.725383282952697e-07,9.871350487849479e-07
unsupervised_combined,ACSL5,PC,True,9,-0.3978144142105929,1.0,2.8510463763736055e-09,7.39809766746113e-09
unsupervised_combined,ALAD,PC,True,8,-0.3968845314301746,1.0,3.1298130843420277e-07,5.79595015618894e-07
unsupervised_combined,CLDN2,PC,True,10,-0.39103835212483457,1.0,1.4683533646906265e-08,3.1920725319361445e-08
unsupervised_combined,CYP3A4,PC,True,7,-0.38770780427982093,1.0,2.4770822956119143e-07,4.673740180399838e-07
unsupervised_combined,GPAM,PC,True,12,-0.3858628697931667,1.0,5.573726002156735e-13,5.0670236383243045e-12
unsupervised_combined,CTNNA3,PC,True,13,-0.384940491064208,1.0,1.5927806793049377e-12,9.95487924565586e-12
unsupervised_combined,LGR5,PC,True,8,-0.3831752490139597,1.0,8.878634833415876e-13,6.8297191026275966e-12
unsupervised_combined,AMDHD1,PP,True,13,-0.3759091930212384,1.0,3.232468012575333e-14,6.464936025150665e-13
unsupervised_combined,C9,PP,True,11,-0.37581681620760654,1.0,3.444492767278342e-12,2.0261722160460833e-11
unsupervised_combined,HAL,PP,True,11,-0.369484272978495,1.0,1.0430847709562647e-12,6.9538984730417654e-12
unsupervised_combined,CYP2E1,PC,True,7,-0.36675609920726415,1.0,1.6444448705841425e-06,2.6958112632526928e-06
unsupervised_combined,APOC4,PC,True,9,-0.3559652141986978,1.0,3.6808301475041023e-07,6.572910977685896e-07
unsupervised_combined,NOTUM,PC,True,10,-0.33836635472406335,1.0,1.5310449440741703e-11,6.656717148148566e-11
unsupervised_combined,NEK10,PC,True,12,-0.3366909547578045,1.0,1.251520169473272e-13,1.5644002118415899e-12
unsupervised_combined,ADGRA3,PP,True,10,-0.3259941703578436,1.0,9.955237808207476e-09,2.3702947162398755e-08
unsupervised_combined,UROC1,PP,True,8,-0.3244476473120661,1.0,2.5165831126842814e-08,5.354432154647408e-08
unsupervised_combined,HP,PP,True,6,-0.3175742115530551,1.0,7.210339263592853e-05,9.61378568479047e-05
unsupervised_combined,FBXO31,PC,True,10,-0.31537471211017165,1.0,7.139114430792233e-10,2.099739538468304e-09
unsupervised_combined,SLC47A1,PC,True,5,-0.31233321678680925,1.0,6.842071401826274e-05,9.246042434900371e-05
unsupervised_combined,DCXR,PC,True,15,-0.30850986814585935,1.0,1.0815796964417565e-09,3.004388045671546e-09
unsupervised_combined,HAMP,PP,True,11,-0.30553788825233236,1.0,2.6846736688230254e-11,1.1186140286762606e-10
unsupervised_combined,SLC37A4,PP,True,8,-0.3030460237046143,1.0,9.18985494474505e-06,1.3924022643553105e-05
unsupervised_combined,HYDIN,PC,True,13,-0.30077098329698404,1.0,3.974324785360316e-15,1.3247749284534388e-13
unsupervised_combined,APMAP,PP,True,11,-0.298771849927056,1.0,1.4102010930372864e-08,3.1337802067495253e-08
unsupervised_combined,ALDOB,PP,True,12,-0.28792714997063346,1.0,5.640113153886873e-10,1.709125198147537e-09
unsupervised_combined,ACMSD,PP,True,13,-0.28187365231148037,1.0,9.94803866147603e-13,6.9538984730417654e-12
unsupervised_combined,SLC22A25,PP,True,11,-0.2784327286583461,1.0,5.771550685937442e-08,1.1543101371874885e-07
unsupervised_combined,AMACR,PC,True,7,-0.27075199894289936,1.0,7.985845664838158e-06,1.228591640744332e-05
unsupervised_combined,ARG1,PP,True,10,-0.25930680785471405,1.0,1.0505386569367814e-08,2.4431131556669336e-08
unsupervised_combined,CP,PP,True,10,-0.2586495355602586,1.0,9.014966132093239e-09,2.1987722273398143e-08
unsupervised_combined,ASPG,PP,True,9,-0.25710945636050525,1.0,1.319521874327334e-08,2.998913350743941e-08
unsupervised_combined,SLC7A2,PP,True,12,-0.25093410392076876,1.0,2.3445226359569424e-10,7.562976245022395e-10
unsupervised_combined,PGRMC1,PC,True,7,-0.2479499895120017,1.0,0.00036118795616566055,0.00044591105699464263
unsupervised_combined,APOE,PC,True,10,-0.24330029433091718,0.9,0.0008459173739792628,0.0009951969105638386
unsupervised_combined,HAO2,PP,True,11,-0.23698708263987783,1.0,4.314360877328234e-08,8.814019749999434e-08
unsupervised_combined,STAT2,PP,True,9,-0.23565144910034272,1.0,1.9821077267140127e-06,3.1969479463129235e-06
unsupervised_combined,PCSK6,PP,True,10,-0.23197845686662127,1.0,5.936387164037463e-08,1.1639974831446006e-07
unsupervised_combined,EPHX1,PC,True,8,-0.2292478771139204,1.0,3.3342855287820393e-06,5.209821138721936e-06
unsupervised_combined,C3,PP,True,8,-0.21870413405703126,1.0,2.2844032615990572e-06,3.6260369231731067e-06
unsupervised_combined,ALDH1L1,PC,True,12,-0.21438138734921572,1.0,1.500753007729037e-07,2.886063476401994e-07
unsupervised_combined,CYP3A5,PP,True,11,-0.21280508592408462,1.0,2.8852580903098408e-09,7.39809766746113e-09
unsupervised_combined,HPX,PP,True,10,-0.21120994113103458,1.0,4.6825028913929925e-05,6.786236074482599e-05
unsupervised_combined,MST1,PP,True,6,-0.20115539338480629,1.0,0.0014369271201410503,0.0016145248540910676
unsupervised_combined,CFH,PP,True,9,-0.1972103276522906,1.0,4.896967179062341e-07,8.591170489583055e-07
unsupervised_combined,CFHR4,PP,True,13,-0.19591274635034908,1.0,3.722395647164805e-09,9.305989117912013e-09
unsupervised_combined,FBP1,PP,True,13,-0.19084193520986717,1.0,4.78558281808827e-11,1.7724380807734333e-10
unsupervised_combined,CXCL2,PP,True,11,-0.1898122717018248,1.0,2.7373979956040102e-05,4.025585287652956e-05
unsupervised_combined,RHBG,PC,True,10,-0.18962305695039067,1.0,4.417452345417083e-12,2.4541401918983797e-11
unsupervised_combined,PTPRS,PC,True,11,-0.18725230741771587,1.0,1.064335213365763e-06,1.7738920222762718e-06
unsupervised_combined,ACSS3,PC,True,13,-0.1816966306603177,1.0,5.256958828363536e-10,1.642799633863605e-09
unsupervised_combined,HSD17B13,PP,True,12,-0.17365091060538884,1.0,7.313818865108798e-07,1.2396303161201353e-06
