signature_set,gene,direction,held_out,n_splits_tested,mean_slope_trend_rho,frac_splits_weakening,p_trend,q_trend
unsupervised_full,NTN1,PP,True,7,-0.6469529353225901,1.0,1.194532042823205e-09,1.1900455374980475e-08
unsupervised_full,TBX3,PC,True,10,-0.637457467931403,1.0,1.2431571069408075e-14,1.7884605972395888e-12
unsupervised_full,ADH1A,PC,True,8,-0.6294348796314323,1.0,1.4300631329135346e-09,1.387242956819438e-08
unsupervised_full,TSHZ2,PP,True,10,-0.6256201227851812,1.0,1.0263034371348037e-12,5.656664658701438e-11
unsupervised_full,SLCO1B3,PC,True,12,-0.605136210248991,1.0,3.5003497220572775e-16,1.6506093578234541e-13
unsupervised_full,CDHR2,PP,True,12,-0.5878613330327892,1.0,1.084025503670725e-15,3.595001662957934e-13
unsupervised_full,CYP2C18,PP,True,13,-0.582479069334477,1.0,1.306828770000686e-17,2.684940857048413e-14
unsupervised_full,RAPGEF5,PP,True,11,-0.5698820262853195,1.0,4.5587769194503176e-17,4.299433165810478e-14
unsupervised_full,ADH1B,PC,True,13,-0.5694178891241448,1.0,6.362689910265144e-17,5.400651195833055e-14
unsupervised_full,SELE,PC,True,13,-0.5639802744407543,1.0,1.995480388977977e-15,4.942102901032419e-13
unsupervised_full,ITPR2,PC,True,11,-0.5606673264708952,1.0,7.722835161504163e-14,7.047167370430503e-12
unsupervised_full,ZSWIM5,PC,True,11,-0.5587634628728737,1.0,2.2850397846889333e-14,2.894838461558159e-12
unsupervised_full,RBM33,PP,True,12,-0.5535854420564086,1.0,2.0378605270515395e-15,4.942102901032419e-13
unsupervised_full,NUGGC,PC,True,8,-0.5440217005823472,1.0,9.286985504959037e-10,9.719843768938634e-09
unsupervised_full,USP9Y,PP,True,11,-0.541871085303249,1.0,2.2269179141423671e-13,1.6003553414357557e-11
unsupervised_full,AFF3,PP,True,11,-0.5412479177710758,1.0,6.015011625531226e-16,2.3445082252439484e-13
unsupervised_full,PSD3,PP,True,10,-0.5298194639452907,1.0,1.5432564875535435e-13,1.2595347179186996e-11
unsupervised_full,CYP1A2,PC,True,9,-0.5286316483281865,1.0,6.162732741469946e-11,1.1375595184759818e-09
unsupervised_full,RNF43,PC,True,8,-0.5269616182336144,1.0,4.88921549230968e-10,5.869824766439118e-09
unsupervised_full,FNIP2,PP,True,12,-0.5266609054191577,1.0,1.3755898221488391e-15,3.892002136799782e-13
unsupervised_full,EXPH5,PC,True,11,-0.526046299196104,1.0,6.772540048985744e-12,2.277121928120785e-10
unsupervised_full,ATP11C,PC,True,9,-0.525395405658319,1.0,3.4745306332302745e-11,7.35456758475276e-10
unsupervised_full,SLC7A1,PP,True,13,-0.519542566555267,1.0,1.8724386211495598e-13,1.4349749062208783e-11
unsupervised_full,LARGE1,PP,True,13,-0.5183181901532474,1.0,5.983872586690494e-16,2.3445082252439484e-13
unsupervised_full,PLIN1,PC,True,7,-0.5177538225399303,1.0,4.1145990329900176e-07,1.5426350162812004e-06
unsupervised_full,STX2,PP,True,10,-0.5169897665113617,1.0,1.4880242095789973e-11,3.9718080160083423e-10
unsupervised_full,SLC2A2,PC,True,7,-0.5161612720225525,1.0,1.188894196738589e-09,1.1858206747258689e-08
unsupervised_full,SEMA5A,PP,True,10,-0.5153852488513676,1.0,3.4953671541019493e-12,1.3928956058224106e-10
unsupervised_full,FGF13,PP,True,9,-0.5147129409161892,1.0,6.920617381821307e-12,2.2856887290622277e-10
unsupervised_full,NKD1,PC,True,12,-0.5136389665788439,1.0,1.8602052161404917e-15,4.906894917447632e-13
unsupervised_full,LTBP1,PP,True,8,-0.5123582521815594,1.0,1.2020396581396698e-09,1.1961210572437887e-08
unsupervised_full,IKBKB,PP,True,11,-0.5062402597348403,1.0,4.431909504598628e-12,1.6571827257723856e-10
unsupervised_full,RANBP17,PP,True,8,-0.5036268408189407,1.0,6.190206222540699e-09,4.649776143090748e-08
unsupervised_full,GLUD1,PC,True,9,-0.5029923009812926,1.0,2.6050893358933567e-11,5.961230496762854e-10
unsupervised_full,SNTG1,PC,True,10,-0.5026071021856312,1.0,3.6436594366416583e-14,4.0693922760808415e-12
unsupervised_full,RAPGEFL1,PC,True,10,-0.5024008991128609,1.0,9.770623680038294e-12,2.9304966005712026e-10
unsupervised_full,KANK4,PC,True,10,-0.5005515153039519,1.0,6.218467417676059e-14,5.8647057156927095e-12
