signature_set,gene,direction,held_out,n_splits_tested,mean_slope_trend_rho,frac_splits_weakening,p_trend,q_trend
unsupervised_lasso,ESR1,PC,True,8,-0.6337603112750911,1.0,6.364116785934319e-10,2.7779874859237106e-09
unsupervised_lasso,CDHR2,PP,True,9,-0.5841274822532848,1.0,2.4222588878975653e-12,2.4671155339697427e-11
unsupervised_lasso,SLCO1B3,PC,True,12,-0.5751723262370526,1.0,2.534527394741704e-18,4.178539238031123e-16
unsupervised_lasso,TBX3,PC,True,10,-0.5704543569730938,1.0,2.7619784622508424e-14,6.329533975991514e-13
unsupervised_lasso,SNTG1,PC,True,11,-0.5541531839447417,1.0,2.2729598695246945e-17,1.0417732735321515e-15
unsupervised_lasso,ADH1B,PC,True,7,-0.5525505910699235,1.0,1.4395620985273586e-12,1.8294314816163337e-11
unsupervised_lasso,NADK2,PC,True,12,-0.5457132101636663,1.0,6.077875255317997e-18,4.178539238031123e-16
unsupervised_lasso,CYP2C18,PP,True,8,-0.5456487717034256,1.0,4.197446913970267e-09,1.4990881835608094e-08
unsupervised_lasso,ALAS1,PC,True,9,-0.5455145249112574,1.0,4.1305163773997377e-10,1.9927929890963647e-09
unsupervised_lasso,ZNRF3,PC,True,10,-0.5334795684869641,1.0,1.463545185293067e-12,1.8294314816163337e-11
unsupervised_lasso,ITPR2,PC,True,8,-0.5300546643251693,1.0,3.919142148318992e-10,1.924578733549505e-09
unsupervised_lasso,GNA14,PC,True,11,-0.5100128386798429,1.0,4.7267894123553e-12,4.3309576716998395e-11
unsupervised_lasso,FMO3,PC,True,10,-0.5097919905024725,1.0,1.3904838042822103e-10,8.497401026169064e-10
unsupervised_lasso,CYP1A2,PC,True,11,-0.5078687953663786,1.0,4.867260483657307e-16,1.912138047151085e-14
unsupervised_lasso,MYRIP,PC,True,7,-0.5067992842990067,1.0,5.20988745090026e-09,1.7908988112469645e-08
unsupervised_lasso,FNIP2,PP,True,9,-0.5025627112463543,1.0,3.293740737387292e-11,2.2644467569537632e-10
unsupervised_lasso,PLIN1,PC,True,9,-0.4997846976270874,1.0,1.2083286944790823e-11,9.230288638381878e-11
unsupervised_lasso,AOX1,PC,True,8,-0.48891876226899456,1.0,2.1860666927824305e-09,8.23518274678313e-09
unsupervised_lasso,ABCC3,PP,True,9,-0.48372520136931474,1.0,1.952425115987119e-12,2.23715377873524e-11
unsupervised_lasso,UNC93A,PP,True,9,-0.48189944499582743,1.0,3.6256853646944646e-10,1.8128426823472322e-09
unsupervised_lasso,BCL3,PP,True,9,-0.4760999835741619,1.0,1.7039618132244134e-08,4.830819573574368e-08
unsupervised_lasso,CHDH,PP,True,9,-0.4662051000127524,1.0,4.485144996582971e-10,2.126577369069512e-09
unsupervised_lasso,IL17RB,PP,True,10,-0.4659093990785366,1.0,1.8307073363487232e-09,7.296297355013027e-09
unsupervised_lasso,PSD3,PP,True,10,-0.4569588969510995,1.0,4.308190660189633e-12,4.08535321224879e-11
unsupervised_lasso,SLC17A1,PP,True,12,-0.453861554962195,1.0,1.0018065714924147e-12,1.3774840358020702e-11
unsupervised_lasso,LBP,PP,True,10,-0.45205513012678,1.0,3.007251295019016e-10,1.5315916878150537e-09
unsupervised_lasso,GPHN,PC,True,10,-0.4520422424347319,1.0,2.527204947586868e-12,2.4820762878085312e-11
unsupervised_lasso,APOC4,PC,True,13,-0.44988454537759426,1.0,2.7464855380831613e-13,4.720522018580433e-12
unsupervised_lasso,KCNT2,PP,True,11,-0.4469393021878503,1.0,1.0127828654139941e-13,1.8567685865923227e-12
unsupervised_lasso,GPAM,PC,True,10,-0.44317551030560776,1.0,1.163821243510433e-11,9.144309770439118e-11
unsupervised_lasso,SLC16A7,PC,True,12,-0.4422733718622374,1.0,3.604732427871359e-11,2.417808335767375e-10
unsupervised_lasso,GLUL,PC,True,14,-0.4292936248708908,1.0,5.9530210273759474e-18,4.178539238031123e-16
unsupervised_lasso,GLS2,PP,True,14,-0.421703694803965,1.0,3.1981592474030074e-18,4.178539238031123e-16
unsupervised_lasso,CYP3A4,PC,True,12,-0.41658390571293386,1.0,2.647276073028888e-14,6.329533975991514e-13
unsupervised_lasso,SLC43A3,PP,True,6,-0.41379157243583564,1.0,1.677685363853132e-05,2.865611646332989e-05
unsupervised_lasso,ASPSCR1,PC,True,8,-0.408338467737964,1.0,1.2384448770319886e-08,3.784137124264409e-08
unsupervised_lasso,CYP2E1,PC,True,10,-0.4045382095452671,1.0,1.0242972941950531e-11,8.411711126763785e-11
unsupervised_lasso,NRP1,PC,True,11,-0.40289268559239244,1.0,1.0148329924023635e-09,4.293524198625384e-09
unsupervised_lasso,CTNNA3,PC,True,9,-0.3986306347069754,1.0,3.0074891324368323e-10,1.5315916878150537e-09
unsupervised_lasso,ACSL5,PC,True,12,-0.3934182792563921,1.0,8.372260612967319e-13,1.2790953714255626e-11
unsupervised_lasso,TNFSF14,PP,True,12,-0.39208118120639707,1.0,9.18174280801825e-13,1.328936459055273e-11
unsupervised_lasso,HAL,PP,True,9,-0.3914994451070015,1.0,2.8828463209452158e-11,2.0327762519485497e-10
unsupervised_lasso,SPIRE1,PP,True,9,-0.3910125767407383,1.0,7.835210281466073e-09,2.6276619846380125e-08
unsupervised_lasso,LGR5,PC,True,13,-0.3898576412610391,1.0,7.668111971614643e-18,4.217461584388054e-16
unsupervised_lasso,NR0B2,PP,True,11,-0.3812413629515078,1.0,1.260858633584605e-08,3.810287079513916e-08
unsupervised_lasso,SDSL,PP,True,8,-0.37068224253478854,1.0,1.2108809640492737e-07,3.14143646333538e-07
