signature_set,gene,direction,held_out,n_splits_tested,mean_slope_trend_rho,frac_splits_weakening,p_trend,q_trend
unsupervised_p2,CYP2C18,PP,True,8,-0.6230796364901905,1.0,1.8835027769467555e-09,4.708756942366889e-09
unsupervised_p2,TBX3,PC,True,7,-0.5778380839672492,1.0,1.3363493426398205e-10,5.810214533216611e-10
unsupervised_p2,CDHR2,PP,True,8,-0.5564341589862174,1.0,1.7562803546365772e-10,7.025121418546309e-10
unsupervised_p2,ITPR2,PC,True,10,-0.5480233289632963,1.0,1.8425465800523385e-12,1.8425465800523383e-11
unsupervised_p2,SLCO1B3,PC,True,10,-0.540645125265733,1.0,3.3227079453913217e-12,3.0206435867193835e-11
unsupervised_p2,ADH1A,PC,True,8,-0.5326966411950391,1.0,2.8915103448362587e-10,1.031572867301363e-09
unsupervised_p2,PLIN1,PC,True,10,-0.5258113917183175,1.0,7.694590123850803e-12,5.496135802750573e-11
unsupervised_p2,CYP1A2,PC,True,10,-0.5120795558410183,1.0,6.151199281119754e-13,7.688999101399692e-12
unsupervised_p2,ALAS1,PC,True,12,-0.5055197205885121,1.0,3.6087733950822563e-17,1.2029244650274188e-15
unsupervised_p2,NADK2,PC,True,13,-0.483585860083495,1.0,2.968775837162625e-19,2.968775837162625e-17
unsupervised_p2,ZNRF3,PC,True,7,-0.47792164861684033,1.0,2.221627980180091e-09,5.418604829707539e-09
unsupervised_p2,ADH1B,PC,True,9,-0.4710523041886382,1.0,2.991561315173952e-10,1.031572867301363e-09
unsupervised_p2,MYRIP,PC,True,9,-0.4369500390634618,1.0,1.9408788860015745e-10,7.464918792313748e-10
unsupervised_p2,AOX1,PC,True,13,-0.4303993463617249,1.0,1.7188934469992128e-12,1.8425465800523383e-11
unsupervised_p2,F9,PP,True,6,-0.4300945028767398,1.0,4.691011933474317e-06,6.898546960991642e-06
unsupervised_p2,FMO3,PC,True,13,-0.4266966133001998,1.0,5.67980510953182e-12,4.3690808534860155e-11
unsupervised_p2,GLS2,PP,True,9,-0.4075875806804367,1.0,3.924611574912674e-10,1.266003733842798e-09
unsupervised_p2,GLUL,PC,True,8,-0.40510848991839754,1.0,3.611999408055298e-11,2.107318895800587e-10
unsupervised_p2,SLC38A4,PP,True,13,-0.4037317374313311,1.0,5.0210643041482345e-12,4.1842202534568624e-11
unsupervised_p2,ALAD,PC,True,6,-0.40301960983226065,1.0,1.7729323620360072e-05,2.3639098160480095e-05
unsupervised_p2,ASPSCR1,PC,True,13,-0.40175892918703815,1.0,1.3162089198121721e-10,5.810214533216611e-10
unsupervised_p2,GPAM,PC,True,15,-0.39499057768626583,1.0,9.260356382242717e-18,4.630178191121358e-16
unsupervised_p2,AMDHD1,PP,True,13,-0.39069038443953463,1.0,3.1678377477007383e-13,4.695422578384787e-12
unsupervised_p2,C9,PP,True,11,-0.38828272924326745,1.0,4.550006055642791e-16,1.1375015139106977e-14
unsupervised_p2,CLDN2,PC,True,10,-0.38793241834123143,1.0,4.8072396331764855e-09,1.0925544620855649e-08
unsupervised_p2,GPHN,PC,True,9,-0.38469044780823125,1.0,6.235798970793394e-09,1.3267657384666796e-08
unsupervised_p2,LGR5,PC,True,5,-0.38434963995184696,1.0,4.1017038162537674e-07,7.071903131472013e-07
unsupervised_p2,APOC4,PC,True,12,-0.369747884861298,1.0,1.1714930220762731e-11,7.809953480508488e-11
unsupervised_p2,ACSL5,PC,True,13,-0.36423096130376487,1.0,3.2867958048693515e-13,4.695422578384787e-12
unsupervised_p2,ADGRA3,PP,True,10,-0.3621699219369884,1.0,3.431597552189507e-10,1.1438658507298357e-09
unsupervised_p2,NEK10,PC,True,8,-0.35629635628604595,1.0,1.78127063164034e-09,4.5673605939495895e-09
unsupervised_p2,APMAP,PP,True,9,-0.35504875609749637,1.0,1.7681751521239025e-09,4.5673605939495895e-09
unsupervised_p2,CYP3A4,PC,True,12,-0.35241930892822887,1.0,3.7931740124410563e-11,2.107318895800587e-10
unsupervised_p2,CTNNA3,PC,True,10,-0.3499008391071537,1.0,9.232039735508575e-10,2.797587798638962e-09
unsupervised_p2,FBXO31,PC,True,10,-0.348334984523304,1.0,6.009932696316564e-09,1.306507107894905e-08
unsupervised_p2,HAL,PP,True,9,-0.3425262153240482,1.0,7.80932287331132e-11,3.9046614366556596e-10
unsupervised_p2,NOTUM,PC,True,10,-0.33311462021444405,1.0,1.4942443350419358e-10,6.226018062674732e-10
