signature_set,gene,direction,held_out,n_splits_tested,mean_slope_trend_rho,frac_splits_weakening,p_trend,q_trend
unsupervised_top250,TSHZ2,PP,True,5,-0.6438046562651147,1.0,1.1430858246500465e-07,1.984524001128553e-07
unsupervised_top250,CYP2C18,PP,True,11,-0.6213273497247808,1.0,1.799487928541232e-14,2.0924278238851538e-13
unsupervised_top250,TBX3,PC,True,11,-0.5948372845240013,1.0,8.214522956335894e-18,4.107261478167947e-16
unsupervised_top250,RANBP17,PP,True,11,-0.5867238965755098,1.0,2.5730320277771114e-15,4.172840063965514e-14
unsupervised_top250,NTN1,PP,True,11,-0.5854175532451749,1.0,1.159323269728e-14,1.4154842518849124e-13
unsupervised_top250,RAPGEF5,PP,True,9,-0.5834114993617211,1.0,1.253645927528561e-13,1.062411802990306e-12
unsupervised_top250,CDHR2,PP,True,12,-0.582765324802085,1.0,4.231225432935206e-17,1.3379095768874832e-15
unsupervised_top250,SLC17A1,PP,True,11,-0.5820374631034567,1.0,5.461005381593773e-15,7.801436259419675e-14
unsupervised_top250,ADH1A,PC,True,9,-0.5776693165713807,1.0,9.606306964934953e-13,6.001413251405178e-12
unsupervised_top250,ZSWIM5,PC,True,7,-0.5642047468791753,1.0,7.403578153978865e-09,1.5752293944635884e-08
unsupervised_top250,ITPR2,PC,True,7,-0.5626121963617973,1.0,1.5653608958159111e-09,3.972997197502313e-09
unsupervised_top250,SLCO1B3,PC,True,12,-0.5516898773509938,1.0,8.680106805154078e-20,1.0850133506442598e-17
unsupervised_top250,AFF3,PP,True,10,-0.534001520014914,1.0,1.0036572078307429e-14,1.3206015892509774e-13
unsupervised_top250,MINDY3,PC,True,8,-0.5339773555923237,1.0,6.801504466838178e-09,1.4595503147721412e-08
unsupervised_top250,PPP1R1C,PC,True,11,-0.5319043410361703,1.0,8.070989350508898e-15,1.1209707431262359e-13
unsupervised_top250,USP9Y,PP,True,10,-0.5254887363040813,1.0,1.5364120887591083e-15,2.8205174646391097e-14
unsupervised_top250,CTNNBL1,PP,True,9,-0.5236269279161567,1.0,5.439394386209343e-11,1.928863257521044e-10
unsupervised_top250,NFIX,PC,True,12,-0.5217635824408624,1.0,1.9073825396926325e-13,1.4234198057407705e-12
unsupervised_top250,FNIP2,PP,True,10,-0.5168286703607599,1.0,2.5593304000855187e-13,1.8545872464387816e-12
unsupervised_top250,PLIN1,PC,True,10,-0.5123824166041497,1.0,2.5871608396586187e-15,4.172840063965514e-14
unsupervised_top250,PSD3,PP,True,9,-0.5102165683571696,1.0,5.686290721805851e-13,3.645058155003751e-12
unsupervised_top250,GNA14,PC,True,13,-0.5072843430381814,1.0,7.53993869400575e-17,1.8849846735014373e-15
unsupervised_top250,SLC38A4,PP,True,10,-0.5072080082468192,1.0,6.678479991956948e-12,3.091888885165254e-11
unsupervised_top250,TRPM8,PC,True,9,-0.5067154120174234,1.0,1.549130348256472e-13,1.245820538166275e-12
unsupervised_top250,USH2A,PP,True,10,-0.5066860567188692,1.0,3.818324788408483e-13,2.6152909509647143e-12
unsupervised_top250,SEMA5A,PP,True,10,-0.5060803351926064,1.0,1.0560867340286749e-13,9.778580870635879e-13
unsupervised_top250,ATP11C,PC,True,10,-0.5053199613617658,1.0,2.174616118363305e-13,1.5989824399730183e-12
unsupervised_top250,KANK4,PC,True,11,-0.5043539702623391,1.0,6.352719779353351e-16,1.2705439558706701e-14
unsupervised_top250,CORO2A,PC,True,8,-0.5040537456180356,1.0,3.2745665577488303e-12,1.7234560830257e-11
unsupervised_top250,CYP1A2,PC,True,7,-0.5020676602184732,1.0,7.924524170243734e-12,3.5696054820917725e-11
unsupervised_top250,RNF43,PC,True,9,-0.4981379369764909,1.0,1.6360203106284838e-12,9.191125340609459e-12
unsupervised_top250,ESR1,PC,True,13,-0.4957696858736266,1.0,6.74046523350347e-16,1.2962433141352828e-14
unsupervised_top250,ASAP2,PC,True,11,-0.4919759278542791,1.0,1.8871772779786504e-12,1.0369105922959617e-11
unsupervised_top250,F9,PP,True,10,-0.489487431680619,1.0,1.5146018378936033e-11,6.156918040217899e-11
unsupervised_top250,CHDH,PP,True,9,-0.48938862604158323,1.0,8.392209335002754e-10,2.2681646851358796e-09
unsupervised_top250,AQP9,PC,True,9,-0.4876917465885774,1.0,3.90092238270588e-12,1.9902665217887142e-11
unsupervised_top250,ZNRF3,PC,True,14,-0.48301688972301793,1.0,1.1379304538200194e-20,4.199964915019969e-18
unsupervised_top250,SAMD12,PP,True,12,-0.4810169960819753,1.0,4.2813106460399466e-17,1.3379095768874832e-15
unsupervised_top250,NKD1,PC,True,13,-0.4782275542742468,1.0,2.5199789490119814e-20,4.199964915019969e-18
unsupervised_top250,ADH1B,PC,True,12,-0.4779615390922274,1.0,9.72228946727639e-13,6.001413251405178e-12
unsupervised_top250,AGMO,PC,True,14,-0.47668811237794634,1.0,1.7770498315171603e-18,1.269321308226543e-16
unsupervised_top250,COL4A5,PP,True,10,-0.47503388504862365,1.0,1.8910505187032318e-13,1.4234198057407705e-12
unsupervised_top250,PLXNA4,PP,True,12,-0.47418114942477124,1.0,1.4811675472439204e-18,1.269321308226543e-16
unsupervised_top250,KCNT2,PP,True,8,-0.47251917413772926,1.0,1.5893047056367073e-11,6.308323779056866e-11
unsupervised_top250,GTF2IRD1,PC,True,12,-0.4720170911350203,1.0,2.762171689416784e-18,1.7263573058854902e-16
unsupervised_top250,NUGGC,PC,True,10,-0.4687253597910564,1.0,4.8128894017559305e-12,2.3776179521064645e-11
unsupervised_top250,SNTG1,PC,True,11,-0.4677587828874454,1.0,6.466829866393602e-17,1.7017973332614743e-15
unsupervised_top250,ST3GAL2,PC,True,12,-0.4622546644085499,1.0,3.955153995040077e-15,5.99265756824254e-14
unsupervised_top250,ERO1B,PP,True,7,-0.45827712373773827,1.0,2.7335626663909137e-09,6.477636650215435e-09
unsupervised_top250,AMDHD1,PP,True,11,-0.4571440110732455,1.0,1.1340195755880388e-13,1.0309268868982172e-12
unsupervised_top250,STX2,PP,True,12,-0.45698682028387033,1.0,4.635659113025504e-12,2.3178295565127522e-11
unsupervised_top250,ELOVL6,PC,True,12,-0.4559074760748382,1.0,1.1028290340339909e-14,1.413883376966655e-13
unsupervised_top250,IQGAP2,PC,True,10,-0.45570234697640516,1.0,1.5076952409915587e-10,4.771187471492274e-10
unsupervised_top250,LARGE1,PP,True,9,-0.4544773002489398,1.0,1.4640715957317552e-11,6.000293425130144e-11
unsupervised_top250,FGFR2,PP,True,14,-0.45419908975393225,1.0,2.742084194202951e-17,1.0546477670011351e-15
unsupervised_top250,TTC6,PC,True,11,-0.45316054262200045,1.0,1.0244081273676163e-12,6.246391020534245e-12
unsupervised_top250,ELOVL2,PC,True,8,-0.44873332750137046,1.0,5.375344951935401e-09,1.194521100430089e-08
